symbol,dataset,period,ok,status,url
DUSKUSDT,kline_1h_daily,2022-01-27,True,200,https://data.binance.vision/data/futures/um/daily/klines/DUSKUSDT/1h/DUSKUSDT-1h-2022-01-27.zip
DUSKUSDT,kline_1h_daily,2022-01-15,True,200,https://data.binance.vision/data/futures/um/daily/klines/DUSKUSDT/1h/DUSKUSDT-1h-2022-01-15.zip
DUSKUSDT,kline_1h_daily,2022-01-24,True,200,https://data.binance.vision/data/futures/um/daily/klines/DUSKUSDT/1h/DUSKUSDT-1h-2022-01-24.zip
DUSKUSDT,kline_1h_daily,2022-01-11,True,200,https://data.binance.vision/data/futures/um/daily/klines/DUSKUSDT/1h/DUSKUSDT-1h-2022-01-11.zip
DUSKUSDT,kline_1h_daily,2022-01-22,True,200,https://data.binance.vision/data/futures/um/daily/klines/DUSKUSDT/1h/DUSKUSDT-1h-2022-01-22.zip
DUSKUSDT,kline_1h_daily,2022-01-25,True,200,https://data.binance.vision/data/futures/um/daily/klines/DUSKUSDT/1h/DUSKUSDT-1h-2022-01-25.zip
DUSKUSDT,kline_1h_daily,2022-01-06,False,404,https://data.binance.vision/data/futures/um/daily/klines/DUSKUSDT/1h/DUSKUSDT-1h-2022-01-06.zip
DUSKUSDT,kline_1h_daily,2022-01-20,True,200,https://data.binance.vision/data/futures/um/daily/klines/DUSKUSDT/1h/DUSKUSDT-1h-2022-01-20.zip
DUSKUSDT,kline_1h_daily,2022-01-08,True,200,https://data.binance.vision/data/futures/um/daily/klines/DUSKUSDT/1h/DUSKUSDT-1h-2022-01-08.zip
DUSKUSDT,kline_1h_daily,2022-01-14,True,200,https://data.binance.vision/data/futures/um/daily/klines/DUSKUSDT/1h/DUSKUSDT-1h-2022-01-14.zip
DUSKUSDT,kline_1h_daily,2022-01-19,True,200,https://data.binance.vision/data/futures/um/daily/klines/DUSKUSDT/1h/DUSKUSDT-1h-2022-01-19.zip
DUSKUSDT,kline_1h_daily,2022-01-21,True,200,https://data.binance.vision/data/futures/um/daily/klines/DUSKUSDT/1h/DUSKUSDT-1h-2022-01-21.zip
DUSKUSDT,kline_1h_daily,2022-01-10,True,200,https://data.binance.vision/data/futures/um/daily/klines/DUSKUSDT/1h/DUSKUSDT-1h-2022-01-10.zip
DUSKUSDT,kline_1h_daily,2022-01-18,True,200,https://data.binance.vision/data/futures/um/daily/klines/DUSKUSDT/1h/DUSKUSDT-1h-2022-01-18.zip
DUSKUSDT,kline_1h_daily,2022-01-29,True,200,https://data.binance.vision/data/futures/um/daily/klines/DUSKUSDT/1h/DUSKUSDT-1h-2022-01-29.zip
DUSKUSDT,kline_1h_daily,2022-01-16,True,200,https://data.binance.vision/data/futures/um/daily/klines/DUSKUSDT/1h/DUSKUSDT-1h-2022-01-16.zip
DUSKUSDT,kline_1h_daily,2022-01-13,True,200,https://data.binance.vision/data/futures/um/daily/klines/DUSKUSDT/1h/DUSKUSDT-1h-2022-01-13.zip
