symbol,onboard_date,onboard_year,delist_date,window_start,window_end,matured_30d_window,delisted_within_30d,expected_kline_days,expected_funding_months,kline_days_found,funding_months_found,kline_30d_complete,funding_window_complete,archive_window_available,missing_kline_days,missing_funding_months
DUSKUSDT,2022-01-06,2022,,2022-01-06,2022-02-04,True,False,30,2,29,2,False,True,False,2022-01-06,
FLOWUSDT,2022-02-09,2022,,2022-02-09,2022-03-10,True,False,30,2,29,2,False,True,False,2022-02-09,
IMXUSDT,2022-02-10,2022,,2022-02-10,2022-03-11,True,False,30,2,29,2,False,True,False,2022-02-10,
API3USDT,2022-02-21,2022,,2022-02-21,2022-03-22,True,False,30,2,29,2,False,True,False,2022-02-21,
GMTUSDT,2022-03-14,2022,,2022-03-14,2022-04-12,True,False,30,2,29,2,False,True,False,2022-03-14,
APEUSDT,2022-03-17,2022,,2022-03-17,2022-04-15,True,False,30,2,30,2,True,True,True,,
WOOUSDT,2022-04-07,2022,,2022-04-07,2022-05-06,True,False,30,2,29,2,False,True,False,2022-04-07,
FTTUSDT,2022-04-14,2022,2022-11-14,2022-04-14,2022-05-13,True,False,30,2,29,2,False,True,False,2022-04-14,
JASMYUSDT,2022-04-19,2022,,2022-04-19,2022-05-18,True,False,30,2,29,2,False,True,False,2022-04-19,
DARUSDT,2022-04-28,2022,2024-12-26,2022-04-28,2022-05-27,True,False,30,2,29,2,False,True,False,2022-04-28,
OPUSDT,2022-06-01,2022,,2022-06-01,2022-06-30,True,False,30,1,30,1,True,True,True,,
INJUSDT,2022-08-16,2022,,2022-08-16,2022-09-14,True,False,30,2,29,2,False,True,False,2022-08-16,
STGUSDT,2022-08-24,2022,,2022-08-24,2022-09-22,True,False,30,2,29,2,False,True,False,2022-08-24,
SPELLUSDT,2022-09-05,2022,,2022-09-05,2022-10-04,True,False,30,2,29,2,False,True,False,2022-09-05,
1000LUNCUSDT,2022-09-08,2022,,2022-09-08,2022-10-07,True,False,30,2,29,2,False,True,False,2022-09-08,
LUNA2USDT,2022-09-09,2022,,2022-09-09,2022-10-08,True,False,30,2,29,2,False,True,False,2022-09-09,
