symbol,onboard,delist,head_first_ok,head_recent_ok,est_bars
BCHUSDT,2019-12-19,,,,
TRXUSDT,2020-01-15,,,,
ETCUSDT,2020-01-16,,,,
LINKUSDT,2020-01-17,,,,
XLMUSDT,2020-01-20,,,,
XMRUSDT,2020-02-03,,,,
DASHUSDT,2020-02-04,,,,
ZECUSDT,2020-02-05,,,,
XTZUSDT,2020-02-06,,,,
ATOMUSDT,2020-02-07,,,,
ONTUSDT,2020-02-11,,,,
IOTAUSDT,2020-02-12,,,,
BATUSDT,2020-02-13,,,,
VETUSDT,2020-02-14,,,,
NEOUSDT,2020-02-17,,,,
QTUMUSDT,2020-02-20,,,,
IOSTUSDT,2020-02-21,,,,
THETAUSDT,2020-05-27,,,,
ALGOUSDT,2020-06-16,,,,
ZILUSDT,2020-06-18,,,,
KNCUSDT,2020-06-22,,,,
ZRXUSDT,2020-06-24,,,,
COMPUSDT,2020-06-30,,,,
OMGUSDT,2020-07-02,2025-01-31,,,
KAVAUSDT,2020-07-28,,,,
BANDUSDT,2020-07-29,,,,
RLCUSDT,2020-07-31,,,,
WAVESUSDT,2020-08-12,2024-06-11,,,
MKRUSDT,2020-08-13,2025-09-08,,,
SNXUSDT,2020-08-14,,,,
DOTUSDT,2020-08-22,,,,
SKLUSDT,2020-08-24,,,,
DEFIUSDT,2020-08-28,2025-08-11,,,
YFIUSDT,2020-08-31,,,,
BALUSDT,2020-09-01,2025-04-14,,,
CRVUSDT,2020-09-01,,,,
TRBUSDT,2020-09-03,,,,
RUNEUSDT,2020-09-04,,,,
SUSHIUSDT,2020-09-04,,,,
EGLDUSDT,2020-09-14,,,,
ICXUSDT,2020-09-15,,,,
STORJUSDT,2020-09-16,,,,
BLZUSDT,2020-09-17,2024-12-23,,,
UNIUSDT,2020-09-18,,,,
AVAXUSDT,2020-09-23,,,,
FTMUSDT,2020-09-24,2025-01-06,,,
ENJUSDT,2020-09-29,,,,
FLMUSDT,2020-09-29,2025-11-21,,,
RENUSDT,2020-10-13,2024-12-03,,,
KSMUSDT,2020-10-14,,,,
NEARUSDT,2020-10-15,,,,
AAVEUSDT,2020-10-16,,,,
FILUSDT,2020-10-16,,,,
LRCUSDT,2020-10-19,2026-03-24,,,
RSRUSDT,2020-10-19,,,,
OCEANUSDT,2020-11-03,2024-06-25,,,
BELUSDT,2020-11-18,,,,
AXSUSDT,2020-11-20,,,,
ALPHAUSDT,2020-11-23,2025-09-23,,,
ZENUSDT,2020-11-24,,,,
GRTUSDT,2020-12-18,,,,
1INCHUSDT,2020-12-25,,,,
SANDUSDT,2021-01-18,,,,
CHZUSDT,2021-01-21,,,,
ANKRUSDT,2021-01-25,,,,
REEFUSDT,2021-01-25,2025-01-22,,,
UNFIUSDT,2021-02-09,2024-10-30,,,
RVNUSDT,2021-02-23,,,,
SFPUSDT,2021-02-24,,,,
XEMUSDT,2021-03-02,2024-12-09,,,
COTIUSDT,2021-03-09,,,,
CHRUSDT,2021-03-12,,,,
MANAUSDT,2021-03-14,,,,
ALICEUSDT,2021-03-15,,,,
GTCUSDT,2021-03-15,,,,
HBARUSDT,2021-03-17,,,,
LINAUSDT,2021-03-17,2025-03-27,,,
ONEUSDT,2021-03-17,,,,
STMXUSDT,2021-03-17,2025-02-21,,,
DENTUSDT,2021-03-23,2026-04-21,,,
CELRUSDT,2021-03-29,,,,
HOTUSDT,2021-03-30,,,,
MTLUSDT,2021-03-31,,,,
OGNUSDT,2021-03-31,,,,
NKNUSDT,2021-04-08,2026-02-06,,,
1000SHIBUSDT,2021-05-10,,,,
BAKEUSDT,2021-05-18,2025-10-03,,,
BTCDOMUSDT,2021-06-17,,,,
