symbol,year,periods,observed_days,sum_funding_return,annualized_funding_return,negative_period_share,longest_negative_periods,longest_negative_days
BTCUSDT,2020,1098,366.0,0.17239718999999998,0.17204391706967212,0.1429872495446266,24,8.0
BTCUSDT,2021,1095,365.0,0.30608423,0.3062938767328767,0.0730593607305936,9,3.0
BTCUSDT,2022,1095,365.0,0.04164925,0.04167777688356165,0.22100456621004566,10,3.3333333333333335
BTCUSDT,2023,1095,365.0,0.07865712000000001,0.07871099473972604,0.10136986301369863,7,2.3333333333333335
BTCUSDT,2024,1098,366.0,0.11956883000000001,0.11932381190573771,0.08378870673952642,18,6.0
BTCUSDT,2025,1095,365.0,0.051264279999999995,0.05129939252054794,0.12876712328767123,10,3.3333333333333335
BTCUSDT,2026,468,156.0,0.004248980000000001,0.009948332980769234,0.40384615384615385,14,4.666666666666667
ETHUSDT,2020,1098,366.0,0.27489957000000004,0.27433625120901645,0.026411657559198543,3,1.0
ETHUSDT,2021,1095,365.0,0.37537255,0.3756296544863014,0.0410958904109589,6,2.0
ETHUSDT,2022,1095,365.0,0.007872559999999997,0.00787795216438356,0.3415525114155251,25,8.333333333333334
ETHUSDT,2023,1095,365.0,0.08259507000000002,0.08265164196575345,0.091324200913242,8,2.6666666666666665
ETHUSDT,2024,1098,366.0,0.12996919,0.12970285969262296,0.04189435336976321,12,4.0
ETHUSDT,2025,1095,365.0,0.04928719,0.049320948349315066,0.16164383561643836,5,1.6666666666666667
ETHUSDT,2026,468,156.0,0.0023950999999999994,0.005607758173076923,0.4081196581196581,16,5.333333333333333
SOLUSDT,2020,328,109.33333333333333,-0.03749881,-0.12527232029725607,0.2530487804878049,21,7.0
SOLUSDT,2021,1095,365.0,0.28594697,0.2861428240890411,0.047488584474885846,9,3.0
SOLUSDT,2022,1170,364.9166666666667,-0.3799753700000001,-0.3803224587143184,0.4581196581196581,53,15.166666666666666
SOLUSDT,2023,1095,365.0,0.01296501000000001,0.012973890143835626,0.28127853881278536,25,8.333333333333334
SOLUSDT,2024,1098,366.0,0.13657023000000001,0.1362903729713115,0.1029143897996357,7,2.3333333333333335
SOLUSDT,2025,1095,365.0,0.003507029999999999,0.003509432075342465,0.39452054794520547,12,4.0
SOLUSDT,2026,468,156.0,-0.014109769999999999,-0.03303585572115385,0.5555555555555556,21,7.0
