symbol,datetime,bar_index,period,close,ref_high,future_ret_6,future_ret_12,future_ret_24
ETH,2019-08-18 16:00:00,1374,2019-2020,195.76,195.91,0.011731084434756442,0.0028056232855258874,-0.019967127952765253
ETH,2019-08-19 08:00:00,1378,2019-2020,200.0,201.42,-0.012629416400141601,-0.06022782555048663,-0.05292620580940513
ETH,2019-08-19 20:00:00,1381,2019-2020,202.28,202.69,-0.028481668498716126,-0.07614073302986135,-0.04169162967864476
ETH,2019-09-02 20:00:00,1465,2019-2020,178.05,178.73,0.0039237718503302285,-0.018879717167246634,-0.051692434025197596
ETH,2019-09-07 16:00:00,1494,2019-2020,178.04,178.64,0.009670011910671121,0.015604418278750802,-0.010899444340659554
ETH,2019-09-09 08:00:00,1504,2019-2020,182.78,184.18,-0.008461124045118095,-0.021400357742324128,-0.019948168032249025
BTC,2019-09-30 16:00:00,1632,2019-2020,8269.53,8315.0,0.003991043263126218,-0.0014848621243960776,-0.010457743534191679
ETH,2019-09-30 16:00:00,1632,2019-2020,177.8,179.01,-0.008982857499165015,-0.0009565878680098105,-0.0017450537795490066
BTC,2019-10-07 12:00:00,1673,2019-2020,8176.93,8217.47,0.001085392895294844,0.04461450840226657,0.020162422438602202
BTC,2019-10-07 16:00:00,1674,2019-2020,8211.0,8224.44,-0.005816419827996597,0.04418993738086517,0.016069197437064944
BTC,2019-10-08 00:00:00,1676,2019-2020,8258.79,8299.92,-0.016977490611659856,0.03389384268779445,0.005976927437441945
ETH,2019-10-08 00:00:00,1676,2019-2020,182.18,182.32,-0.015600249992813961,0.05665817285978144,0.002467038887286599
BTC,2019-10-09 16:00:00,1686,2019-2020,8581.98,8663.92,-0.003250448849892915,-0.028120739943800203,-0.01739112943191726
ETH,2019-10-09 16:00:00,1686,2019-2020,191.64,193.29,-0.0002087464781611951,-0.05166687150260578,-0.04640572054970559
ETH,2019-10-09 20:00:00,1687,2019-2020,192.62,194.82,-0.0077131922946847235,-0.06377046397297047,-0.062277555011938095
BTC,2019-10-11 04:00:00,1695,2019-2020,8387.69,8670.0,-0.005867419744831101,-0.00797310069717398,-0.012796590423911576
ETH,2019-10-11 04:00:00,1695,2019-2020,186.26,195.53,-0.014656437150668318,-0.02671468136460039,-0.014656437150668318
ETH,2019-10-14 16:00:00,1716,2019-2020,185.81,186.5,-0.03143451756433254,-0.06825890393686795,-0.06446317819259506
ETH,2019-10-15 00:00:00,1718,2019-2020,185.22,187.54,-0.0305337941825952,-0.06427220667620166,-0.06415706562829089
BTC,2019-10-20 20:00:00,1753,2019-2020,8223.35,8239.0,-0.0031764966157445487,-0.02503924674582015,-0.10382204602672375
