signal_time,sweep_time,choch_time,fvg_low,fvg_high,entry_price,stop_loss,risk_pct
2019-01-14 16:00:00,2019-01-11 08:00:00,2019-01-14 12:00:00,116.51,125.62,125.62,121.0,3.6777583187390577
2019-01-22 16:00:00,2019-01-20 12:00:00,2019-01-22 12:00:00,116.36,117.32,117.32,116.8,0.4432321854756189
2019-01-22 16:00:00,2019-01-21 04:00:00,2019-01-22 12:00:00,116.36,117.32,117.32,115.68,1.3978861234231046
2019-01-22 16:00:00,2019-01-22 08:00:00,2019-01-22 12:00:00,116.36,117.32,117.32,113.61,3.162291169451069
2019-01-30 16:00:00,2019-01-27 12:00:00,2019-01-30 12:00:00,106.0,108.0,108.0,113.11,-4.731481481481481
2019-03-05 16:00:00,2019-03-03 20:00:00,2019-03-05 12:00:00,128.99,133.94,133.94,130.03,2.9192175601015355
2019-03-05 16:00:00,2019-03-04 00:00:00,2019-03-05 12:00:00,128.99,133.94,133.94,128.01,4.427355532327913
2019-03-15 16:00:00,2019-03-13 08:00:00,2019-03-15 12:00:00,135.3,136.28,136.28,130.77,4.043146463164067
2019-03-15 16:00:00,2019-03-14 12:00:00,2019-03-15 12:00:00,135.3,136.28,136.28,130.58,4.182565306721448
2019-04-15 00:00:00,2019-04-12 00:00:00,2019-04-14 20:00:00,164.96,166.67,166.67,158.27,5.039899202015946
2019-04-23 08:00:00,2019-04-21 12:00:00,2019-04-23 04:00:00,172.1,172.87,172.87,165.71,4.141840689535488
2019-05-01 00:00:00,2019-04-29 12:00:00,2019-04-30 20:00:00,159.29,161.28,161.28,153.6,4.761904761904765
2019-05-06 16:00:00,2019-05-06 08:00:00,2019-05-06 12:00:00,165.75,170.54,170.54,159.18,6.661193854814111
2019-05-26 20:00:00,2019-05-23 08:00:00,2019-05-26 16:00:00,249.69,258.16,258.16,233.0,9.7458940192129
2019-06-11 08:00:00,2019-06-09 12:00:00,2019-06-10 20:00:00,237.55,240.41,240.41,235.01,2.2461628052077725
