symbol,direction,side,signal_time,entry_time,exit_time,raw_entry_price,entry_price,raw_exit_price,exit_price,exit_reason,quantity,final_quantity,initial_notional,entry_equity,nominal_pct,gross_pnl,net_pnl,entry_fee,exit_fee,total_fees,entry_slippage_cost,exit_slippage_cost,total_slippage_cost,funding_cost,expectancy_r,holding_bars,holding_days
BTC,1,LONG,2020-07-19 00:00:00,2020-07-19 04:00:00,2020-07-19 08:00:00,9154.86733412,9164.022201454118,9155.4191377,9146.2637185623,ADX_EXIT,1.8187064915689588,1.8187064915689588,16666.666666666664,100000.0,0.16666666666666663,1.0035687530196036,-67.26360600285847,16.666666666666664,16.6343691985509,33.301035865217564,16.65001665001399,16.651020218769556,33.30103686878354,1.6651020218769672,-0.004035816360171508,1,0.16666666666666666
ETH,1,LONG,2020-07-19 00:00:00,2020-07-19 04:00:00,2020-07-19 12:00:00,235.01175799,235.24676974799,233.78556147,233.55177590853,ADX_EXIT,70.84758989260922,70.84758989260922,16666.666666666664,100000.0,0.16666666666666663,-86.87306817670475,-154.96144634742578,16.666666666666664,16.546580438258104,33.21324710492477,16.650016650015246,16.563143581839974,33.21316023185522,1.6619708339410282,-0.009297686780845547,2,0.3333333333333333
BTC,1,LONG,2020-07-21 20:00:00,2020-07-22 00:00:00,2020-08-06 08:00:00,9389.57143181,9398.96100324181,11639.09540197,11627.45630656803,ADX_EXIT,1.7693050489523117,1.7693050489523117,16629.629157941617,99777.77494764971,0.16666666666666666,3980.0941181433377,3530.6675587756686,16.62962915794162,20.572517149683215,37.20214630762483,16.61301614179911,20.593110259942847,37.206126401741955,375.0182866583023,0.21231186367674165,92,15.333333333333334
ETH,1,LONG,2020-07-22 00:00:00,2020-07-22 04:00:00,2020-08-09 04:00:00,244.4766609,244.7211375609,395.37,394.97463,ADX_EXIT,67.89591181550786,67.89591181550786,16615.564775225634,99693.3886513538,0.16666666666666666,10245.040845081125,9393.604404885747,16.615564775225636,26.817162647842846,43.432727423068485,16.598965809414665,26.84400665449829,43.44297246391295,764.5607403083941,0.5653496906040731,108,18.0
XRP,1,LONG,2020-07-26 00:00:00,2020-07-26 04:00:00,2020-08-07 00:00:00,0.2206,0.22082059999999998,0.30354023,0.30323668977,ADX_EXIT,78544.71658558738,78544.71658558738,17344.291443259353,104065.74865955613,0.16666666666666663,6514.516858893434,5932.199855734352,17.344291443259355,23.817639856336335,41.16193129959569,17.32696447877959,23.841481337674796,41.16844581645439,499.9866260430321,0.342026070949115,71,11.833333333333334
LTC,1,LONG,2020-07-28 00:00:00,2020-07-28 04:00:00,2020-08-04 20:00:00,53.6,53.6536,57.39,57.33261,ADX_EXIT,333.63565438356403,333.63565438356403,17900.75394603399,107404.52367620394,0.16666666666666666,1264.4791301137075,806.5776379082746,17.90075394603399,19.12820285486767,37.02895680090166,17.882871074957656,19.14735020507209,37.03022128002975,383.8423141245015,0.04505830538422524,46,7.666666666666667
BTC,1,LONG,2020-08-12 00:00:00,2020-08-12 04:00:00,2020-08-15 16:00:00,11382.82795835,11394.21078630835,11860.96349974,11849.102536240262,ADX_EXIT,1.7470981045403287,1.7470981045403287,19906.804067492285,119440.82440495372,0.16666666666666666,835.349698075833,711.5864694492474,19.906804067492285,20.70154458156936,40.60834864906165,19.886917150339446,20.722266848416428,40.609183998755874,42.54569597876806,0.035745892059653346,21,3.5
LTC,1,LONG,2020-08-12 08:00:00,2020-08-12 12:00:00,2020-08-25 00:00:00,54.51035896,54.56486931895999,62.11,62.04789,ADX_EXIT,365.1343286445234,364.7419011498137,19923.50692635461,119541.04155812768,0.16666666666666666,2774.4422181002924,2177.944939955796,19.923506926354612,22.655367495590745,42.57887442194536,19.903603323029635,22.678045541130786,42.58164886416042,511.33675485839063,0.10931534031666046,75,12.5
ETH,1,LONG,2020-08-12 16:00:00,2020-08-12 20:00:00,2020-08-17 08:00:00,387.3,387.6873,424.01,423.58599,ADX_EXIT,51.44810989659587,51.44810989659587,19945.77881591453,119674.6728954872,0.16666666666666666,1888.6601143040332,1552.6804012433524,19.945778815914533,21.79269856417836,41.73847738009289,19.925852962950653,21.814513077256116,41.740366040206766,252.50086964038113,0.07784506263573347,27,4.5
XRP,1,LONG,2020-08-13 12:00:00,2020-08-13 16:00:00,2020-08-16 04:00:00,0.27774291,0.27802065291,0.3001,0.29979989999999995,ADX_EXIT,71795.08852169494,71795.08852169494,19960.517386532872,119763.10431919724,0.16666666666666666,1605.1292556374985,1378.1151125223769,19.960517386532874,21.52416035929529,41.484677745828165,19.940576809722398,21.54570606536247,41.48628287508487,144.04318249420848,0.06904205366200453,15,2.5
BNB,1,LONG,2020-08-19 00:00:00,2020-08-19 04:00:00,2020-08-26 12:00:00,22.57390514,22.596479045139997,22.23376999,22.21153622001,ADX_EXIT,926.627578140951,925.6316867374536,20938.520652110823,125631.12391266495,0.16666666666666666,-315.1901813658321,-528.7052793430031,20.938520652110824,20.581810454828236,41.52033110693906,20.917603049058282,20.602412867694838,41.520015916753124,130.4747509534788,-0.025250364537558866,44,7.333333333333333
ADA,1,LONG,2020-08-19 20:00:00,2020-08-20 00:00:00,2020-09-11 04:00:00,0.12975013,0.12987988012999999,0.09439386,0.09429946614,ADX_EXIT,160572.9866812503,160400.41113866764,20855.200262276874,125131.20157366125,0.16666666666666666,-5672.170922335269,-6056.231212088708,20.855200262276874,15.14703277907118,36.002233041348056,20.834365896379662,15.162194974045216,35.99656087042488,312.061495841665,-0.2903942966706145,133,22.166666666666668
XRP,1,LONG,2020-08-20 04:00:00,2020-08-20 08:00:00,2020-08-31 20:00:00,0.28798117,0.28826915116999996,0.2829,0.2826171,ADX_EXIT,71868.41400327515,71791.17354834238,20717.446700658264,124304.6802039496,0.16666666666666666,-364.92315634640687,-546.7492611655827,20.717446700658265,20.311494967566794,41.02894166822506,20.696749950704056,20.331826794359344,41.028576745063404,99.76858640588733,-0.026390764705006363,69,11.5
