symbol,direction,side,signal_time,entry_time,exit_time,raw_entry_price,entry_price,raw_exit_price,exit_price,exit_reason,quantity,final_quantity,initial_notional,entry_equity,nominal_pct,gross_pnl,net_pnl,entry_fee,exit_fee,total_fees,entry_slippage_cost,exit_slippage_cost,total_slippage_cost,funding_cost,expectancy_r,holding_bars,holding_days
LTC,-1,SHORT,2020-09-07 08:00:00,2020-09-07 12:00:00,2020-09-07 16:00:00,46.19,46.143809999999995,48.2114702,48.259681670199996,TREND_EXIT,361.1896518008952,361.1896518008952,16666.666666666664,100000.0,0.16666666666666663,-730.1341176638871,-796.5871676866303,16.666666666666664,17.43089761848158,34.097564285148245,16.683350016684376,17.413484134345328,34.096834151029704,-1.7413484134347237,-0.047795230061197826,1,0.16666666666666666
ADA,-1,SHORT,2020-09-22 00:00:00,2020-09-22 04:00:00,2020-09-22 16:00:00,0.0808292,0.08074837080000001,0.0821545,0.08223665449999999,TREND_EXIT,204758.3372260297,204758.3372260297,16533.90213871889,99203.41283231336,0.16666666666666663,-271.3662243256574,-334.7979564682009,16.53390213871889,16.83864063445149,33.37254277317038,16.550452591308822,16.821818815633154,33.37227140694198,-3.313082037568912,-0.02024917975558686,3,0.5
LTC,-1,SHORT,2020-09-22 00:00:00,2020-09-22 04:00:00,2020-09-22 12:00:00,43.43641152,43.39297510848,43.61116536,43.65477652536,TREND_EXIT,381.02716159436096,381.02716159436096,16533.90213871889,99203.41283231336,0.16666666666666663,-66.58595963291549,-131.28057189649593,16.53390213871889,16.63365558949406,33.167557728212955,16.550452591309565,16.61703855094235,33.16749114225192,-1.6404366068844405,-0.007940084004069715,2,0.3333333333333333
ADA,-1,SHORT,2020-09-22 16:00:00,2020-09-22 20:00:00,2020-09-23 04:00:00,0.08212,0.08203788,0.08166,0.08174166,MACRO_BULL_EXIT,200592.97465989424,200592.97465989424,16456.222383991444,98737.33430394866,0.16666666666666666,92.27276834355176,28.200375779325626,16.456222383991445,16.396802733037692,32.853025117029134,16.47269507907151,16.38042231072642,32.85311738979793,-1.6337499426009239,0.0017136603481221094,2,0.3333333333333333
ADA,-1,SHORT,2020-09-24 00:00:00,2020-09-24 04:00:00,2020-09-24 16:00:00,0.07765769,0.07758003231,0.08081113,0.08089194112999999,TREND_EXIT,212179.88645384376,212179.88645384376,16460.92244662133,98765.53467972799,0.16666666666666666,-669.0965411390077,-732.964384494064,16.460922446621332,17.163642883994413,33.624565330615745,16.477399846467044,17.146496387606163,33.62389623407321,-3.3806182096325967,-0.044527540110275404,3,0.5
ADA,-1,SHORT,2020-11-01 00:00:00,2020-11-01 04:00:00,2020-11-02 04:00:00,0.09346001,0.09336654998999999,0.09907897,0.09917804896999999,MACRO_BULL_EXIT,149996.46983656456,149996.46983656456,14004.652899319131,98032.57029523392,0.14285714285714285,-842.8241641528637,-896.2613309543821,14.004652899319131,14.876357230777927,28.88101013009706,14.018671570890676,14.861495735040718,28.880167305931394,-4.324010634510099,-0.06399739696497268,6,1.0
ADA,-1,SHORT,2020-11-03 00:00:00,2020-11-03 04:00:00,2020-11-05 04:00:00,0.08945,0.08936055,0.09508954,0.09518462954,MACRO_BULL_EXIT,155287.93820456168,155287.93820456168,13876.615566325645,97136.30896427952,0.14285714285714285,-875.7525390221535,-924.4277371355759,13.876615566325645,14.781024870031615,28.657640436357262,13.890506072398788,14.766258611419529,28.656764683818317,-8.639207006753276,-0.06661766572094732,12,2.0
XRP,-1,SHORT,2020-12-29 00:00:00,2020-12-29 04:00:00,2021-01-01 12:00:00,0.22037521,0.22015483478999998,0.2373,0.23753729999999998,ADX_EXIT,54627.395146078656,54627.395146078656,12026.485153392992,96211.88122714394,0.125,-924.5571910944018,-1043.3125646240164,12.026485153392992,12.97604394903263,25.00252910242562,12.038523677070733,12.963080868162722,25.001604545233455,68.75123988195557,-0.08675124538192026,20,3.3333333333333335
XRP,-1,SHORT,2021-01-06 20:00:00,2021-01-07 00:00:00,2021-01-07 04:00:00,0.2489,0.2486511,0.27704933,0.27732637932999993,TREND_EXIT,47842.42290830402,47842.42290830402,11896.071082814995,95168.56866251996,0.125,-1346.7321504454083,-1397.0588777259543,11.896071082814995,13.267965923534598,25.164037006349595,11.907979061876695,13.254711212319672,25.162690274196365,0.0,-0.1174386793757595,1,0.16666666666666666
BTC,-1,SHORT,2021-05-20 00:00:00,2021-05-20 04:00:00,2021-05-21 04:00:00,38342.7342103,38304.391476089695,40651.64815103,40692.299799181026,MACRO_BULL_EXIT,0.30600769967631486,0.30600769967631486,11721.43872309925,93771.509784794,0.125,-706.5454437533633,-751.1621484724755,11.72143872309925,12.452157056086355,24.173595779185604,11.733171894994948,12.439717338746435,24.172889233741383,-3.7297802938148084,-0.06408446661007342,6,1.0
