datetime,scale,sigma_annualized,prior_return_count
2020-01-01 00:00:00,1.0,,0
2020-01-01 04:00:00,1.0,,0
2020-01-01 08:00:00,1.0,,1
2020-01-01 12:00:00,1.0,,2
2020-01-01 16:00:00,1.0,,3
2020-01-01 20:00:00,1.0,,4
2020-01-02 00:00:00,1.0,,5
2020-01-02 04:00:00,1.0,,6
2020-01-02 08:00:00,1.0,,7
2020-01-02 12:00:00,1.0,,8
2020-01-02 16:00:00,1.0,,9
2020-01-02 20:00:00,1.0,,10
2020-01-03 00:00:00,1.0,,11
2020-01-03 04:00:00,1.0,,12
2020-01-03 08:00:00,1.0,,13
2020-01-03 12:00:00,1.0,,14
2020-01-03 16:00:00,1.0,,15
2020-01-03 20:00:00,1.0,,16
2020-01-04 00:00:00,1.0,,17
2020-01-04 04:00:00,1.0,,18
2020-01-04 08:00:00,1.0,,19
2020-01-04 12:00:00,1.0,,20
2020-01-04 16:00:00,1.0,,21
2020-01-04 20:00:00,1.0,,22
2020-01-05 00:00:00,1.0,,23
2020-01-05 04:00:00,1.0,,24
2020-01-05 08:00:00,1.0,,25
2020-01-05 12:00:00,1.0,,26
2020-01-05 16:00:00,1.0,,27
2020-01-05 20:00:00,1.0,,28
2020-01-06 00:00:00,1.0,,29
2020-01-06 04:00:00,1.0,,30
2020-01-06 08:00:00,1.0,,31
2020-01-06 12:00:00,1.0,,32
2020-01-06 16:00:00,1.0,,33
2020-01-06 20:00:00,1.0,,34
2020-01-07 00:00:00,1.0,,35
2020-01-07 04:00:00,1.0,,36
2020-01-07 08:00:00,1.0,,37
2020-01-07 12:00:00,1.0,,38
2020-01-07 16:00:00,1.0,,39
2020-01-07 20:00:00,1.0,,40
2020-01-08 00:00:00,1.0,,41
2020-01-08 04:00:00,1.0,0.0,42
2020-01-08 08:00:00,1.0,0.0,43
2020-01-08 12:00:00,1.0,0.0,44
2020-01-08 16:00:00,1.0,0.0,45
2020-01-08 20:00:00,1.0,0.0,46
2020-01-09 00:00:00,1.0,0.0,47
2020-01-09 04:00:00,1.0,0.0,48
2020-01-09 08:00:00,1.0,0.0,49
2020-01-09 12:00:00,1.0,0.0,50
2020-01-09 16:00:00,1.0,0.0,51
2020-01-09 20:00:00,1.0,0.0,52
2020-01-10 00:00:00,1.0,0.0,53
2020-01-10 04:00:00,1.0,0.0,54
2020-01-10 08:00:00,1.0,0.0,55
2020-01-10 12:00:00,1.0,0.0,56
2020-01-10 16:00:00,1.0,0.0,57
2020-01-10 20:00:00,1.0,0.0,58
2020-01-11 00:00:00,1.0,0.0,59
2020-01-11 04:00:00,1.0,0.0,60
2020-01-11 08:00:00,1.0,0.0,61
2020-01-11 12:00:00,1.0,0.0,62
2020-01-11 16:00:00,1.0,0.0,63
2020-01-11 20:00:00,1.0,0.0,64
2020-01-12 00:00:00,1.0,0.0,65
2020-01-12 04:00:00,1.0,0.0,66
2020-01-12 08:00:00,1.0,0.0,67
2020-01-12 12:00:00,1.0,0.0,68
2020-01-12 16:00:00,1.0,0.0,69
2020-01-12 20:00:00,1.0,0.0,70
2020-01-13 00:00:00,1.0,0.0,71
2020-01-13 04:00:00,1.0,0.0,72
2020-01-13 08:00:00,1.0,0.0,73
2020-01-13 12:00:00,1.0,0.0,74
2020-01-13 16:00:00,1.0,0.0,75
2020-01-13 20:00:00,1.0,0.0,76
2020-01-14 00:00:00,1.0,0.0,77
2020-01-14 04:00:00,1.0,0.0,78
2020-01-14 08:00:00,1.0,0.0,79
2020-01-14 12:00:00,1.0,0.0,80
2020-01-14 16:00:00,1.0,0.0,81
2020-01-14 20:00:00,1.0,0.0,82
2020-01-15 00:00:00,1.0,0.0,83
2020-01-15 04:00:00,1.0,0.0,84
2020-01-15 08:00:00,1.0,0.0,85
2020-01-15 12:00:00,1.0,0.0,86
2020-01-15 16:00:00,1.0,0.0,87
2020-01-15 20:00:00,1.0,0.0,88
2020-01-16 00:00:00,1.0,0.0,89
2020-01-16 04:00:00,1.0,0.0,90
2020-01-16 08:00:00,1.0,0.0,91
2020-01-16 12:00:00,1.0,0.0,92
2020-01-16 16:00:00,1.0,0.0,93
2020-01-16 20:00:00,1.0,0.0,94
2020-01-17 00:00:00,1.0,0.0,95
2020-01-17 04:00:00,1.0,0.0,96
2020-01-17 08:00:00,1.0,0.0,97
2020-01-17 12:00:00,1.0,0.0,98
2020-01-17 16:00:00,1.0,0.0,99
2020-01-17 20:00:00,1.0,0.0,100
2020-01-18 00:00:00,1.0,0.0,101
2020-01-18 04:00:00,1.0,0.0,102
2020-01-18 08:00:00,1.0,0.0,103
2020-01-18 12:00:00,1.0,0.0,104
2020-01-18 16:00:00,1.0,0.0,105
2020-01-18 20:00:00,1.0,0.0,106
2020-01-19 00:00:00,1.0,0.0,107
2020-01-19 04:00:00,1.0,0.0,108
2020-01-19 08:00:00,1.0,0.0,109
2020-01-19 12:00:00,1.0,0.0,110
2020-01-19 16:00:00,1.0,0.0,111
2020-01-19 20:00:00,1.0,0.0,112
2020-01-20 00:00:00,1.0,0.0,113
2020-01-20 04:00:00,1.0,0.0,114
2020-01-20 08:00:00,1.0,0.0,115
2020-01-20 12:00:00,1.0,0.0,116
2020-01-20 16:00:00,1.0,0.0,117
2020-01-20 20:00:00,1.0,0.0,118
2020-01-21 00:00:00,1.0,0.0,119
2020-01-21 04:00:00,1.0,0.0,120
2020-01-21 08:00:00,1.0,0.0,121
2020-01-21 12:00:00,1.0,0.0,122
2020-01-21 16:00:00,1.0,0.0,123
2020-01-21 20:00:00,1.0,0.0,124
2020-01-22 00:00:00,1.0,0.0,125
2020-01-22 04:00:00,1.0,0.0,126
2020-01-22 08:00:00,1.0,0.0,127
2020-01-22 12:00:00,1.0,0.0,128
2020-01-22 16:00:00,1.0,0.0,129
2020-01-22 20:00:00,1.0,0.0,130
2020-01-23 00:00:00,1.0,0.0,131
2020-01-23 04:00:00,1.0,0.0,132
2020-01-23 08:00:00,1.0,0.0,133
2020-01-23 12:00:00,1.0,0.0,134
2020-01-23 16:00:00,1.0,0.0,135
2020-01-23 20:00:00,1.0,0.0,136
2020-01-24 00:00:00,1.0,0.0,137
2020-01-24 04:00:00,1.0,0.0,138
2020-01-24 08:00:00,1.0,0.0,139
2020-01-24 12:00:00,1.0,0.0,140
2020-01-24 16:00:00,1.0,0.0,141
2020-01-24 20:00:00,1.0,0.0,142
2020-01-25 00:00:00,1.0,0.0,143
2020-01-25 04:00:00,1.0,0.0,144
2020-01-25 08:00:00,1.0,0.0,145
2020-01-25 12:00:00,1.0,0.0,146
2020-01-25 16:00:00,1.0,0.0,147
2020-01-25 20:00:00,1.0,0.0,148
2020-01-26 00:00:00,1.0,0.0,149
2020-01-26 04:00:00,1.0,0.0,150
2020-01-26 08:00:00,1.0,0.0,151
2020-01-26 12:00:00,1.0,0.0,152
2020-01-26 16:00:00,1.0,0.0,153
2020-01-26 20:00:00,1.0,0.0,154
2020-01-27 00:00:00,1.0,0.0,155
