event_time_utc,symbol,oi_notional,d6h_pct,d6h_rolling_pctl,r6h_mark,severity,severity_code,funding_time_utc,funding_value,funding_rolling_pctl,a2_overlap,regime
2021-03-15T09:00:00Z,BTCUSDT,1907572485.12732,-0.13951045754288316,0.006847849347314359,-0.0784761328272437,Mild,0,2021-03-15T08:00:00Z,0.0010521,0.9488584474885845,0,bull
2021-04-18T03:00:00Z,BTCUSDT,1601314941.000183,-0.2562802168356544,0.0001823819077147547,-0.10264288904390698,Severe,2,2021-04-18T00:00:00Z,0.00081624,0.8876712328767123,0,bull
2021-05-10T20:00:00Z,BTCUSDT,1791507518.7076588,-0.14215427756149634,0.006306007301692665,-0.030314913099760955,Medium,1,2021-05-10T16:00:00Z,0.00098653,0.9205479452054794,0,bull
2021-05-13T00:00:00Z,BTCUSDT,1556861401.0786233,-0.17422835399554526,0.002303389272787101,-0.08620672791907329,Severe,2,2021-05-12T16:00:00Z,0.00039761,0.7378995433789954,0,bull
2021-05-22T04:00:00Z,BTCUSDT,0.0,-1.0,0.0,-0.007982405617070944,Severe,2,2021-05-22T00:00:00Z,-0.00024448,0.0027397260273972603,0,bear
2021-09-07T15:00:00Z,BTCUSDT,2320888920.8733783,-0.2808687601164751,0.0006867345770859563,-0.08778678268099094,Severe,2,2021-09-07T08:00:00Z,0.0001,0.39360730593607307,0,unknown
2021-11-10T21:00:00Z,BTCUSDT,3650875480.69376,-0.12755415610944532,0.009614284079203388,-0.061284165939393266,Mild,0,2021-11-10T16:00:00Z,0.00057535,0.8319634703196347,0,unknown
2021-12-04T05:00:00Z,BTCUSDT,2445657189.4785333,-0.2546416410165683,0.00183129220556255,-0.12118537566759668,Severe,2,2021-12-04T00:00:00Z,0.0001,0.3319634703196347,0,unknown
2022-05-09T18:00:00Z,BTCUSDT,2768259397.154124,-0.10361448966084053,0.009491137793024585,-0.06565504548942362,Mild,0,2022-05-09T16:00:00Z,0.0001,0.5904109589041096,0,bear
2022-05-11T16:00:00Z,BTCUSDT,2313381105.744,-0.11298040472451987,0.006403659233847913,-0.04826899020337642,Medium,1,2022-05-11T08:00:00Z,6.939e-05,0.28858447488584477,0,bear
2022-05-20T16:00:00Z,BTCUSDT,2375271208.090141,-0.09826099724522475,0.009033733562035448,-0.051505948624074226,Mild,0,2022-05-20T08:00:00Z,0.0001,0.6114155251141552,0,bear
2022-05-23T19:00:00Z,BTCUSDT,2399424620.1373,-0.11827540201087527,0.003544882790165809,-0.042172019885460876,Medium,1,2022-05-23T16:00:00Z,0.0001,0.6114155251141552,0,bear
2022-06-01T20:00:00Z,BTCUSDT,2498970261.98504,-0.09264226277100829,0.00960548885077187,-0.05074624497075104,Mild,0,2022-06-01T16:00:00Z,0.0001,0.6132420091324201,0,bear
