market,event_type,symbol,original_listing,announcement_time_utc,delist_settlement_time_utc,announcement_to_delist_hours,source_url,source_note,local_panel_symbol,in_local_panel_symbol_set,announcement_in_panel_coverage,local_panel_start_utc,local_panel_end_utc,local_panel_rows
USDS-M perpetual,futures_contract_delist_auto_settlement,ANTUSDT,ANTUSDT perpetual,2024-03-25 05:39:06,2024-04-01 09:00:00,171.35,https://www.binance.com/en/square/post/5862637789937,Binance Square official-account mirror; BitcoinSistemi indexed announcement time used where official article time was not exposed.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,DGBUSDT,DGBUSDT perpetual,2024-03-25 05:39:06,2024-04-01 09:00:00,171.35,https://www.binance.com/en/square/post/5862637789937,Binance Square official-account mirror; BitcoinSistemi indexed announcement time used where official article time was not exposed.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,CTKUSDT,CTKUSDT perpetual,2024-03-25 05:39:06,2024-04-01 09:00:00,171.35,https://www.binance.com/en/square/post/5862637789937,Binance Square official-account mirror; BitcoinSistemi indexed announcement time used where official article time was not exposed.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,STPTUSDT,STPTUSDT perpetual,2024-05-06 06:39:38,2024-05-13 09:00:00,170.34,https://coingape.com/binance-futures-set-to-delist-these-cryptos-what-next/,Secondary source summarizing Binance announcement; official article inaccessible via direct curl.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,SNTUSDT,SNTUSDT perpetual,2024-05-06 06:39:38,2024-05-13 09:00:00,170.34,https://coingape.com/binance-futures-set-to-delist-these-cryptos-what-next/,Secondary source summarizing Binance announcement; official article inaccessible via direct curl.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,MBLUSDT,MBLUSDT perpetual,2024-05-06 06:39:38,2024-05-13 09:00:00,170.34,https://coingape.com/binance-futures-set-to-delist-these-cryptos-what-next/,Secondary source summarizing Binance announcement; official article inaccessible via direct curl.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,RADUSDT,RADUSDT perpetual,2024-05-06 06:39:38,2024-05-14 09:00:00,194.34,https://coingape.com/binance-futures-set-to-delist-these-cryptos-what-next/,Secondary source summarizing Binance announcement; official article inaccessible via direct curl.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,CVXUSDT,CVXUSDT perpetual,2024-05-06 06:39:38,2024-05-14 09:00:00,194.34,https://coingape.com/binance-futures-set-to-delist-these-cryptos-what-next/,Secondary source summarizing Binance announcement; official article inaccessible via direct curl.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,IDEXUSDT,IDEXUSDT perpetual,2024-05-08 05:05:39,2024-05-15 09:00:00,171.91,https://www.binance.com/en/square/post/7809671247033,Binance Square official-account mirror; ChainCatcher indexed announcement time used where official article time was not exposed.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,SLPUSDT,SLPUSDT perpetual,2024-05-08 05:05:39,2024-05-15 09:00:00,171.91,https://www.binance.com/en/square/post/7809671247033,Binance Square official-account mirror; ChainCatcher indexed announcement time used where official article time was not exposed.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,GLMRUSDT,GLMRUSDT perpetual,2024-05-08 05:05:39,2024-05-15 09:00:00,171.91,https://www.binance.com/en/square/post/7809671247033,Binance Square official-account mirror; ChainCatcher indexed announcement time used where official article time was not exposed.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,MDTUSDT,MDTUSDT perpetual,2024-05-08 05:05:39,2024-05-16 09:00:00,195.91,https://www.binance.com/en/square/post/7809671247033,Binance Square official-account mirror; ChainCatcher indexed announcement time used where official article time was not exposed.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,AUDIOUSDT,AUDIOUSDT perpetual,2024-05-08 05:05:39,2024-05-16 09:00:00,195.91,https://www.binance.com/en/square/post/7809671247033,Binance Square official-account mirror; ChainCatcher indexed announcement time used where official article time was not exposed.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,XEMUSDT,XEMUSDT perpetual,2024-12-02 00:00:00,2024-12-09 09:00:00,177.0,https://www.coincarp.com/exchange/announcement/binance-cfe97d52a8c840d3ba631835b637e9e7/,CoinCarp mirror of Binance announcement; announcement date approximated from indexed historical notice week.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,ORBSUSDT,ORBSUSDT perpetual,2024-12-02 00:00:00,2024-12-09 09:00:00,177.0,https://www.coincarp.com/exchange/announcement/binance-cfe97d52a8c840d3ba631835b637e9e7/,CoinCarp mirror of Binance announcement; announcement date approximated from indexed historical notice week.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,LOOMUSDT,LOOMUSDT perpetual,2024-12-02 00:00:00,2024-12-09 09:00:00,177.0,https://www.coincarp.com/exchange/announcement/binance-cfe97d52a8c840d3ba631835b637e9e7/,CoinCarp mirror of Binance announcement; announcement date approximated from indexed historical notice week.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,MAVIAUSDT,MAVIAUSDT perpetual,2024-12-06 03:02:37,2024-12-16 09:00:00,245.96,https://www.coincarp.com/exchange/announcement/binance-27eac260521b4f40ab331e1a345887a7/,CoinCarp mirror of Binance announcement; PANews index provided announcement timestamp.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,OMGUSDT,OMGUSDT perpetual,2024-12-06 03:02:37,2024-12-16 09:00:00,245.96,https://www.coincarp.com/exchange/announcement/binance-27eac260521b4f40ab331e1a345887a7/,CoinCarp mirror of Binance announcement; PANews index provided announcement timestamp.,OMGUSDT,True,True,2020-07-02 08:00:00,2026-06-22 00:00:00,13055
USDS-M perpetual,futures_contract_delist_auto_settlement,BONDUSDT,BONDUSDT perpetual,2024-12-06 03:02:37,2024-12-16 09:00:00,245.96,https://www.coincarp.com/exchange/announcement/binance-27eac260521b4f40ab331e1a345887a7/,CoinCarp mirror of Binance announcement; PANews index provided announcement timestamp.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,KDAUSDT,KDAUSDT perpetual,2025-11-03 06:55:38,2025-11-06 09:00:00,74.07,https://coinengineer.net/blog/binance-futures-is-delisting-these-altcoins/,Secondary source summarizing Binance announcement.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,MYROUSDT,MYROUSDT perpetual,2025-11-12 00:00:00,2025-11-14 09:00:00,57.0,https://www.binance.com/en/square/post/32242183911481,Binance Square official-account mirror; exact article publish timestamp not exposed in accessible text.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,1000XUSDT,1000XUSDT perpetual,2025-11-12 00:00:00,2025-11-14 09:00:00,57.0,https://www.binance.com/en/square/post/32242183911481,Binance Square official-account mirror; exact article publish timestamp not exposed in accessible text.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,XCNUSDT,XCNUSDT perpetual,2025-11-18 09:11:17,2025-11-21 09:00:00,71.81,https://coinengineer.net/blog/binance-is-delisting-multiple-coins/,Secondary source summarizing Binance announcement.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,FLMUSDT,FLMUSDT perpetual,2025-11-18 09:11:17,2025-11-21 09:00:00,71.81,https://coinengineer.net/blog/binance-is-delisting-multiple-coins/,Secondary source summarizing Binance announcement.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,PERPUSDT,PERPUSDT perpetual,2025-11-18 09:11:17,2025-11-21 09:00:00,71.81,https://coinengineer.net/blog/binance-is-delisting-multiple-coins/,Secondary source summarizing Binance announcement.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,PORT3USDT,PORT3USDT perpetual,2025-11-22 00:00:00,2025-11-23 06:30:00,30.5,https://www.binance.com/en/square/post/32760980666538,"Binance Square official-account mirror; author line indicates Nov 23, 2025; timestamp approximated conservatively to prior date because settlement was 06:30 UTC.",,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,PONKEUSDT,PONKEUSDT perpetual,2025-11-25 14:25:00,2025-11-28 09:00:00,66.58,https://www.tradingview.com/news/u_today:25498cafc094b:0-binance-to-cut-multiple-perpetual-contracts-these-three-crypto-pairs-included/,Secondary source links to Binance announcement detail/53998d26b57f47beb97811ec9f5e582b.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,SWELLUSDT,SWELLUSDT perpetual,2025-11-25 14:25:00,2025-11-28 09:00:00,66.58,https://www.tradingview.com/news/u_today:25498cafc094b:0-binance-to-cut-multiple-perpetual-contracts-these-three-crypto-pairs-included/,Secondary source links to Binance announcement detail/53998d26b57f47beb97811ec9f5e582b.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,QUICKUSDT,QUICKUSDT perpetual,2025-11-25 14:25:00,2025-11-28 09:00:00,66.58,https://www.tradingview.com/news/u_today:25498cafc094b:0-binance-to-cut-multiple-perpetual-contracts-these-three-crypto-pairs-included/,Secondary source links to Binance announcement detail/53998d26b57f47beb97811ec9f5e582b.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,SXPUSDT,SXPUSDT perpetual,2025-12-01 08:58:45,2025-12-05 09:00:00,96.02,https://xpool.eu/2025/12/01/binance-futures-to-delist-perpetual-contracts-closing-times-measures/,Secondary source summarizing Binance announcement.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,MILKUSDT,MILKUSDT perpetual,2025-12-01 08:58:45,2025-12-05 09:00:00,96.02,https://xpool.eu/2025/12/01/binance-futures-to-delist-perpetual-contracts-closing-times-measures/,Secondary source summarizing Binance announcement.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,OBOLUSDT,OBOLUSDT perpetual,2025-12-01 08:58:45,2025-12-05 09:30:00,96.52,https://xpool.eu/2025/12/01/binance-futures-to-delist-perpetual-contracts-closing-times-measures/,Secondary source summarizing Binance announcement.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,TOKENUSDT,TOKENUSDT perpetual,2025-12-01 08:58:45,2025-12-05 09:30:00,96.52,https://xpool.eu/2025/12/01/binance-futures-to-delist-perpetual-contracts-closing-times-measures/,Secondary source summarizing Binance announcement.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,SKATEUSDT,SKATEUSDT perpetual,2025-12-06 00:44:16,2025-12-10 09:00:00,104.26,https://rfq.news/binancecoin/binance-futures-removes-four-usd%e2%93%a2-m-perpetual-contracts-next-week/,Secondary source summarizing Binance announcement.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,REIUSDT,REIUSDT perpetual,2025-12-06 00:44:16,2025-12-10 09:00:00,104.26,https://rfq.news/binancecoin/binance-futures-removes-four-usd%e2%93%a2-m-perpetual-contracts-next-week/,Secondary source summarizing Binance announcement.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,FISUSDT,FISUSDT perpetual,2025-12-06 00:44:16,2025-12-10 09:00:00,104.26,https://rfq.news/binancecoin/binance-futures-removes-four-usd%e2%93%a2-m-perpetual-contracts-next-week/,Secondary source summarizing Binance announcement.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,VOXELUSDT,VOXELUSDT perpetual,2025-12-06 00:44:16,2025-12-10 09:00:00,104.26,https://rfq.news/binancecoin/binance-futures-removes-four-usd%e2%93%a2-m-perpetual-contracts-next-week/,Secondary source summarizing Binance announcement.,,False,False,,,
USDS-M perpetual,futures_contract_delist_auto_settlement,BIDUSDT,BIDUSDT perpetual,2026-01-15 00:00:00,2026-01-21 09:00:00,153.0,https://www.mexc.co/news/497909,Secondary source summarizing Binance announcement.,,False,False,,,
