datetime,funding_interval_hours,last_funding_rate
2026-06-01 00:00:00,8,6.445e-05
2026-06-01 08:00:00,8,5.339e-05
2026-06-01 16:00:00,8,9.572e-05
2026-06-02 00:00:00,8,0.0001
2026-06-02 08:00:00,8,0.0001
2026-06-02 16:00:00,8,5.699e-05
2026-06-03 00:00:00,8,2.021e-05
2026-06-03 08:00:00,8,9.862e-05
2026-06-03 16:00:00,8,7.361e-05
2026-06-04 00:00:00,8,7.651e-05
2026-06-04 08:00:00,8,4.482e-05
2026-06-04 16:00:00,8,3.946e-05
2026-06-05 00:00:00,8,4.67e-05
2026-06-05 08:00:00,8,-3.129e-05
2026-06-05 16:00:00,8,-7.387e-05
