datetime,funding_interval_hours,last_funding_rate
2026-06-01 00:00:00,8,5.009e-05
2026-06-01 08:00:00,8,-2.566e-05
2026-06-01 16:00:00,8,3.141e-05
2026-06-02 00:00:00,8,0.0001
2026-06-02 08:00:00,8,2.624e-05
2026-06-02 16:00:00,8,-4.38e-05
2026-06-03 00:00:00,8,-0.00019668
2026-06-03 08:00:00,8,-4.817e-05
2026-06-03 16:00:00,8,-4.446e-05
2026-06-04 00:00:00,8,-0.00012086
2026-06-04 08:00:00,8,-0.00018206
2026-06-04 16:00:00,8,-6.287e-05
2026-06-05 00:00:00,8,-9.673e-05
2026-06-05 08:00:00,8,-0.00025721
2026-06-05 16:00:00,8,-8.011e-05
