datetime,open,high,low,close,volume
2020-02-03 08:00:00,75.81,78.27,75.7,77.44,52332.295
2020-02-03 12:00:00,77.44,77.99,76.68,76.68,48402.761
2020-02-03 16:00:00,76.69,77.81,76.0,77.17,43977.631
2020-02-03 20:00:00,77.17,77.39,76.61,76.72,32358.416
2020-02-04 00:00:00,76.73,77.3,75.9,76.07,39346.67
2020-02-04 04:00:00,76.01,76.16,75.31,75.32,35472.972
2020-02-04 08:00:00,75.32,75.66,73.73,74.58,39484.778
2020-02-04 12:00:00,74.5,75.17,73.73,75.08,42599.64
2020-02-04 16:00:00,75.08,75.74,74.41,74.46,37584.208
2020-02-04 20:00:00,74.46,75.5,74.06,75.27,36244.853
2020-02-05 00:00:00,75.27,75.41,74.55,75.3,36799.444
2020-02-05 04:00:00,75.3,75.91,74.82,75.73,36958.353
2020-02-05 08:00:00,75.73,76.96,75.11,76.84,54864.262
2020-02-05 12:00:00,76.8,78.9,76.47,78.19,50975.603
2020-02-05 16:00:00,78.19,79.2,77.38,77.86,53292.033
2020-02-05 20:00:00,77.87,78.47,77.44,77.87,42415.793
2020-02-06 00:00:00,77.94,78.55,76.28,78.43,32173.107
2020-02-06 04:00:00,78.55,78.8,77.88,78.03,17116.894
2020-02-06 08:00:00,78.03,80.11,77.97,79.88,27401.353
2020-02-06 12:00:00,79.9,80.23,77.23,79.18,31385.861
2020-02-06 16:00:00,79.18,79.39,77.97,78.32,12470.242
2020-02-06 20:00:00,78.32,78.8,77.6,78.39,9808.437
2020-02-07 00:00:00,78.38,80.86,78.36,79.47,29812.251
2020-02-07 04:00:00,79.44,80.87,78.43,80.75,28604.6
2020-02-07 08:00:00,80.75,81.01,79.92,79.93,26901.716
2020-02-07 12:00:00,79.94,80.81,79.41,80.81,19007.354
2020-02-07 16:00:00,80.81,81.0,79.56,79.83,21013.185
2020-02-07 20:00:00,79.93,79.97,78.38,79.63,20482.433
2020-02-08 00:00:00,79.63,79.71,76.84,77.52,14954.127
2020-02-08 04:00:00,77.52,79.28,77.44,78.57,14894.372
2020-02-08 08:00:00,78.57,80.0,78.57,79.92,27089.1
2020-02-08 12:00:00,79.89,80.53,78.94,79.55,27874.0
2020-02-08 16:00:00,79.53,81.71,79.53,81.02,22948.507
2020-02-08 20:00:00,81.02,81.69,80.1,80.77,17093.307
2020-02-09 00:00:00,80.77,81.62,80.6,81.61,11317.399
2020-02-09 04:00:00,81.63,83.92,81.4,83.79,26422.262
2020-02-09 08:00:00,83.8,83.93,82.68,83.75,24383.403
2020-02-09 12:00:00,83.68,85.71,83.57,85.08,54390.851
2020-02-09 16:00:00,84.96,85.76,84.69,85.31,20397.451
2020-02-09 20:00:00,85.32,87.99,84.71,87.68,30806.079
2020-02-10 00:00:00,87.71,88.01,85.67,86.14,21226.203
2020-02-10 04:00:00,86.14,86.14,83.17,85.25,27902.037
2020-02-10 08:00:00,85.25,85.51,84.05,84.72,32753.119
2020-02-10 12:00:00,84.72,86.0,84.33,85.52,20573.177
2020-02-10 16:00:00,85.52,85.77,84.51,85.17,12633.501
2020-02-10 20:00:00,85.17,85.34,84.27,84.73,10332.845
2020-02-11 00:00:00,84.66,85.05,83.21,83.38,37930.267
2020-02-11 04:00:00,83.38,83.8,82.69,83.22,26821.09
2020-02-11 08:00:00,83.25,84.12,82.9,83.6,20731.918
2020-02-11 12:00:00,83.61,86.06,83.59,85.73,55433.812
2020-02-11 16:00:00,85.75,88.97,85.25,88.68,64447.286
2020-02-11 20:00:00,88.76,89.84,88.37,89.68,13346.781
2020-02-12 00:00:00,89.65,92.59,89.59,92.37,34769.748
2020-02-12 04:00:00,92.47,93.74,91.94,92.99,18943.087
2020-02-12 08:00:00,93.0,93.29,90.85,91.23,44043.967
2020-02-12 12:00:00,91.25,92.25,90.41,90.87,34425.949
2020-02-12 16:00:00,90.85,94.26,90.85,93.72,35268.781
2020-02-12 20:00:00,93.72,94.74,92.89,94.47,24362.679
2020-02-13 00:00:00,94.46,95.11,92.69,93.55,36863.218
2020-02-13 04:00:00,93.53,95.91,93.53,94.23,30030.038
2020-02-13 08:00:00,94.22,94.68,90.61,90.76,37112.616
2020-02-13 12:00:00,90.76,94.2,89.69,91.55,56923.256
2020-02-13 16:00:00,91.59,92.94,90.46,92.3,37872.025
2020-02-13 20:00:00,92.31,93.38,91.99,92.44,17843.605
2020-02-14 00:00:00,92.44,92.71,91.49,92.25,16075.626
2020-02-14 04:00:00,92.26,92.63,91.02,91.53,13633.783
2020-02-14 08:00:00,91.55,94.92,91.49,94.29,23208.061
2020-02-14 12:00:00,94.29,94.77,93.57,93.83,21328.402
2020-02-14 16:00:00,93.83,95.28,93.02,94.44,19835.008
2020-02-14 20:00:00,94.44,95.48,93.9,95.33,17695.905
2020-02-15 00:00:00,95.32,95.57,93.51,94.03,15745.38
2020-02-15 04:00:00,94.03,94.48,93.18,94.48,12777.884
2020-02-15 08:00:00,94.48,97.14,94.44,96.89,15200.463
2020-02-15 12:00:00,96.87,97.09,91.19,93.47,28551.986
2020-02-15 16:00:00,93.46,94.88,86.45,88.14,52861.183
2020-02-15 20:00:00,88.14,90.39,87.56,89.29,24193.905
2020-02-16 00:00:00,89.29,92.2,87.94,91.39,55359.291
2020-02-16 04:00:00,91.34,92.02,90.72,90.74,9814.921
2020-02-16 08:00:00,90.76,91.54,88.51,89.17,23237.404
2020-02-16 12:00:00,89.1,89.55,84.81,85.3,56749.917
2020-02-16 16:00:00,85.33,86.85,79.52,83.68,100953.457
2020-02-16 20:00:00,83.68,90.0,83.49,87.81,42006.723
2020-02-17 00:00:00,87.83,89.31,83.07,83.54,54530.217
2020-02-17 04:00:00,83.54,86.16,81.1,84.85,48402.303
2020-02-17 08:00:00,84.82,86.46,79.19,82.15,40975.273
2020-02-17 12:00:00,82.05,84.1,79.36,83.12,45775.354
2020-02-17 16:00:00,83.19,85.07,82.33,83.86,35590.425
2020-02-17 20:00:00,83.87,84.33,82.03,82.7,18839.024
2020-02-18 00:00:00,82.72,84.14,81.22,83.91,9987.834
2020-02-18 04:00:00,83.89,85.24,82.65,83.39,18478.775
2020-02-18 08:00:00,83.4,84.22,81.5,84.13,18089.611
2020-02-18 12:00:00,84.13,85.71,81.53,84.1,16674.123
2020-02-18 16:00:00,84.26,86.75,84.01,86.57,14934.417
2020-02-18 20:00:00,86.66,87.41,85.04,86.35,18115.395
2020-02-19 00:00:00,86.37,87.12,85.07,85.74,19328.575
2020-02-19 04:00:00,85.74,86.23,84.1,84.5,15522.419
2020-02-19 08:00:00,84.5,86.22,83.71,86.22,21509.204
2020-02-19 12:00:00,86.22,86.22,85.11,85.5,10539.289
2020-02-19 16:00:00,85.5,87.21,85.02,85.15,13053.535
2020-02-19 20:00:00,85.15,85.2,75.71,77.72,22099.195
2020-02-20 00:00:00,77.64,79.11,76.72,77.7,17591.882
2020-02-20 04:00:00,77.73,78.86,76.75,78.56,20779.088
2020-02-20 08:00:00,78.51,78.97,76.68,77.37,16779.538
2020-02-20 12:00:00,77.34,78.89,76.08,77.41,20425.407
2020-02-20 16:00:00,77.44,79.2,75.02,76.1,21694.241
2020-02-20 20:00:00,76.11,77.28,75.8,76.47,9094.407
2020-02-21 00:00:00,76.49,79.24,75.64,79.16,15306.777
2020-02-21 04:00:00,79.16,79.5,77.1,77.98,13796.563
2020-02-21 08:00:00,77.98,78.35,77.11,77.97,11161.251
2020-02-21 12:00:00,77.93,82.72,77.89,81.35,33191.124
2020-02-21 16:00:00,81.35,82.0,80.56,80.79,13189.021
2020-02-21 20:00:00,80.77,81.0,79.61,80.29,16636.134
2020-02-22 00:00:00,80.26,82.88,79.44,81.69,19638.367
