datetime,open,high,low,close,volume
2020-09-14 04:00:00,13.294,13.385,12.914,13.103,10924.3
2020-09-14 08:00:00,13.103,13.29,12.7,13.018,30533.1
2020-09-14 12:00:00,13.019,15.213,13.0,14.034,222034.1
2020-09-14 16:00:00,14.032,14.352,13.85,13.945,60801.0
2020-09-14 20:00:00,13.937,14.226,13.722,13.978,48360.5
2020-09-15 00:00:00,13.997,14.266,13.756,14.243,50576.6
2020-09-15 04:00:00,14.248,15.039,13.926,14.433,180277.9
2020-09-15 08:00:00,14.442,14.585,13.97,14.235,141822.0
2020-09-15 12:00:00,14.23,14.452,12.868,13.273,138655.3
2020-09-15 16:00:00,13.274,13.398,12.926,13.03,42847.4
2020-09-15 20:00:00,13.01,13.188,12.837,13.066,36055.4
2020-09-16 00:00:00,13.04,13.047,11.83,12.429,105806.9
2020-09-16 04:00:00,12.441,12.706,12.332,12.529,30744.6
2020-09-16 08:00:00,12.527,12.866,12.359,12.487,48429.4
2020-09-16 12:00:00,12.486,12.921,12.453,12.766,32627.3
2020-09-16 16:00:00,12.765,12.837,12.011,12.113,46731.3
2020-09-16 20:00:00,12.113,12.709,12.0,12.584,30914.1
2020-09-17 00:00:00,12.578,12.88,12.302,12.337,40769.1
2020-09-17 04:00:00,12.339,12.652,12.103,12.202,33564.0
2020-09-17 08:00:00,12.204,12.242,11.809,12.025,33630.8
2020-09-17 12:00:00,12.025,12.211,11.74,12.099,43568.3
2020-09-17 16:00:00,12.111,12.113,11.761,11.992,36754.0
2020-09-17 20:00:00,11.995,12.287,11.928,12.044,45327.0
2020-09-18 00:00:00,12.061,12.233,11.912,12.217,19093.0
2020-09-18 04:00:00,12.206,12.221,11.985,12.077,27429.6
2020-09-18 08:00:00,12.081,12.308,12.04,12.078,38113.8
2020-09-18 12:00:00,12.079,12.222,11.4,11.495,57456.4
2020-09-18 16:00:00,11.494,11.615,10.874,11.255,57740.3
2020-09-18 20:00:00,11.257,11.326,11.114,11.233,24415.9
2020-09-19 00:00:00,11.231,11.484,11.182,11.473,19731.6
2020-09-19 04:00:00,11.474,11.675,11.253,11.27,44217.6
2020-09-19 08:00:00,11.273,11.726,11.194,11.724,34010.6
2020-09-19 12:00:00,11.722,11.922,11.55,11.621,56795.9
2020-09-19 16:00:00,11.623,12.241,11.556,11.928,78287.7
2020-09-19 20:00:00,11.931,12.031,11.813,11.95,21885.1
2020-09-20 00:00:00,11.932,12.081,11.854,11.985,30347.1
2020-09-20 04:00:00,11.983,12.098,11.762,11.816,34802.8
2020-09-20 08:00:00,11.815,11.893,11.616,11.696,26622.8
2020-09-20 12:00:00,11.695,11.705,11.062,11.252,43718.6
2020-09-20 16:00:00,11.251,11.274,10.038,10.565,158124.8
2020-09-20 20:00:00,10.565,10.721,10.239,10.7,41141.5
2020-09-21 00:00:00,10.709,10.934,10.656,10.925,19572.3
2020-09-21 04:00:00,10.924,10.937,10.4,10.416,47847.8
2020-09-21 08:00:00,10.417,10.454,9.176,9.567,163885.2
2020-09-21 12:00:00,9.567,9.568,8.417,8.708,140554.8
2020-09-21 16:00:00,8.71,9.17,8.521,9.155,85203.9
2020-09-21 20:00:00,9.163,9.226,8.8,8.822,68963.3
2020-09-22 00:00:00,8.824,9.021,8.742,8.94,27807.1
2020-09-22 04:00:00,8.941,9.083,8.43,8.449,92333.5
2020-09-22 08:00:00,8.453,8.781,8.451,8.689,68577.7
2020-09-22 12:00:00,8.689,8.799,8.52,8.598,68418.5
2020-09-22 16:00:00,8.599,8.881,8.598,8.8,72358.0
2020-09-22 20:00:00,8.8,8.829,8.659,8.715,39043.2
2020-09-23 00:00:00,8.717,8.858,8.706,8.732,19672.2
2020-09-23 04:00:00,8.731,8.741,8.333,8.447,78167.9
2020-09-23 08:00:00,8.447,8.52,8.315,8.355,50707.4
2020-09-23 12:00:00,8.354,9.092,8.325,9.009,186821.4
2020-09-23 16:00:00,8.997,9.419,8.581,8.662,180531.1
2020-09-23 20:00:00,8.656,8.748,8.241,8.72,76095.8
2020-09-24 00:00:00,8.718,9.172,8.647,8.972,88642.8
2020-09-24 04:00:00,8.972,9.078,8.846,9.051,50295.8
2020-09-24 08:00:00,9.051,9.209,8.83,9.111,74307.2
2020-09-24 12:00:00,9.115,9.193,8.936,9.152,89596.0
2020-09-24 16:00:00,9.148,9.25,8.92,9.051,66659.2
2020-09-24 20:00:00,9.051,9.204,9.022,9.195,42424.0
2020-09-25 00:00:00,9.208,9.376,9.095,9.115,47393.4
2020-09-25 04:00:00,9.116,9.272,9.084,9.247,24294.8
2020-09-25 08:00:00,9.252,9.352,9.101,9.335,39769.4
2020-09-25 12:00:00,9.335,9.609,9.31,9.55,60671.4
2020-09-25 16:00:00,9.55,10.098,9.528,10.036,158448.4
2020-09-25 20:00:00,10.037,10.1,9.837,9.923,64344.7
2020-09-26 00:00:00,9.935,10.119,9.875,9.945,49019.4
2020-09-26 04:00:00,9.948,10.148,9.866,9.988,40041.9
2020-09-26 08:00:00,9.989,10.22,9.904,10.165,46766.7
2020-09-26 12:00:00,10.166,10.377,9.991,10.264,92148.0
