datetime,open,high,low,close,volume
2020-09-15 04:00:00,0.5445,0.5589,0.5337,0.54,660941.0
2020-09-15 08:00:00,0.5406,0.5555,0.516,0.5406,1103596.0
2020-09-15 12:00:00,0.5406,0.5531,0.5058,0.5126,1108263.0
2020-09-15 16:00:00,0.5134,0.5332,0.5083,0.5246,793318.0
2020-09-15 20:00:00,0.5243,0.5319,0.5069,0.5095,483753.0
2020-09-16 00:00:00,0.5084,0.51,0.4713,0.4916,497921.0
2020-09-16 04:00:00,0.4913,0.4925,0.4782,0.4865,354516.0
2020-09-16 08:00:00,0.4854,0.4865,0.4661,0.4768,459270.0
2020-09-16 12:00:00,0.4778,0.4865,0.4705,0.4858,610787.0
2020-09-16 16:00:00,0.4856,0.4932,0.4804,0.4911,300755.0
2020-09-16 20:00:00,0.4908,0.4996,0.4854,0.4953,407024.0
2020-09-17 00:00:00,0.4955,0.5114,0.4871,0.4886,657239.0
2020-09-17 04:00:00,0.4884,0.4921,0.4755,0.4766,523945.0
2020-09-17 08:00:00,0.477,0.4772,0.4599,0.4638,760249.0
2020-09-17 12:00:00,0.4647,0.475,0.4519,0.4693,3307716.0
2020-09-17 16:00:00,0.4688,0.4706,0.4594,0.4616,543496.0
2020-09-17 20:00:00,0.4624,0.4743,0.4623,0.4683,490786.0
2020-09-18 00:00:00,0.467,0.4722,0.4569,0.4669,414859.0
2020-09-18 04:00:00,0.4675,0.4795,0.4612,0.4759,548716.0
2020-09-18 08:00:00,0.4758,0.5023,0.4709,0.4921,1198139.0
2020-09-18 12:00:00,0.4927,0.5021,0.4689,0.4788,1076596.0
2020-09-18 16:00:00,0.479,0.4824,0.4589,0.4818,911173.0
2020-09-18 20:00:00,0.4823,0.4934,0.4674,0.4746,1151983.0
2020-09-19 00:00:00,0.4744,0.4773,0.4692,0.4735,276108.0
2020-09-19 04:00:00,0.4742,0.4743,0.4623,0.4623,222592.0
2020-09-19 08:00:00,0.4626,0.4755,0.4603,0.4755,415617.0
2020-09-19 12:00:00,0.4755,0.4774,0.4663,0.4691,358067.0
2020-09-19 16:00:00,0.4678,0.4726,0.4609,0.4684,369931.0
2020-09-19 20:00:00,0.4684,0.475,0.465,0.4676,184182.0
2020-09-20 00:00:00,0.4671,0.4701,0.4605,0.4693,253200.0
2020-09-20 04:00:00,0.4695,0.4745,0.4683,0.4716,201029.0
2020-09-20 08:00:00,0.4716,0.5019,0.4709,0.4921,2870689.0
2020-09-20 12:00:00,0.4922,0.493,0.4555,0.4649,2619110.0
2020-09-20 16:00:00,0.4643,0.4686,0.4397,0.4579,1155553.0
2020-09-20 20:00:00,0.4582,0.4614,0.4445,0.4586,508261.0
2020-09-21 00:00:00,0.4577,0.4586,0.4476,0.4565,263517.0
2020-09-21 04:00:00,0.4565,0.4576,0.447,0.4479,298305.0
2020-09-21 08:00:00,0.4479,0.4487,0.402,0.411,3769857.0
2020-09-21 12:00:00,0.4109,0.4168,0.3928,0.401,877010.0
2020-09-21 16:00:00,0.4009,0.4208,0.3953,0.4208,638893.0
2020-09-21 20:00:00,0.4208,0.4246,0.4107,0.411,361054.0
2020-09-22 00:00:00,0.411,0.4198,0.406,0.4117,472416.0
2020-09-22 04:00:00,0.4118,0.4231,0.4,0.4017,586138.0
2020-09-22 08:00:00,0.4023,0.4162,0.4016,0.4134,432568.0
2020-09-22 12:00:00,0.4135,0.4264,0.4114,0.4204,716127.0
2020-09-22 16:00:00,0.4204,0.4285,0.4156,0.4182,501153.0
2020-09-22 20:00:00,0.4183,0.4231,0.4136,0.4189,307178.0
2020-09-23 00:00:00,0.4185,0.4211,0.4109,0.4114,231659.0
2020-09-23 04:00:00,0.4114,0.413,0.3942,0.3998,838223.0
2020-09-23 08:00:00,0.4008,0.4084,0.3972,0.4075,456135.0
2020-09-23 12:00:00,0.4075,0.4184,0.4041,0.4059,582731.0
2020-09-23 16:00:00,0.4061,0.4121,0.3864,0.3889,689184.0
2020-09-23 20:00:00,0.389,0.3962,0.3674,0.3704,1346776.0
2020-09-24 00:00:00,0.3712,0.3828,0.3647,0.378,521681.0
2020-09-24 04:00:00,0.3781,0.3817,0.372,0.3758,546172.0
2020-09-24 08:00:00,0.3758,0.3819,0.37,0.3813,408396.0
2020-09-24 12:00:00,0.3813,0.3872,0.3717,0.3854,707376.0
2020-09-24 16:00:00,0.3858,0.3946,0.3843,0.3921,783568.0
2020-09-24 20:00:00,0.3923,0.4071,0.3921,0.4065,703468.0
2020-09-25 00:00:00,0.4069,0.4106,0.4007,0.4023,497152.0
2020-09-25 04:00:00,0.4022,0.4067,0.3957,0.4033,510285.0
2020-09-25 08:00:00,0.4033,0.4033,0.3884,0.3977,636331.0
2020-09-25 12:00:00,0.3971,0.4076,0.392,0.4062,687258.0
2020-09-25 16:00:00,0.4071,0.417,0.4052,0.4142,580337.0
2020-09-25 20:00:00,0.4141,0.4207,0.4099,0.4117,436242.0
2020-09-26 00:00:00,0.4127,0.4185,0.4102,0.4132,348404.0
2020-09-26 04:00:00,0.4135,0.4206,0.4027,0.4047,783086.0
2020-09-26 08:00:00,0.4048,0.41,0.4028,0.4091,543274.0
2020-09-26 12:00:00,0.4091,0.4169,0.4041,0.4158,616737.0
2020-09-26 16:00:00,0.4158,0.4259,0.4122,0.4232,1205467.0
2020-09-26 20:00:00,0.4232,0.4293,0.4175,0.426,1101510.0
2020-09-27 00:00:00,0.426,0.4281,0.421,0.4232,527421.0
2020-09-27 04:00:00,0.4231,0.4261,0.402,0.4117,1475652.0
2020-09-27 08:00:00,0.4113,0.4113,0.4002,0.4027,828383.0
2020-09-27 12:00:00,0.4028,0.4169,0.3968,0.416,672611.0
2020-09-27 16:00:00,0.4161,0.4213,0.411,0.4153,596551.0
2020-09-27 20:00:00,0.4153,0.4164,0.4105,0.4151,351740.0
2020-09-28 00:00:00,0.4151,0.4208,0.4146,0.4165,434546.0
2020-09-28 04:00:00,0.4165,0.4199,0.4,0.4023,572506.0
2020-09-28 08:00:00,0.4023,0.4113,0.3979,0.4085,830345.0
2020-09-28 12:00:00,0.4084,0.4156,0.4036,0.4137,935095.0
2020-09-28 16:00:00,0.4136,0.4181,0.4053,0.4087,813018.0
2020-09-28 20:00:00,0.4093,0.4135,0.392,0.4004,658224.0
2020-09-29 00:00:00,0.4004,0.4094,0.3967,0.4041,528940.0
2020-09-29 04:00:00,0.4041,0.4104,0.4,0.4104,362712.0
2020-09-29 08:00:00,0.4099,0.415,0.4067,0.4111,720787.0
2020-09-29 12:00:00,0.4113,0.4147,0.4054,0.4085,602657.0
2020-09-29 16:00:00,0.4085,0.4115,0.4018,0.41,556203.0
2020-09-29 20:00:00,0.4102,0.4283,0.4088,0.4266,1137358.0
2020-09-30 00:00:00,0.4268,0.4386,0.4183,0.4216,1982713.0
2020-09-30 04:00:00,0.4209,0.4271,0.4108,0.4127,970545.0
2020-09-30 08:00:00,0.4124,0.4161,0.4076,0.4085,894427.0
2020-09-30 12:00:00,0.4086,0.419,0.402,0.4183,982239.0
2020-09-30 16:00:00,0.4184,0.419,0.4101,0.412,577900.0
2020-09-30 20:00:00,0.4114,0.424,0.4107,0.4203,800075.0
2020-10-01 00:00:00,0.421,0.434,0.421,0.4274,1002951.0
2020-10-01 04:00:00,0.4282,0.4296,0.423,0.4286,488774.0
2020-10-01 08:00:00,0.4294,0.4375,0.4259,0.4371,1105267.0
2020-10-01 12:00:00,0.4371,0.4505,0.4268,0.4287,2954237.0
2020-10-01 16:00:00,0.4287,0.4291,0.4,0.4224,3734604.0
2020-10-01 20:00:00,0.4223,0.4374,0.4152,0.4355,1277953.0
2020-10-02 00:00:00,0.4351,0.4355,0.4217,0.4276,1165946.0
2020-10-02 04:00:00,0.428,0.4303,0.3902,0.3982,2725530.0
2020-10-02 08:00:00,0.3978,0.3999,0.3768,0.3907,1886719.0
2020-10-02 12:00:00,0.3895,0.4077,0.3863,0.3986,1476472.0
2020-10-02 16:00:00,0.3987,0.4092,0.394,0.3988,868500.0
2020-10-02 20:00:00,0.3989,0.4035,0.381,0.3949,1630591.0
2020-10-03 00:00:00,0.3947,0.3958,0.3896,0.3954,636766.0
