datetime,open,high,low,close,volume
2020-01-17 08:00:00,2.669,2.896,2.669,2.764,2754845.91
2020-01-17 12:00:00,2.764,2.781,2.658,2.725,1829678.95
2020-01-17 16:00:00,2.725,2.777,2.592,2.679,2205435.15
2020-01-17 20:00:00,2.679,2.754,2.652,2.696,1384298.38
2020-01-18 00:00:00,2.696,2.799,2.675,2.706,1434394.25
2020-01-18 04:00:00,2.702,2.707,2.56,2.635,1546703.06
2020-01-18 08:00:00,2.638,2.777,2.627,2.719,1381632.76
2020-01-18 12:00:00,2.715,2.779,2.673,2.703,1304831.0
2020-01-18 16:00:00,2.698,2.739,2.654,2.731,1059444.65
2020-01-18 20:00:00,2.735,2.792,2.717,2.774,1193976.69
2020-01-19 00:00:00,2.777,2.833,2.728,2.833,1467304.67
2020-01-19 04:00:00,2.833,2.854,2.772,2.809,1282403.83
2020-01-19 08:00:00,2.809,2.831,2.556,2.68,1890218.88
2020-01-19 12:00:00,2.68,2.686,2.586,2.615,1402195.9
2020-01-19 16:00:00,2.614,2.643,2.52,2.573,1470923.27
2020-01-19 20:00:00,2.573,2.675,2.519,2.623,1901915.85
2020-01-20 00:00:00,2.623,2.648,2.556,2.578,1299657.08
2020-01-20 04:00:00,2.583,2.627,2.56,2.613,892192.59
2020-01-20 08:00:00,2.612,2.625,2.578,2.601,991430.66
2020-01-20 12:00:00,2.598,2.649,2.544,2.638,1394098.76
2020-01-20 16:00:00,2.634,2.741,2.634,2.697,1704613.35
2020-01-20 20:00:00,2.697,2.745,2.667,2.695,962729.08
2020-01-21 00:00:00,2.694,2.745,2.689,2.736,720155.2
2020-01-21 04:00:00,2.74,2.744,2.679,2.693,649166.78
2020-01-21 08:00:00,2.693,2.723,2.681,2.709,842592.67
2020-01-21 12:00:00,2.709,2.719,2.686,2.692,722615.28
2020-01-21 16:00:00,2.693,2.701,2.561,2.597,1508474.82
2020-01-21 20:00:00,2.597,2.689,2.588,2.673,1414497.27
2020-01-22 00:00:00,2.675,2.681,2.656,2.662,571362.61
2020-01-22 04:00:00,2.663,2.694,2.657,2.682,788862.08
2020-01-22 08:00:00,2.683,2.692,2.653,2.673,580578.36
2020-01-22 12:00:00,2.673,2.68,2.637,2.643,600972.78
2020-01-22 16:00:00,2.643,2.661,2.626,2.647,550275.64
2020-01-22 20:00:00,2.647,2.66,2.637,2.654,216724.88
2020-01-23 00:00:00,2.656,2.659,2.575,2.577,637613.53
2020-01-23 04:00:00,2.577,2.584,2.472,2.533,1061780.94
2020-01-23 08:00:00,2.531,2.552,2.43,2.471,1335337.09
2020-01-23 12:00:00,2.471,2.505,2.433,2.494,987774.65
2020-01-23 16:00:00,2.496,2.522,2.439,2.468,835468.33
2020-01-23 20:00:00,2.471,2.489,2.448,2.471,401132.1
2020-01-24 00:00:00,2.47,2.474,2.35,2.395,863403.85
2020-01-24 04:00:00,2.395,2.413,2.367,2.393,220993.05
2020-01-24 08:00:00,2.394,2.527,2.376,2.51,1042838.45
2020-01-24 12:00:00,2.512,2.542,2.487,2.522,878074.86
2020-01-24 16:00:00,2.522,2.529,2.465,2.527,564232.0
2020-01-24 20:00:00,2.525,2.526,2.482,2.504,216867.5
2020-01-25 00:00:00,2.506,2.515,2.436,2.442,507849.86
2020-01-25 04:00:00,2.443,2.505,2.438,2.456,338058.24
2020-01-25 08:00:00,2.454,2.498,2.444,2.446,324158.12
2020-01-25 12:00:00,2.448,2.467,2.438,2.442,231066.55
2020-01-25 16:00:00,2.442,2.493,2.442,2.485,384055.79
2020-01-25 20:00:00,2.485,2.49,2.442,2.448,239022.84
2020-01-26 00:00:00,2.449,2.468,2.429,2.466,207672.97
2020-01-26 04:00:00,2.466,2.481,2.462,2.47,192964.14
2020-01-26 08:00:00,2.472,2.498,2.461,2.498,279702.13
2020-01-26 12:00:00,2.499,2.529,2.487,2.51,311051.35
2020-01-26 16:00:00,2.511,2.576,2.507,2.545,543883.74
2020-01-26 20:00:00,2.546,2.582,2.546,2.575,263181.14
2020-01-27 00:00:00,2.579,2.63,2.576,2.608,666641.99
2020-01-27 04:00:00,2.608,2.625,2.583,2.601,319059.66
2020-01-27 08:00:00,2.603,2.624,2.561,2.608,637203.04
2020-01-27 12:00:00,2.613,2.683,2.601,2.669,670120.89
2020-01-27 16:00:00,2.669,2.676,2.618,2.651,851396.39
2020-01-27 20:00:00,2.651,2.66,2.564,2.608,674778.92
2020-01-28 00:00:00,2.61,2.67,2.602,2.618,676953.36
2020-01-28 04:00:00,2.616,2.636,2.588,2.63,297576.11
2020-01-28 08:00:00,2.631,2.652,2.595,2.641,391691.07
2020-01-28 12:00:00,2.641,2.678,2.598,2.626,912341.32
2020-01-28 16:00:00,2.629,2.637,2.591,2.613,320651.67
2020-01-28 20:00:00,2.614,2.677,2.612,2.656,631743.9
2020-01-29 00:00:00,2.659,2.729,2.644,2.721,826423.05
2020-01-29 04:00:00,2.721,2.812,2.717,2.758,1317554.26
2020-01-29 08:00:00,2.759,2.768,2.696,2.718,579216.13
2020-01-29 12:00:00,2.721,2.724,2.661,2.673,519151.64
2020-01-29 16:00:00,2.673,2.777,2.673,2.75,497569.68
2020-01-29 20:00:00,2.756,2.839,2.748,2.781,1294082.95
2020-01-30 00:00:00,2.781,2.794,2.706,2.756,754999.41
2020-01-30 04:00:00,2.757,2.798,2.756,2.795,445144.18
2020-01-30 08:00:00,2.795,2.871,2.772,2.842,1182040.18
2020-01-30 12:00:00,2.84,2.946,2.833,2.918,2224050.85
2020-01-30 16:00:00,2.918,2.932,2.85,2.91,1376513.24
2020-01-30 20:00:00,2.911,2.95,2.884,2.914,808897.76
2020-01-31 00:00:00,2.917,2.917,2.853,2.906,608708.13
2020-01-31 04:00:00,2.904,2.914,2.859,2.885,500765.06
2020-01-31 08:00:00,2.884,2.929,2.866,2.877,947358.18
2020-01-31 12:00:00,2.875,2.877,2.762,2.839,1067548.88
2020-01-31 16:00:00,2.84,2.856,2.8,2.803,390532.47
2020-01-31 20:00:00,2.803,2.86,2.801,2.825,417090.88
2020-02-01 00:00:00,2.83,2.888,2.827,2.856,535592.62
2020-02-01 04:00:00,2.857,2.865,2.832,2.849,254879.88
2020-02-01 08:00:00,2.851,2.854,2.757,2.78,569280.04
2020-02-01 12:00:00,2.778,2.808,2.737,2.781,752583.18
2020-02-01 16:00:00,2.78,2.82,2.779,2.807,485188.36
2020-02-01 20:00:00,2.809,2.843,2.805,2.841,314211.03
2020-02-02 00:00:00,2.84,2.842,2.74,2.755,415341.42
2020-02-02 04:00:00,2.756,2.835,2.737,2.825,362987.77
2020-02-02 08:00:00,2.828,2.89,2.813,2.878,617400.05
2020-02-02 12:00:00,2.879,2.894,2.833,2.861,854811.38
2020-02-02 16:00:00,2.86,2.891,2.855,2.862,467333.29
2020-02-02 20:00:00,2.862,2.89,2.805,2.832,1084697.06
2020-02-03 00:00:00,2.832,2.884,2.808,2.832,706013.83
2020-02-03 04:00:00,2.831,2.853,2.819,2.83,346602.46
2020-02-03 08:00:00,2.828,2.834,2.779,2.803,574802.39
2020-02-03 12:00:00,2.804,2.815,2.75,2.75,519607.55
2020-02-03 16:00:00,2.753,2.794,2.747,2.786,729720.89
2020-02-03 20:00:00,2.786,2.81,2.76,2.782,704524.4
2020-02-04 00:00:00,2.78,2.806,2.773,2.785,591585.1
2020-02-04 04:00:00,2.783,2.783,2.701,2.745,1112089.85
2020-02-04 08:00:00,2.745,2.761,2.676,2.715,1295593.12
2020-02-04 12:00:00,2.714,2.747,2.691,2.744,780593.19
2020-02-04 16:00:00,2.745,2.767,2.712,2.717,798384.93
2020-02-04 20:00:00,2.717,2.751,2.707,2.741,408328.44
2020-02-05 00:00:00,2.743,2.761,2.732,2.756,354967.55
2020-02-05 04:00:00,2.757,2.812,2.75,2.795,925065.3
2020-02-05 08:00:00,2.794,2.864,2.773,2.853,1689827.96
2020-02-05 12:00:00,2.854,2.881,2.824,2.864,1250269.2
2020-02-05 16:00:00,2.864,2.891,2.811,2.828,1589183.11
2020-02-05 20:00:00,2.828,2.885,2.828,2.843,862796.41
2020-02-06 00:00:00,2.843,2.862,2.794,2.862,881452.35
2020-02-06 04:00:00,2.861,2.899,2.855,2.878,736615.76
2020-02-06 08:00:00,2.879,2.969,2.844,2.943,1560314.97
2020-02-06 12:00:00,2.943,2.97,2.811,2.897,2060858.21
2020-02-06 16:00:00,2.898,2.933,2.875,2.924,953829.99
2020-02-06 20:00:00,2.924,2.932,2.884,2.902,617798.54
2020-02-07 00:00:00,2.902,3.065,2.9,3.025,2147020.75
2020-02-07 04:00:00,3.026,3.278,3.026,3.27,5304367.1
2020-02-07 08:00:00,3.269,3.328,3.164,3.204,5038552.69
2020-02-07 12:00:00,3.202,3.26,3.14,3.219,3297353.67
2020-02-07 16:00:00,3.224,3.365,3.193,3.307,3639089.07
2020-02-07 20:00:00,3.307,3.345,3.228,3.311,2072246.37
2020-02-08 00:00:00,3.31,3.394,3.11,3.199,4160652.78
2020-02-08 04:00:00,3.198,3.296,3.186,3.28,1617927.11
2020-02-08 08:00:00,3.286,3.385,3.279,3.333,2698136.55
2020-02-08 12:00:00,3.33,3.351,3.25,3.317,1491863.76
2020-02-08 16:00:00,3.317,3.48,3.31,3.427,2482296.51
2020-02-08 20:00:00,3.427,3.473,3.376,3.42,1509325.02
2020-02-09 00:00:00,3.419,3.448,3.336,3.414,1355520.73
2020-02-09 04:00:00,3.413,3.433,3.37,3.409,1623939.16
2020-02-09 08:00:00,3.41,3.423,3.321,3.355,1844283.43
2020-02-09 12:00:00,3.353,3.434,3.232,3.308,2087023.27
2020-02-09 16:00:00,3.307,3.384,3.307,3.324,1527433.07
2020-02-09 20:00:00,3.325,3.525,3.278,3.504,2180420.09
2020-02-10 00:00:00,3.503,3.511,3.387,3.417,2706921.29
2020-02-10 04:00:00,3.417,3.48,3.318,3.436,2824683.05
2020-02-10 08:00:00,3.427,3.436,3.272,3.326,3351250.23
2020-02-10 12:00:00,3.326,3.446,3.319,3.387,1622162.73
2020-02-10 16:00:00,3.387,3.398,3.33,3.351,1211907.46
2020-02-10 20:00:00,3.351,3.447,3.351,3.388,1077983.56
2020-02-11 00:00:00,3.389,3.473,3.353,3.45,1771578.21
2020-02-11 04:00:00,3.447,3.451,3.378,3.415,1691340.49
2020-02-11 08:00:00,3.417,3.651,3.409,3.63,3995450.32
2020-02-11 12:00:00,3.626,3.849,3.618,3.741,6241161.14
2020-02-11 16:00:00,3.746,3.899,3.684,3.845,4008199.18
2020-02-11 20:00:00,3.841,3.999,3.81,3.989,2534632.91
