datetime,open,high,low,close,volume
2020-02-05 08:00:00,65.99,69.18,64.77,68.67,30474.687
2020-02-05 12:00:00,68.61,70.08,68.05,69.57,21588.96
2020-02-05 16:00:00,69.6,73.26,69.19,70.81,22918.748
2020-02-05 20:00:00,70.82,71.75,70.26,71.22,8815.944
2020-02-06 00:00:00,71.22,72.87,69.57,72.8,11793.523
2020-02-06 04:00:00,72.8,73.47,71.7,72.06,8170.129
2020-02-06 08:00:00,72.07,72.6,71.35,72.09,5920.649
2020-02-06 12:00:00,72.09,72.85,67.76,70.08,20541.632
2020-02-06 16:00:00,70.08,70.42,68.78,69.35,10858.436
2020-02-06 20:00:00,69.35,70.76,69.1,70.17,12004.791
2020-02-07 00:00:00,70.21,72.25,70.04,70.1,18066.893
2020-02-07 04:00:00,70.1,71.19,69.28,69.65,17159.473
2020-02-07 08:00:00,69.65,70.49,68.98,68.99,21178.846
2020-02-07 12:00:00,69.03,69.66,68.03,68.9,23009.265
2020-02-07 16:00:00,68.92,70.03,68.67,68.74,13813.598
2020-02-07 20:00:00,68.74,69.17,68.31,68.59,4944.768
2020-02-08 00:00:00,68.61,69.02,66.0,66.99,14482.599
2020-02-08 04:00:00,66.99,72.34,66.94,70.76,31016.691
2020-02-08 08:00:00,70.76,71.8,70.39,70.97,15239.847
2020-02-08 12:00:00,70.97,71.54,70.0,70.15,11082.161
2020-02-08 16:00:00,70.15,71.35,69.65,71.04,11802.85
2020-02-08 20:00:00,71.04,71.31,70.08,70.13,5929.879
2020-02-09 00:00:00,70.14,72.1,70.14,71.05,12403.717
2020-02-09 04:00:00,71.07,73.1,70.46,72.23,19634.686
2020-02-09 08:00:00,72.23,72.29,70.89,71.26,13015.934
2020-02-09 12:00:00,71.26,71.59,68.85,70.14,14849.75
2020-02-09 16:00:00,70.14,71.0,69.79,70.22,8133.958
2020-02-09 20:00:00,70.23,71.44,69.51,71.43,5541.168
2020-02-10 00:00:00,71.43,71.65,70.23,70.44,11390.496
2020-02-10 04:00:00,70.44,70.6,68.19,70.12,13224.795
2020-02-10 08:00:00,70.08,70.38,68.0,68.67,14116.246
2020-02-10 12:00:00,68.8,70.45,68.42,69.71,12954.233
2020-02-10 16:00:00,69.71,70.49,68.9,69.99,18379.461
2020-02-10 20:00:00,69.99,70.29,69.66,69.9,6048.17
2020-02-11 00:00:00,69.9,70.26,68.69,68.72,9682.983
2020-02-11 04:00:00,68.72,69.09,68.24,68.25,8525.407
2020-02-11 08:00:00,68.26,69.88,68.24,69.16,11452.969
2020-02-11 12:00:00,69.16,71.63,69.12,71.46,20154.788
2020-02-11 16:00:00,71.5,72.55,70.74,72.27,28832.889
2020-02-11 20:00:00,72.28,73.21,71.98,72.75,13764.812
2020-02-12 00:00:00,72.8,74.64,72.74,73.74,24426.763
2020-02-12 04:00:00,73.74,75.27,73.62,74.61,27725.221
2020-02-12 08:00:00,74.61,74.69,73.11,74.13,18374.999
2020-02-12 12:00:00,74.13,74.31,72.37,72.99,13179.944
2020-02-12 16:00:00,72.99,74.33,72.92,74.07,16144.112
2020-02-12 20:00:00,74.07,74.44,73.2,73.61,10057.335
2020-02-13 00:00:00,73.61,74.39,73.59,73.67,10693.556
2020-02-13 04:00:00,73.67,76.01,72.5,72.79,25528.919
2020-02-13 08:00:00,72.88,73.49,70.1,71.15,35853.615
2020-02-13 12:00:00,71.15,74.2,70.85,72.29,29544.973
2020-02-13 16:00:00,72.33,72.78,71.05,72.05,13595.956
2020-02-13 20:00:00,72.05,72.44,71.31,72.12,6237.48
2020-02-14 00:00:00,72.13,72.71,71.29,71.72,7961.139
2020-02-14 04:00:00,71.73,72.38,70.72,70.8,9601.159
2020-02-14 08:00:00,70.8,72.88,70.47,72.08,22308.381
2020-02-14 12:00:00,72.05,72.73,71.59,72.41,19567.429
2020-02-14 16:00:00,72.41,73.39,72.21,72.73,13182.087
2020-02-14 20:00:00,72.73,73.16,72.42,72.96,9746.651
2020-02-15 00:00:00,72.97,73.09,71.27,71.5,11306.564
2020-02-15 04:00:00,71.5,71.55,70.59,70.85,10814.343
2020-02-15 08:00:00,70.85,71.54,70.82,71.09,7175.624
2020-02-15 12:00:00,71.09,71.42,66.57,67.63,22634.012
2020-02-15 16:00:00,67.64,69.03,62.43,64.59,46336.658
2020-02-15 20:00:00,64.56,65.75,64.1,64.53,8635.443
2020-02-16 00:00:00,64.53,66.62,64.03,66.08,16153.426
2020-02-16 04:00:00,66.05,66.33,64.75,64.94,7224.193
2020-02-16 08:00:00,64.94,65.77,63.68,64.19,9130.135
2020-02-16 12:00:00,64.14,64.36,58.67,59.99,62781.856
2020-02-16 16:00:00,60.03,61.71,53.42,57.96,61411.386
2020-02-16 20:00:00,57.94,60.96,57.6,60.06,20937.015
2020-02-17 00:00:00,60.04,60.72,56.91,57.1,30099.891
2020-02-17 04:00:00,57.1,59.03,54.82,58.07,40509.711
2020-02-17 08:00:00,58.07,59.31,55.48,57.85,35408.016
2020-02-17 12:00:00,57.89,64.06,56.85,63.21,56387.772
2020-02-17 16:00:00,63.27,66.16,62.0,64.2,64160.294
2020-02-17 20:00:00,64.18,65.27,63.64,64.21,23171.634
2020-02-18 00:00:00,64.22,65.61,63.22,63.97,22647.574
2020-02-18 04:00:00,63.97,65.34,63.26,63.82,31214.296
2020-02-18 08:00:00,63.82,63.82,61.24,62.64,33467.34
2020-02-18 12:00:00,62.64,65.01,60.07,63.68,70027.139
2020-02-18 16:00:00,63.69,65.74,63.47,65.65,41013.029
2020-02-18 20:00:00,65.65,66.5,65.1,65.91,21899.822
2020-02-19 00:00:00,65.97,66.08,64.45,65.23,12791.238
2020-02-19 04:00:00,65.27,65.36,63.61,63.78,9818.988
2020-02-19 08:00:00,63.79,68.6,63.48,68.13,29625.677
2020-02-19 12:00:00,68.15,68.33,66.72,67.27,10604.247
2020-02-19 16:00:00,67.27,69.67,66.59,66.65,24655.035
2020-02-19 20:00:00,66.65,66.91,60.7,62.07,36511.752
