datetime,sum_open_interest_last,sum_open_interest_value_last,sum_open_interest_mean,sum_open_interest_value_mean,count_toptrader_long_short_ratio_last,sum_toptrader_long_short_ratio_last,count_long_short_ratio_last,sum_taker_long_short_vol_ratio_last,observations
2025-01-01 00:00:00,5709864.27,35449431.89338565,5692215.755744681,35389700.06022151,3.71786389,1.197135,3.64466517,2.102282,47
2025-01-01 04:00:00,5760738.81,35505061.443639874,5732400.5147916665,35356728.94619933,3.73818526,1.18586,3.67510413,1.626099,48
2025-01-01 08:00:00,5787285.25,35730699.1335,5795440.360833333,35423464.02091228,3.63931386,1.194429,3.54238348,0.699958,48
2025-01-01 12:00:00,5783367.27,36537341.994452566,5789481.78875,36141588.86814784,3.32774592,1.179332,3.36369193,1.142569,48
2025-01-01 16:00:00,5779826.39,37933000.59757,5771716.859791666,37045426.8540209,3.19370147,1.221876,3.22590272,0.90121,48
2025-01-01 20:00:00,5768177.24,37713003.59750462,5768884.726666667,37921975.36354554,3.23450368,1.23202,3.23781213,0.664307,48
2025-01-02 00:00:00,5694907.03,37558417.39974705,5724466.443617022,37979579.19960692,3.4825713,1.459049,3.36305147,0.993641,47
2025-01-02 04:00:00,5697969.25,37949342.37894016,5697477.388333333,37843808.549604006,3.45049505,1.456913,3.3477472,0.285151,48
2025-01-02 08:00:00,5678543.72,38307142.13879404,5676652.34375,38172125.61038842,3.37566845,1.441491,3.28379988,0.594236,48
2025-01-02 12:00:00,5659913.92,37713088.34150581,5685112.825208333,38168082.080329455,3.46666667,1.453154,3.31989247,1.117167,48
2025-01-02 16:00:00,5685068.57,38034361.77926351,5670528.165416666,37916880.18436275,3.45716862,1.437028,3.29352347,2.037634,48
2025-01-02 20:00:00,5673642.63,38036321.69052827,5683253.083749999,37972505.16781556,3.67123936,1.444573,3.4683153,0.782284,48
2025-01-03 00:00:00,5691911.31,38984405.833156995,5669037.19574468,38278505.68318253,3.65054016,1.473071,3.42548596,1.124856,47
2025-01-03 04:00:00,5720291.16,38348831.93664,5726555.6475,38679183.03390125,3.68391077,1.479955,3.34200969,1.325697,48
2025-01-03 08:00:00,5674084.67,39639155.50462,5695279.262291666,39030388.08452598,3.46333783,1.46642,3.18985507,1.083487,48
2025-01-03 12:00:00,5656130.95,41291997.06376632,5658220.451875,40178311.480146386,3.45018116,1.439725,3.25081049,1.503397,48
2025-01-03 16:00:00,5643848.95,41420207.44405,5645011.928958333,41471954.130924,3.48765996,1.452662,3.18576389,0.983248,48
2025-01-03 20:00:00,5615742.41,41472257.69785,5637580.34,41625049.89472655,3.41681574,1.44646,3.23416618,0.190663,48
2025-01-04 00:00:00,5636333.07,41811616.08440606,5636333.07,41811616.08440606,3.39145907,1.452539,3.17258157,5.280079,1
2025-01-04 04:00:00,5619178.33,41329056.61715,5626909.245416666,41409282.386919156,3.64874884,1.514608,3.08657642,0.600945,48
2025-01-04 08:00:00,5566958.58,40404985.37364,5587597.867291667,40705066.13079936,3.72999532,1.512553,3.10529248,0.707183,48
2025-01-04 12:00:00,5582344.86,40684129.33968,5595945.627291667,41140674.85123393,3.65023041,1.518426,3.16128118,1.385056,48
2025-01-04 16:00:00,5531406.96,40318425.33144,5551703.778125,40515720.61994454,3.85911471,1.517806,3.31018651,2.177527,48
2025-01-04 20:00:00,5508298.28,40224811.10708745,5521763.757083333,40291371.69968657,3.9012464,1.521876,3.39397485,0.574405,48
2025-01-05 00:00:00,5494961.91,39916821.39906012,5506914.094255319,40053424.36965743,3.85605338,1.524415,3.41631924,1.049774,47
2025-01-05 04:00:00,5508789.47,40352956.5859056,5500190.264166667,40120135.338686906,3.7843413,1.545236,3.40759419,2.525222,48
2025-01-05 08:00:00,5499369.16,39794388.007466964,5501638.293333334,40029868.968887515,3.81556604,1.546986,3.37190813,0.944913,48
2025-01-05 12:00:00,5488007.26,39745845.52364487,5487603.21375,39723980.540939845,3.8365019,1.567465,3.4173913,0.805091,48
2025-01-05 16:00:00,5456630.85,39827948.57415,3310092.1447916664,24028867.309652206,3.79170594,1.565584,3.37748738,0.968777,48
2025-01-05 20:00:00,5440449.4,39922017.6972,5450411.600833333,39856021.67619821,3.83881736,1.551837,3.45096852,1.720227,48
2025-01-06 00:00:00,5479101.47,40934439.68046448,5453077.64787234,40062143.5061509,3.86614937,1.523999,3.48743407,2.559526,47
2025-01-06 04:00:00,5526075.42,41064559.71484254,5523928.056875,41397786.01721384,3.84678194,1.465858,3.46697531,1.180382,48
2025-01-06 08:00:00,5517796.63,41256496.81629789,5524644.5477083335,41017638.41867244,3.82516811,1.463818,3.49053677,0.775138,48
2025-01-06 12:00:00,5518329.49,41680043.3474832,5527276.573125,41289016.98006314,3.8255814,1.48125,3.51494181,1.168335,48
2025-01-06 16:00:00,5550624.08,41662617.22620335,5509811.010833333,41348039.248171516,3.81543624,1.454265,3.57650016,0.396705,48
2025-01-06 20:00:00,5545508.4,41295063.17936873,5543961.957083333,41369286.71895246,3.85507944,1.450162,3.56914894,0.493478,48
2025-01-07 00:00:00,5577108.07,41228572.30471689,5559973.7861702135,41089855.52138839,3.95929377,1.459087,3.57755359,1.99386,47
2025-01-07 04:00:00,5853502.35,44244461.570136756,5739974.626041667,43368332.06321211,3.12687155,1.420968,2.62053571,1.686086,48
2025-01-07 08:00:00,5862229.71,43626713.50182,5880025.006041667,44439384.41554309,3.54395842,1.441353,3.10404934,1.730389,48
2025-01-07 12:00:00,5617823.86,40173058.42286,5809701.598333333,43235232.89728344,3.68102658,1.46378,3.13594146,1.196455,48
2025-01-07 16:00:00,5537775.22,38022431.22457814,5564634.155208333,39106007.94539256,3.84706439,1.466856,3.3717835,0.49603,48
2025-01-07 20:00:00,5516025.21,37375946.191792116,5524317.196458333,37829586.54954248,3.89620853,1.456352,3.39450355,0.466853,48
2025-01-08 00:00:00,5584487.11,37403400.589098595,5530296.898510638,37451283.62772453,3.59484673,1.38661,3.2958528,0.982355,47
2025-01-08 04:00:00,5663200.75,37165538.93538683,5627248.878125,37131000.314558215,3.579252,1.394308,3.31596091,2.438578,48
2025-01-08 08:00:00,5645193.89,36974052.064909935,5635433.69125,37129645.448237926,3.62198391,1.388802,3.33274648,1.582274,48
2025-01-08 12:00:00,5623716.23,36930944.48241,5627800.247916666,37008729.05077372,3.64177102,1.377961,3.37908689,1.248527,48
2025-01-08 16:00:00,5673061.15,36177110.95355,4125751.8314583334,26637999.721877705,3.776,1.408125,3.46836228,1.074852,48
2025-01-08 20:00:00,5747506.9,37186369.643,5704650.400416668,36607489.388220645,3.81566604,1.338802,3.59463673,0.232639,48
2025-01-09 00:00:00,5742419.47,37061575.25938,5742419.47,37061575.25938,3.82433067,1.336801,3.61025962,0.289621,1
