datetime,sum_open_interest_last,sum_open_interest_value_last,sum_open_interest_mean,sum_open_interest_value_mean,count_toptrader_long_short_ratio_last,sum_toptrader_long_short_ratio_last,count_long_short_ratio_last,sum_taker_long_short_vol_ratio_last,observations
2025-01-01 00:00:00,181361.207,6912031.04134515,181879.97602127658,6943965.7097746935,2.74210526,2.87136,2.11203091,0.768059,47
2025-01-01 04:00:00,182008.219,6910852.07543,182145.439125,6919252.094819042,2.82346609,2.909408,2.11551155,1.897296,48
2025-01-01 08:00:00,179967.879,6878372.33538,181313.29604166668,6833891.990433072,2.78739316,3.062983,2.09426681,0.834047,48
2025-01-01 12:00:00,179183.249,6998897.70594,179705.78347916668,6923524.434796262,2.72384937,3.059248,2.06077048,0.472225,48
2025-01-01 16:00:00,180664.402,7163343.5393,179273.933875,7032331.993247662,2.80108108,3.070887,2.03150462,0.841109,48
2025-01-01 20:00:00,180585.465,7115441.86608954,180778.2339791667,7168449.026473674,2.87583149,3.136191,2.08462389,0.818679,48
2025-01-02 00:00:00,180569.366,7116146.0982264895,180569.366,7116146.0982264895,2.87486157,3.140839,2.08061844,0.977325,1
2025-01-02 04:00:00,185903.701,7352069.79515013,185048.4736875,7270673.575605386,2.943098,3.156229,2.12827225,0.852092,48
2025-01-02 08:00:00,186570.292,7526306.72023039,187121.8755625,7474195.016903366,2.86961094,3.153748,2.06987578,0.294912,48
2025-01-02 12:00:00,186358.694,7553460.486415329,186870.61639583332,7569466.871965286,2.96644295,3.177074,2.11141453,0.410606,48
2025-01-02 16:00:00,186786.022,7554232.372149169,186776.83947916667,7597597.23914671,3.00337838,3.236975,2.13576159,2.459321,48
2025-01-02 20:00:00,187833.378,7565127.02589608,187511.5165,7529477.051397309,3.01021566,3.220911,2.1661055,1.504489,48
2025-01-03 00:00:00,188920.883,7583284.24362,188646.45353191489,7561350.7684501875,3.03397508,3.217222,2.16638655,4.265436,47
2025-01-03 04:00:00,189630.675,7481263.7441002205,189566.28939583336,7526840.237565846,3.15384615,3.124242,2.28794902,0.608627,48
2025-01-03 08:00:00,189534.136,7853816.715841539,190654.30014583332,7682496.448669753,2.86819172,3.110723,2.07612833,0.262833,48
2025-01-03 12:00:00,187094.025,8114094.3682187395,188468.586,7964202.444542692,2.82032086,3.010681,1.99274235,0.440545,48
2025-01-03 16:00:00,185923.448,8024456.01568,186294.265625,8076911.1488970965,2.95986985,3.103982,2.05028512,2.228383,48
2025-01-03 20:00:00,186226.353,8016898.7223854,186606.4634166667,8032704.079778272,2.99454148,3.157297,2.09238845,0.587058,48
2025-01-04 00:00:00,186275.963,8041156.465946499,186275.963,8041156.465946499,2.99454744,3.155599,2.08529566,1.926845,1
2025-01-04 04:00:00,187159.056,8017893.95904,187025.685125,8042558.336546749,3.06759657,3.412935,2.1084463,0.432066,48
2025-01-04 08:00:00,188194.391,8036987.33900941,187411.72027083335,7998787.311205021,3.0,3.358116,2.0479103,1.182868,48
2025-01-04 12:00:00,186123.286,7884182.39496,187692.26622916665,8060048.62095488,3.20417124,3.416401,2.18148536,2.081986,48
2025-01-04 16:00:00,186939.55,7980449.3895,188079.1750833333,7994420.519973066,3.10779082,3.394743,2.17734495,1.589354,48
2025-01-04 20:00:00,187296.984,8000751.93560165,187189.29202083335,8002991.8525681915,3.10633727,3.439942,2.16427105,0.967241,48
2025-01-05 00:00:00,186886.976,7896159.860631821,187253.4690425532,7934853.787061293,3.09265176,3.270602,2.17380093,2.878695,47
2025-01-05 04:00:00,191349.274,8180181.4635,189035.87360416667,8046200.558234966,3.03336809,3.318878,2.14964249,1.35392,48
2025-01-05 08:00:00,191114.986,8095630.80696,191209.91541666666,8112574.458768014,2.94693878,3.153879,2.09370277,0.997227,48
2025-01-05 12:00:00,190746.957,8344531.923983729,190737.08497916666,8133045.488990928,2.81809045,2.991249,1.93887531,1.601865,48
2025-01-05 16:00:00,191809.428,8416597.70064,190053.9623125,8303354.844427598,2.70547945,2.601763,1.93579767,2.326147,48
