datetime,sum_open_interest_last,sum_open_interest_value_last,sum_open_interest_mean,sum_open_interest_value_mean,count_toptrader_long_short_ratio_last,sum_toptrader_long_short_ratio_last,count_long_short_ratio_last,sum_taker_long_short_vol_ratio_last,observations
2025-01-01 00:00:00,288523.1,9694664.6831,289142.8170212766,9747242.970538972,2.65156794,1.982434,2.23038974,1.713224,47
2025-01-01 04:00:00,288362.2,9695602.2506,288805.5520833333,9684940.876622194,2.62402766,1.971723,2.23430549,1.233377,48
2025-01-01 08:00:00,287029.5,9604007.07,287249.67291666666,9551450.021992283,2.57361702,1.964447,2.21614968,1.222106,48
2025-01-01 12:00:00,285545.4,9721601.11713664,286355.53958333336,9647290.731830461,2.6284965,1.96718,2.26874685,1.633813,48
2025-01-01 16:00:00,292156.5,10233968.219399,288332.39999999997,9892025.650369523,2.68783069,2.097702,2.26065163,0.893473,48
2025-01-01 20:00:00,298348.0,10425887.29329048,295859.7604166667,10374595.325387852,2.77407741,2.085136,2.32859319,0.648941,48
2025-01-02 00:00:00,298351.1,10430354.456,298351.1,10430354.456,2.7749775,2.085123,2.31898734,0.885808,1
2025-01-02 04:00:00,310727.4,11056323.34886497,311191.64791666664,10997178.466821037,2.97368421,2.436185,2.39195462,0.293379,48
2025-01-02 08:00:00,312639.4,11228842.98825358,312867.31875000003,11185373.311894024,2.9766791,2.331715,2.50131096,1.008104,48
2025-01-02 12:00:00,313242.2,11085641.458,313903.97500000003,11177662.434469154,3.21400394,2.334991,2.66921815,0.909877,48
2025-01-02 16:00:00,311161.3,11060699.94233402,312141.58125,11104468.35299938,3.0949185,2.278987,2.57978723,0.43326,48
2025-01-02 20:00:00,307703.2,11015639.11520542,309315.60208333336,11019881.442085797,2.85675431,2.382278,2.41056911,1.461578,48
2025-01-03 00:00:00,308803.7,11127403.76073534,307773.2212765958,10985676.835590387,3.10751665,2.349428,2.49842437,0.724293,47
2025-01-03 04:00:00,307654.1,10881963.93354479,308213.9395833333,10965376.874760896,3.02518657,2.293315,2.44779221,0.405547,48
2025-01-03 08:00:00,311066.7,11437611.4923,309942.4354166667,11156495.091387685,2.90867159,2.326738,2.38816814,0.901414,48
2025-01-03 12:00:00,313014.6,11854227.15395987,313255.67291666666,11626174.804450685,2.86932849,2.308997,2.38453608,0.269675,48
2025-01-03 16:00:00,315045.5,12058708.19509703,313713.0958333333,11956845.51963677,2.99182561,2.342453,2.48708678,1.375597,48
2025-01-03 20:00:00,320341.6,12160971.21583991,318193.8020833333,12135288.530581718,3.19360902,2.395415,2.6417512,0.492559,48
2025-01-04 00:00:00,316413.1,12119540.78665439,316897.7,12074109.052304195,3.0178731,2.715794,2.43287392,2.093602,47
2025-01-04 04:00:00,317175.7,12127973.67664929,316834.3145833333,12119399.69149105,3.16605166,2.71621,2.5059126,0.725654,48
2025-01-04 08:00:00,319443.0,12143800.33240455,317453.9708333333,12060186.628405966,3.10669078,2.696311,2.5283208,1.71181,48
2025-01-04 12:00:00,319058.1,12053442.80644114,321606.3645833333,12314252.585235363,3.23617619,2.749495,2.6492039,0.96254,48
2025-01-04 16:00:00,316786.9,12072197.41357563,316894.01875,12041023.712664543,3.15398717,2.764478,2.61023822,1.576486,48
2025-01-04 20:00:00,316662.1,12056592.7954,317226.075,12104095.570092387,3.16298343,2.746012,2.63846154,0.486166,48
2025-01-05 00:00:00,316157.6,11961672.13109572,315951.02127659577,11966774.237684922,3.20036765,2.655658,2.65670103,4.668941,47
2025-01-05 04:00:00,316965.3,12131354.5628443,316940.5625,12079599.168292584,3.14845173,2.68531,2.6052094,1.016149,48
2025-01-05 08:00:00,316459.8,11865343.7412,317010.61666666664,11961901.983582003,3.45817121,2.693949,2.77884104,1.567289,48
2025-01-05 12:00:00,317458.9,11908435.33018614,316572.21875,11859753.72206056,3.48228346,2.771844,2.80290792,0.249031,48
2025-01-05 16:00:00,320876.5,11954254.0075,318483.28541666665,11845884.420083903,3.46303502,2.853577,2.73794549,2.340799,48
2025-01-05 20:00:00,321830.6,12086026.3524,320432.64999999997,12013926.350949919,3.49607843,2.826857,2.76663147,1.43586,48
2025-01-06 00:00:00,326043.7,12372495.25668993,325214.8659574468,12218833.720398622,3.22139535,2.69476,2.51340206,2.081079,47
