datetime,sum_open_interest_last,sum_open_interest_value_last,sum_open_interest_mean,sum_open_interest_value_mean,count_toptrader_long_short_ratio_last,sum_toptrader_long_short_ratio_last,count_long_short_ratio_last,sum_taker_long_short_vol_ratio_last,observations
2025-01-01 00:00:00,28225097.0,5915272.728018209,28196269.95744681,5931147.485790155,3.94412771,2.400743,3.08150065,0.755817,47
2025-01-01 04:00:00,28270846.0,5940160.75334598,28281957.458333332,5915428.963400605,3.86629213,2.397916,3.02298851,0.774262,48
2025-01-01 08:00:00,28565055.0,5949039.76470675,28394996.208333332,5879181.615281113,3.95756881,2.39902,3.08681462,0.300726,48
2025-01-01 12:00:00,29032056.0,6166699.01496,28767475.0625,6040787.153737273,3.97139588,2.422953,3.08397933,0.395921,48
2025-01-01 16:00:00,28808360.0,6241619.2776,28898159.666666668,6194169.650520612,3.95407577,2.426745,3.02309173,0.610572,48
2025-01-01 20:00:00,28571949.0,6226702.84589787,28678096.041666668,6249580.481739703,3.81646274,2.490688,2.91957606,0.641217,48
2025-01-02 00:00:00,28564820.0,6235128.9096,28564820.0,6235128.9096,3.82071269,2.492142,2.9165109,1.692339,1
2025-01-02 04:00:00,28838973.0,6451244.80689132,29022761.354166668,6464113.109298739,3.84797297,3.017206,2.94091487,0.3501,48
2025-01-02 08:00:00,28704914.0,6526349.24704,28799227.8125,6493970.983806129,3.57928803,2.968953,2.74772589,1.034819,48
2025-01-02 12:00:00,28363104.0,6396021.48388896,28468997.770833332,6468453.066240414,4.03864169,3.041651,3.00576184,1.037573,48
2025-01-02 16:00:00,28413090.0,6424906.8508101,28319774.541666668,6416259.556251622,4.00817757,3.04776,2.93706734,1.935152,48
2025-01-02 20:00:00,28344347.0,6403860.9931876,28363555.395833332,6383247.037497882,3.90421893,3.055095,2.84629405,0.768753,48
2025-01-03 00:00:00,28397778.0,6459074.6061,28385773.19148936,6407022.318331011,3.87695749,2.752255,2.80168269,2.496271,47
2025-01-03 04:00:00,28562002.0,6382401.27365554,28348471.854166668,6365177.312915941,3.87766554,2.697401,2.77405858,1.27095,48
2025-01-03 08:00:00,29213926.0,6893355.9570638,28840077.229166668,6582194.614290618,3.36984925,2.584858,2.55170486,1.239712,48
2025-01-03 12:00:00,28376613.0,6861749.92459452,28505169.75,6769089.4581115665,3.78256071,2.67375,2.81508079,0.836415,48
2025-01-03 16:00:00,27965628.0,6838262.46691524,28169520.4375,6886310.720959921,3.84062851,2.682609,2.87830363,0.200128,48
2025-01-03 20:00:00,27992675.0,6842978.75943375,27949114.1875,6836518.57057853,3.87301587,2.687909,2.85573972,2.393698,48
2025-01-04 00:00:00,28505122.0,7007949.75250238,28305719.106382977,6913354.9949039705,3.97954545,2.726587,2.84526699,2.065795,47
2025-01-04 04:00:00,28897383.0,7137017.56960017,28770759.479166668,7067024.684910342,4.08045977,2.699384,2.95398773,1.432311,48
2025-01-04 08:00:00,28742520.0,6940743.7296,28745113.4375,6978635.800669991,4.2035503,2.688905,3.00627746,0.744637,48
2025-01-04 12:00:00,28458017.0,6874034.00635,28729692.770833332,7044783.306329046,4.11294118,2.659969,2.95238095,0.58264,48
2025-01-04 16:00:00,28660935.0,6936806.09805,28481806.6875,6882840.454955943,4.18623962,2.652258,2.99310345,4.267103,48
2025-01-04 20:00:00,28695875.0,6974071.27603875,28696770.604166668,6982858.981348048,4.19761905,2.64673,3.00756144,0.504456,48
2025-01-05 00:00:00,28694784.0,6969942.08640768,28694784.0,6969942.08640768,4.20357143,2.646343,3.01008192,1.12019,1
2025-01-05 04:00:00,28822942.0,7022709.8183,28849735.395833332,7016244.578578097,4.1201867,2.639013,2.97885572,0.355066,48
2025-01-05 08:00:00,28745755.0,6890313.4924948495,28679587.125,6912372.840783815,4.16079812,2.612056,2.95033722,1.087126,48
2025-01-05 12:00:00,28811994.0,6958238.01789054,28729626.791666668,6889857.102348804,4.05080831,2.502496,2.94811612,2.06727,48
2025-01-05 16:00:00,28781008.0,6928452.05584,17396270.520833332,4185502.3038816308,4.09186047,2.511001,2.95132471,1.433914,48
2025-01-05 20:00:00,28666192.0,7033726.35264912,28795864.020833332,7022051.472262182,3.91816143,2.478426,2.92909988,0.399609,48
2025-01-06 00:00:00,28639075.0,7017432.54725,28639075.0,7017432.54725,3.92143659,2.48254,2.92663379,0.952713,1
2025-01-06 04:00:00,28260422.0,6897823.01884696,28414309.125,6990359.377399902,4.19014085,2.544272,2.99937343,0.445076,48
