datetime,sum_open_interest_last,sum_open_interest_value_last,sum_open_interest_mean,sum_open_interest_value_mean,count_toptrader_long_short_ratio_last,sum_toptrader_long_short_ratio_last,count_long_short_ratio_last,sum_taker_long_short_vol_ratio_last,observations
2025-01-01 00:00:00,1583574.484,5313765627.179817,1584004.2154255318,5312727166.733143,5.23794034,4.107003,4.5125497,2.108759,47
2025-01-01 04:00:00,1592601.674,5331963068.8754425,1589697.4325,5316836160.994944,5.42752397,3.906631,4.7063421,2.759532,48
2025-01-01 08:00:00,1606937.621,5366898474.744431,1599736.5672916668,5333127349.993936,5.50785131,3.858542,4.77059936,0.420188,48
2025-01-01 12:00:00,1617998.286,5417219093.016986,1613174.8848750002,5392046101.354434,5.49508354,3.82049,4.78234917,0.423694,48
2025-01-01 16:00:00,1626020.074,5453350275.4592285,1625026.0940833334,5430813435.292939,5.52839447,3.848889,4.81036774,0.875717,48
2025-01-01 20:00:00,1613214.876,5415343320.372376,1619529.5038958334,5441984246.084068,5.44278127,3.934531,4.73421605,0.406778,48
2025-01-02 00:00:00,1607491.428,5451139180.128396,1611393.8860851063,5457749354.560473,4.99887497,4.070282,4.21020156,0.963889,47
2025-01-02 04:00:00,1623166.324,5544845988.116588,1618074.4619583332,5516218284.237845,4.42367219,4.052845,3.68748523,0.557279,48
2025-01-02 08:00:00,1639934.171,5689902778.401063,1631224.4643125,5627592182.242328,3.83295056,3.817844,3.18720916,0.248255,48
2025-01-02 12:00:00,1617239.887,5601229486.630151,1630908.6618958332,5660222036.232049,3.80340624,3.790309,3.1737337,0.295409,48
2025-01-02 16:00:00,1615789.266,5604365069.121,1613945.1760416667,5589670790.489566,4.11431764,3.723551,3.38200481,1.447505,48
2025-01-02 20:00:00,1604954.722,5539267373.777461,1609876.9599375,5555328230.065555,4.32700901,3.881291,3.5249659,1.090563,48
2025-01-03 00:00:00,1617428.257,5614772799.91494,1612549.937787234,5577251551.863619,4.35689116,3.892496,3.447136,1.778578,47
2025-01-03 04:00:00,1605178.601,5514305019.7685995,1609541.4334583331,5554218771.98457,4.62735161,3.878107,3.67131752,0.999679,48
2025-01-03 08:00:00,1598040.48,5539519867.52718,1602372.7206041666,5516711502.100923,4.92506554,3.852587,3.95438142,1.871541,48
2025-01-03 12:00:00,1627197.033,5804195544.74067,1605889.6869375,5620779161.59209,3.84082712,3.871698,3.16765233,0.667192,48
2025-01-03 16:00:00,1635911.034,5922130997.171979,1647011.1143333334,5920203818.1473,3.63965527,3.755416,3.03039049,1.024391,48
2025-01-03 20:00:00,1646448.122,5935511337.73488,1632962.1195208335,5896840857.794113,3.50820229,3.657476,2.87203185,1.543844,48
2025-01-04 00:00:00,1643969.628,5910909237.17028,1644076.992787234,5913152063.929233,3.83981558,3.747188,2.89514801,1.785636,47
2025-01-04 04:00:00,1632357.03,5868277384.033692,1640602.9991875,5898051785.26991,3.86969643,3.879965,2.96425866,0.808214,48
2025-01-04 08:00:00,1618903.296,5833641386.7807665,1623539.6494375,5827037370.785857,3.91327604,4.162159,2.99298216,4.044923,48
2025-01-04 12:00:00,1632334.723,5888973980.1671,1637147.1396041668,5944647263.365224,3.62748127,3.959938,2.85738101,0.993609,48
2025-01-04 16:00:00,1628823.471,5913504174.086611,1629363.9753333332,5908351129.923679,3.55168539,4.043268,2.76552002,1.7428,48
2025-01-04 20:00:00,1631499.587,5969449195.106941,1629555.3216041669,5954745493.002709,3.42443483,4.12094,2.666999,0.557424,48
2025-01-05 00:00:00,1631131.553,5963400646.452471,1631131.553,5963400646.452471,3.42889242,4.123441,2.6707189,0.43337,1
2025-01-05 04:00:00,1625804.829,5903264818.00242,1623699.8183333334,5904938082.003968,3.52605282,4.080202,2.75362818,1.644396,48
