datetime,sum_open_interest_last,sum_open_interest_value_last,sum_open_interest_mean,sum_open_interest_value_mean,count_toptrader_long_short_ratio_last,sum_toptrader_long_short_ratio_last,count_long_short_ratio_last,sum_taker_long_short_vol_ratio_last,observations
2025-01-01 00:00:00,75140666.0,50975427.8144,75329818.59574468,50967176.29648441,2.25543666,1.842023,2.27246247,1.192206,47
2025-01-01 04:00:00,72049136.0,49461731.864,73747990.5625,50107392.41587851,2.12375581,1.766983,2.18132699,1.335754,48
2025-01-01 08:00:00,69123845.0,49146982.59743965,71408626.27083333,49097644.719322026,2.04256713,1.74802,2.08692853,0.9426,48
2025-01-01 12:00:00,66999446.0,51710172.4228,67355085.52083333,50260143.88400829,1.85444004,1.783945,1.72143751,0.978364,48
2025-01-01 16:00:00,69223560.0,54529279.7083608,69459522.625,54657903.63622052,1.67875211,1.684587,1.43186297,0.613268,48
2025-01-01 20:00:00,63256456.0,50554559.6352,64557975.958333336,52468861.668756925,1.63238148,1.721046,1.43623145,1.033362,48
2025-01-02 00:00:00,61922964.0,49081062.06087468,62526319.5319149,49871937.91731332,1.77604013,1.807019,1.46970914,1.376106,47
2025-01-02 04:00:00,61843465.0,51497053.3055,61016879.625,48533401.574015014,1.83199257,1.706731,1.51696339,1.005991,48
2025-01-02 08:00:00,61831386.0,51237191.994562976,62546280.5625,52480643.82544982,1.87352284,1.727191,1.60797402,1.054618,48
2025-01-02 12:00:00,59560818.0,48608579.42667696,60682696.0,49717001.00781351,1.91258278,1.848021,1.66641395,0.642141,48
2025-01-02 16:00:00,58513746.0,47974176.34316004,58988031.791666664,48272632.711714655,1.91560188,1.862509,1.69723351,1.255941,48
2025-01-02 20:00:00,63163883.0,49002540.4314,60221890.166666664,47805229.07591889,2.30994603,1.860291,2.12299954,1.263789,48
2025-01-03 00:00:00,61042093.0,48449104.94115349,61625740.55319149,48437007.243657395,2.26283288,1.828174,2.14174528,0.791261,47
2025-01-03 04:00:00,60173632.0,45729478.15768,60226625.291666664,46500966.93439305,2.3149638,1.873395,2.10399235,1.930344,48
2025-01-03 08:00:00,57547953.0,45267219.8298,58633202.75,45548221.14954415,2.26963025,1.833915,2.07345199,3.052681,48
2025-01-03 12:00:00,53875737.0,45158920.21344555,54769359.208333336,44276178.99532201,2.11964067,1.819147,1.96522603,0.809892,48
2025-01-03 16:00:00,52671368.0,43825014.22677,53166644.1875,44295879.29931416,1.97884841,1.865772,1.83608519,0.666997,48
2025-01-03 20:00:00,52517668.0,44944620.2744,52420475.229166664,44518711.99066549,1.95027195,1.818723,1.8107979,1.42492,48
2025-01-04 00:00:00,52066665.0,44329558.581,52292473.595744684,44258353.10028695,2.15065595,1.911077,1.86099899,0.997078,47
2025-01-04 04:00:00,51845804.0,44468146.0908,52145716.0,44412748.31776293,2.12075472,1.910985,1.8475976,1.234231,48
2025-01-04 08:00:00,51666919.0,43513879.1818,51635251.8125,43536881.58605034,2.22484417,1.997731,1.8563409,2.230465,48
2025-01-04 12:00:00,50549424.0,42539360.25098304,51583280.0,44233346.61039528,2.35438922,1.995796,1.94953519,1.52678,48
2025-01-04 16:00:00,50197995.0,42080979.2085,50341777.354166664,42212206.43161201,2.28307831,1.985433,1.9145104,1.304544,48
2025-01-04 20:00:00,49828034.0,42264138.4388,50046926.25,42644126.09871327,2.30729654,2.032718,1.87473904,0.717787,48
2025-01-05 00:00:00,48546299.0,40793455.0497,49350285.5106383,41465144.28537058,2.35828625,1.989078,1.92213983,0.676571,47
2025-01-05 04:00:00,48714947.0,40988756.4058,48540045.75,40746386.66603745,2.21354402,2.012629,1.74163614,0.947748,48
2025-01-05 08:00:00,45425257.0,37598485.2189,47975335.229166664,39809746.93631063,2.38877953,1.92044,1.95107202,0.846308,48
2025-01-05 12:00:00,43763951.0,36023674.8175458,44662311.875,36900449.06085611,2.30999517,2.018957,1.9087939,1.073872,48
2025-01-05 16:00:00,43666762.0,35840644.65734346,43756865.0625,35926842.473746344,2.30171149,2.070698,1.92194444,1.361629,48
2025-01-05 20:00:00,42617669.0,35268246.44065303,43072606.3125,35669261.38762168,2.39959121,2.088599,2.00173913,0.582373,48
2025-01-06 00:00:00,42488512.0,35180487.936,42488512.0,35180487.936,2.38767193,2.113329,1.98673204,4.214458,1
2025-01-06 04:00:00,36898040.0,29828375.536,37802739.375,30825858.73296581,2.44909862,1.772886,2.21542304,0.783757,48
2025-01-06 08:00:00,314.0,244.63134294,33210508.35714286,26646695.082208104,2.0,1.902146,3.0,0.999418,14
2025-01-07 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-01-08 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-01-09 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-01-10 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-01-11 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-01-12 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-01-13 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-01-14 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-01-15 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-01-16 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-01-17 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-01-18 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-01-19 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-01-20 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-01-21 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-01-22 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-01-23 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-01-24 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-01-25 04:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-01-26 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-01-27 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-01-28 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-01-29 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-01-30 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-01-31 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-01 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-02 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-03 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-04 00:00:00,0.0,0.0,0.0,0.0,,,,,2
2025-02-05 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-06 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-07 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-08 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-09 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-10 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-11 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-12 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-13 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-14 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-15 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-16 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-17 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-18 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-19 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-20 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-21 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-22 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-23 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-24 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-25 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-26 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-27 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-02-28 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-03-01 00:00:00,0.0,0.0,0.0,0.0,,,,,2
2025-03-02 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-03-03 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-03-04 00:00:00,0.0,0.0,0.0,0.0,,,,,2
2025-03-05 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-03-06 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-03-07 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-03-08 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-03-09 00:00:00,0.0,0.0,0.0,0.0,,,,,1
2025-03-10 00:00:00,0.0,0.0,0.0,0.0,,,,,1
