datetime,sum_open_interest_last,sum_open_interest_value_last,sum_open_interest_mean,sum_open_interest_value_mean,count_toptrader_long_short_ratio_last,sum_toptrader_long_short_ratio_last,count_long_short_ratio_last,sum_taker_long_short_vol_ratio_last,observations
2025-01-01 00:00:00,6994864.33,140526824.3897,6974565.028723405,140031332.0823865,3.71538845,2.516068,3.64304505,0.616878,47
2025-01-01 04:00:00,7072042.86,141448530.22506225,7020545.681875001,140472422.14290985,3.70853778,2.445044,3.63368726,2.032967,48
2025-01-01 08:00:00,7103746.75,142479848.56475,7101560.945833333,141199817.8116556,3.66316304,2.447575,3.48521548,0.767194,48
2025-01-01 12:00:00,7004191.19,143312755.93859,7078207.087083333,143034561.51038462,3.53782735,2.57427,3.36589948,0.741064,48
2025-01-01 16:00:00,6811404.63,146066550.49648622,6929250.072916667,144463405.88800445,3.55293527,2.663174,3.2927684,0.530135,48
2025-01-01 20:00:00,6666706.78,144693643.8830834,6708923.802708332,145136466.768242,3.47413576,2.817494,3.16144845,1.314031,48
2025-01-02 00:00:00,6663112.93,145931628.79055896,6678500.053404255,146687553.16877627,3.8480315,3.050661,3.21542848,0.519066,47
2025-01-02 04:00:00,6754209.4,150544573.3166,6686540.825208333,147857352.13938168,3.89597226,2.938577,3.09531773,0.795987,48
2025-01-02 08:00:00,6721901.27,151267491.44336212,6769230.736458334,151419000.989676,3.88745635,2.682791,3.12872504,0.982387,48
2025-01-02 12:00:00,6481636.67,143734372.05120644,6616411.431249999,148837759.58297676,3.96634214,2.792852,3.14337425,0.955152,48
2025-01-02 16:00:00,6393395.9,141870009.52022642,6451441.053541667,143655733.16815284,4.04023803,2.87823,3.22049391,0.541126,48
2025-01-02 20:00:00,6346889.18,139935290.1202977,6344950.890208334,139828550.17814168,4.21787061,3.042514,3.35936736,1.229962,48
2025-01-03 00:00:00,6371846.78,141473741.55817723,6366255.667446809,140692260.00207013,4.40615749,3.117717,3.43111911,1.690684,47
2025-01-03 04:00:00,6384230.69,139420224.0603604,6376497.404583334,140593518.44823387,4.48547215,3.273768,3.41231836,0.83705,48
2025-01-03 08:00:00,6553732.28,148304407.76412,6477547.717083334,143376025.0077706,4.38529322,3.224148,3.35140562,1.351337,48
2025-01-03 12:00:00,6577462.24,154418213.11233744,6565306.460416667,149939125.66405445,4.29433162,3.099695,3.3545669,1.316126,48
2025-01-03 16:00:00,6706454.64,159694097.88768,6645772.5633333335,157507112.23438376,3.71315581,3.053129,2.8767621,0.596774,48
2025-01-03 20:00:00,6698752.11,156616837.6623167,6663596.699583333,156648781.79313526,4.05193306,3.237668,3.13833992,0.878463,48
2025-01-04 00:00:00,6777526.78,157410977.5974304,6760946.143404256,157708408.4717264,4.54674483,3.392542,3.30847176,0.380634,47
2025-01-04 04:00:00,6827997.51,159148978.24222618,6816264.246458333,158091820.91469908,4.60104262,3.328454,3.38373237,0.476539,48
2025-01-04 08:00:00,6757468.01,155935374.9114059,6771983.832708334,156086735.45727316,4.60806305,3.26632,3.49038775,3.362375,48
2025-01-04 12:00:00,6828382.04,158656916.7109483,6843936.849166666,160866393.0822483,4.47234953,3.198563,3.31652893,1.000653,48
2025-01-04 16:00:00,6849757.79,161762518.30528894,6838570.233958334,160379759.53985614,4.18051576,3.141002,3.00841473,1.263725,48
2025-01-04 20:00:00,6823915.35,161232871.22742096,6839140.02625,162324028.68606535,4.16240299,3.171498,2.97407687,1.299378,48
2025-01-05 00:00:00,6821572.78,158874430.0462,6811246.599787234,159321391.93372256,4.47560976,3.061049,3.31158264,1.96671,47
2025-01-05 04:00:00,6781296.52,159492598.25641802,6804529.321874999,160176767.00635815,4.23923033,3.074822,3.07926829,1.764094,48
2025-01-05 08:00:00,6670549.14,153934386.4118344,6703348.967708333,155585938.38754293,4.58544015,3.215414,3.47344913,1.051442,48
2025-01-05 12:00:00,6676348.57,155412042.01246,6695163.374583334,155009932.28904024,4.56316268,3.25686,3.45330931,0.898655,48
2025-01-05 16:00:00,6685772.95,156019294.1037614,4036945.6372916666,94281558.43412583,4.61233886,3.274773,3.47162945,1.789705,48
2025-01-05 20:00:00,6715072.9,158717902.96882567,6683734.964583334,156908582.71162942,4.44995491,3.264496,3.32164215,0.769544,48
2025-01-06 00:00:00,6712396.44,158247928.55440015,6712396.44,158247928.55440015,4.47300151,3.26819,3.34437409,0.393211,1
2025-01-06 04:00:00,6727020.71,158354976.2666277,6777369.632708333,161651259.05999398,4.48405709,3.279082,3.35563207,0.958081,48
2025-01-06 08:00:00,6729588.39,160159430.78873026,6742132.166458334,158356136.48617312,4.25345224,3.094887,3.19271717,1.10576,48
2025-01-06 12:00:00,6939283.65,168903214.57915178,6787328.771458332,162370212.74300948,3.69473957,3.390491,2.73494144,1.10952,48
2025-01-06 16:00:00,6966776.86,166669242.28718847,6980899.253333334,168320415.14942604,4.11392045,3.271634,3.13440944,0.65825,48
2025-01-06 20:00:00,6984573.27,166217689.11799315,6961290.148541667,165865025.23587915,4.23123732,3.12454,3.19438343,1.151233,48
2025-01-07 00:00:00,7001797.34,164728270.97422743,7010959.570425532,165668819.54383746,4.51685393,3.153254,3.49390048,2.540701,47
2025-01-07 04:00:00,7019415.56,164135605.78154606,6996105.0925,164190464.25552896,4.55217263,3.120973,3.60804429,1.47295,48
2025-01-07 08:00:00,6971144.86,161609742.86447105,7043384.094374999,165122774.3249565,4.20135685,3.164166,3.33588589,0.834977,48
2025-01-07 12:00:00,6827486.48,151254035.54790336,6927696.362083334,159269810.1571891,4.58361872,3.336292,3.58754802,1.873246,48
2025-01-07 16:00:00,6775059.39,145395225.18388256,6839186.103333333,149205181.95638594,4.62452444,3.26442,3.88058659,1.252989,48
2025-01-07 20:00:00,6878460.89,147022466.81680232,6802220.391041666,145976035.7632632,4.52699229,2.855061,3.84102652,0.666196,48
2025-01-08 00:00:00,6809784.69,143747745.02121,6854705.352340425,146745483.51358944,3.8866201,2.766826,3.55674847,0.527212,47
2025-01-08 04:00:00,6860336.54,143574303.97884864,6831095.470416666,143006569.22436997,4.0302139,2.812815,3.53432189,1.737782,48
2025-01-08 08:00:00,6806303.66,141049912.60321268,6848123.270208334,143202095.15266755,4.11026822,2.819143,3.59278437,1.0504,48
2025-01-08 12:00:00,6716075.8,138331633.3478786,6754256.851666667,139873427.31983897,3.97216917,2.861593,3.59386189,1.054422,48
2025-01-08 16:00:00,6721269.9,136045224.0459,4904299.542708334,100224431.71586436,4.21131865,2.680911,3.7431694,1.31586,48
2025-01-08 20:00:00,6756423.22,138040482.80782,6727071.843125001,136650686.6443945,4.16945435,2.551458,3.77299965,0.315721,48
2025-01-09 00:00:00,6753125.19,136944144.42722145,6760589.492978724,138325354.90341914,3.84207765,2.643108,3.57547656,0.811732,47
2025-01-09 04:00:00,6839707.56,135320298.04758075,6768297.009791668,136282139.45269987,3.68459782,2.53381,3.36378414,1.097899,48
2025-01-09 08:00:00,6893724.28,137406928.33298576,6874459.283124999,137118097.78433317,3.76834274,2.508128,3.48609053,1.622844,48
2025-01-09 12:00:00,6885283.55,139812564.73677525,6875211.037291667,135836759.90104592,3.80469974,2.480399,3.5865664,1.129372,48
2025-01-09 16:00:00,6794583.79,132089743.6784498,6840334.796875,135932053.58837506,4.00497643,2.509155,3.63875839,1.242378,48
2025-01-09 20:00:00,6726308.79,132071073.09165,6758639.3133333335,132163452.3585365,4.02192287,2.542121,3.66643975,0.688592,48
2025-01-10 00:00:00,6763183.75,134769962.58625,6732892.018723404,133400479.50997026,3.72206525,2.413932,3.53930499,1.229666,47
2025-01-10 04:00:00,6813201.52,138505573.70008,6764504.240833334,135661522.55293813,3.8539267,2.327315,3.72185773,0.709179,48
2025-01-10 08:00:00,6753201.12,137265565.96512,6805810.738541666,138524995.61566868,3.85389095,2.434374,3.6594835,0.659963,48
2025-01-10 12:00:00,6620562.64,132656213.61768,6665662.1102083335,133662139.27897762,3.93237598,2.591877,3.65223252,0.656386,48
2025-01-10 16:00:00,6642059.87,135271415.5198272,6623143.519166667,133298357.21326129,3.92747596,2.547783,3.65639652,1.424661,48
2025-01-10 20:00:00,6639111.41,134331703.85553426,6628428.843958333,134572405.85041094,3.97673203,2.602937,3.74021592,0.732898,48
2025-01-11 00:00:00,6641029.09,132428761.08369,6627666.2802127665,132918837.83148094,3.92097587,2.856134,3.5644863,0.67973,47
2025-01-11 04:00:00,6688884.41,133175688.6031,6659600.295208334,132969375.64561589,3.94447396,2.878848,3.60873967,2.400878,48
2025-01-11 08:00:00,6695991.93,135330066.05959585,6674738.900208333,133506276.98789053,3.92463768,2.81099,3.63876726,1.220646,48
2025-01-11 12:00:00,6716347.53,134115730.13426982,6718260.600625,134599378.35821435,3.90119605,2.793014,3.61175305,1.115905,48
2025-01-11 16:00:00,6780954.55,135275502.40628558,6773070.651666666,135126275.92771795,4.02665245,2.75494,3.74804886,1.244684,48
2025-01-11 20:00:00,6762297.74,136490217.58416,6768589.708958334,137547607.87698665,4.02232383,2.819047,3.73688721,1.396498,48
2025-01-12 00:00:00,6781931.79,136992055.2662998,6772160.409148936,136593099.68804204,4.07006198,2.751498,3.78568971,1.277984,47
2025-01-12 04:00:00,6802499.05,136544616.82752186,6793997.917083333,136914291.0292703,4.08378233,2.718405,3.74467726,1.261377,48
2025-01-12 08:00:00,6914635.23,138146256.29058528,6864661.429166667,136879187.43748406,4.07524013,2.74641,3.72875708,1.082973,48
2025-01-12 12:00:00,6909519.89,139080163.83064848,6928308.281874999,138601614.73682696,4.00948617,2.736089,3.73502572,1.192544,48
2025-01-12 16:00:00,6902751.12,138186174.67128,6895254.880624999,138415302.13551673,4.01980983,2.765506,3.74634065,0.438397,48
2025-01-12 20:00:00,6914436.26,137085613.29076,6896236.279375001,136717279.45597294,4.12452626,2.746677,3.81215753,1.159329,48
2025-01-13 00:00:00,7221060.63,140240218.49523,6979867.1534042545,138183467.8086738,3.9230167,2.793753,3.7372436,1.485716,47
2025-01-13 04:00:00,7291832.22,139199026.54366142,7254171.2775,140273112.38721177,4.01408451,2.824693,3.73090307,1.125799,48
2025-01-13 08:00:00,7338267.86,133284959.14118,7286682.825208333,135673267.22682944,3.69657586,2.966145,3.1453266,0.761597,48
2025-01-13 12:00:00,7288949.42,137893663.99006805,7359492.799583334,136065072.6263602,3.83420229,2.737943,3.45791415,0.934441,48
2025-01-13 16:00:00,7138323.56,131816282.85896,7199482.895625,133761561.03455085,3.59952978,2.930498,3.24929131,1.118377,48
2025-01-13 20:00:00,7093420.88,137271880.86976,7112176.764166667,136234361.6505507,3.56333246,2.845938,3.25189938,0.928413,48
2025-01-14 00:00:00,7080181.43,137971495.52641,7062563.2274468085,137102122.63541782,3.73942334,2.772665,3.28680851,1.911321,47
2025-01-14 04:00:00,7106666.61,138388118.89653,7087001.200208333,138621904.22974768,3.69989253,2.745731,3.25836997,0.749495,48
2025-01-14 08:00:00,7084603.81,141173378.98658594,7109301.733333333,141387095.73499343,3.62313433,2.687314,3.21763917,1.279991,48
2025-01-14 12:00:00,7119708.53,144048760.8883991,7082814.211875,142067413.85418382,3.75169976,2.665381,3.31437732,0.858389,48
2025-01-14 16:00:00,7140515.68,145616536.26224,7088530.528541666,143339705.93615317,3.99858477,2.729078,3.39383678,0.749006,48
2025-01-14 20:00:00,7105188.18,144288150.6096605,7124888.760416667,144840260.7309467,3.94920545,2.758235,3.37885238,2.408749,48
2025-01-15 00:00:00,7104564.03,144319032.74018276,7104564.03,144319032.74018276,3.97486432,2.760083,3.39097744,2.723307,1
2025-01-15 04:00:00,7205697.33,149057054.96838,7161801.552083333,146495643.833465,4.28842168,2.85257,3.54677391,0.562599,48
2025-01-15 08:00:00,7110731.55,144134528.5185,7158652.503541667,146601371.74303475,4.14976415,3.08154,3.39171146,1.253463,48
2025-01-15 12:00:00,7073489.97,152971294.09122,7107888.870416666,148834679.8157084,4.26246641,3.075311,3.5194072,0.551546,48
2025-01-15 16:00:00,7037365.96,152394159.8638,7039815.891875,151701098.88307652,4.36258025,3.163013,3.59081158,0.875395,48
2025-01-15 20:00:00,7106825.37,157083584.86343637,7066363.057708333,153750446.52298668,4.3315822,3.059656,3.58330302,0.794968,48
2025-01-16 00:00:00,7124947.06,153713070.86518008,7105493.409148936,154510975.29916817,4.84607779,3.437981,3.63819188,0.651166,47
2025-01-16 04:00:00,7201165.18,156474118.19622,7181313.40125,155798220.44937494,4.69659344,3.403725,3.48628692,0.745824,48
2025-01-16 08:00:00,7371364.21,164992004.65926075,7230734.9383333335,157235291.3044352,4.34766585,3.288966,3.29884263,2.127074,48
2025-01-16 12:00:00,7297882.96,168523412.5954652,7336871.916666667,167775835.34162727,3.87940116,3.136434,2.930721,1.379869,48
2025-01-16 16:00:00,7329486.13,172770647.05636,7358945.214583334,172756119.77963302,3.81563181,3.325526,2.9725043,0.671021,48
2025-01-16 20:00:00,7259078.02,166835390.13366,7301995.604583333,169430738.18934062,4.0337273,3.456363,3.07089552,2.809583,48
2025-01-17 00:00:00,7263749.93,170959618.35248,7300309.801914894,172093492.92582425,3.78734245,3.356532,2.93097157,0.961655,47
2025-01-17 04:00:00,7441447.49,179415930.65180483,7373232.564583334,176443219.1632861,3.70583698,3.147808,3.03569259,0.517214,48
2025-01-17 08:00:00,7577764.63,182639283.11226,7502236.078333333,181045007.91413367,3.66080978,2.93166,3.03156641,0.794462,48
2025-01-17 12:00:00,7546067.32,183423447.53198895,7540720.021249999,182048458.06384835,3.54754679,2.821301,2.88461538,2.379152,48
2025-01-17 16:00:00,7430470.5,182165414.778,7537471.8585416665,184461840.1558121,3.44590571,2.9239,2.82828136,1.009586,48
2025-01-17 20:00:00,7397808.01,185640594.20294,7396652.7664583335,184280083.02589944,3.45167752,2.98188,2.87156921,1.195849,48
2025-01-18 00:00:00,7404821.77,182220489.12198687,7390678.364680851,185875119.8957621,3.72184211,3.273617,2.81595459,1.458562,47
2025-01-18 04:00:00,7433266.49,177361159.31497136,7442679.980833333,179307448.5497869,4.067476,3.379114,2.97052797,2.054995,48
2025-01-18 08:00:00,7304826.39,178137747.62098512,7382788.081875,177911946.75360158,4.16519258,3.556816,3.04966783,1.090746,48
2025-01-18 12:00:00,7254500.6,175741405.69020334,7315424.193333332,177474176.51931173,3.94589235,3.444485,2.98352166,0.406403,48
2025-01-18 16:00:00,7130110.99,170792954.87882707,7165723.400833334,170219706.73912558,4.39730539,3.680832,3.26039604,1.184989,48
2025-01-18 20:00:00,7122960.15,172219662.96069223,7118007.011875,169416700.04420194,4.44581207,3.707199,3.34495995,0.763619,48
2025-01-19 00:00:00,7109737.99,170391489.17215276,7150094.997446808,172678100.61545953,4.02008734,3.642636,3.12748871,0.910864,47
2025-01-19 04:00:00,7123905.67,166963862.40430856,7085557.142916667,166739533.222786,4.37599764,3.586615,3.40601504,1.564579,48
2025-01-19 08:00:00,7093497.94,157768204.38097647,7128216.586041667,162377827.29700366,4.70584373,3.842368,3.66565752,0.620994,48
2025-01-19 12:00:00,7378195.67,186488031.111705,7186444.845833334,171813416.745759,4.04905554,3.340693,3.24904342,1.153358,48
2025-01-19 16:00:00,7451804.48,194545380.16171768,7454650.407291667,195639253.4044712,3.71338084,3.086997,3.01510758,0.533143,48
2025-01-19 20:00:00,7171525.51,174069801.23725897,7305422.841875001,183250817.2094696,4.52405388,3.309406,3.56312849,0.866917,48
2025-01-20 00:00:00,7059096.81,171084270.28716,7113858.2223404255,171013509.24041164,4.05147929,2.871536,3.3006209,0.587046,47
2025-01-20 04:00:00,7142514.74,187997836.55705845,7038867.429583333,175289519.98669568,3.50675503,2.813507,2.96611708,0.856566,48
2025-01-20 08:00:00,7247376.85,184687092.03419968,7272899.122916666,188046202.4201529,3.22842761,2.933939,2.65779944,1.017449,48
2025-01-20 12:00:00,7300729.27,189615444.21170175,7326657.711041667,189067220.05430833,3.10838059,2.650748,2.50441738,0.889674,48
2025-01-20 16:00:00,7199607.92,185958479.5122152,7190532.521666667,183562989.2944282,3.41913332,3.044444,2.75630482,1.060628,48
2025-01-20 20:00:00,7188400.89,179601585.51011038,7192008.425416667,183450061.44910833,3.58755933,2.956673,2.83627814,1.119981,48
2025-01-21 00:00:00,7194625.44,176793136.52775338,7134014.808085107,174696133.77115887,3.93492628,3.254509,3.13111604,1.649978,47
2025-01-21 04:00:00,7153443.23,171852011.45525196,7163602.857500001,172409217.19444123,4.24480992,3.288859,3.37396597,1.958598,48
2025-01-21 08:00:00,7463506.47,191587672.369003,7275526.822500001,181446409.5229374,3.5289737,2.920815,2.81911903,1.184995,48
2025-01-21 12:00:00,7519519.58,194623121.08730116,7525127.707291666,194460917.67817736,3.01535381,2.960764,2.38430634,0.829366,48
2025-01-21 16:00:00,7492235.95,199849016.72485408,7568691.725000001,200777064.8561586,2.80096174,3.12819,2.15101056,0.874787,48
2025-01-21 20:00:00,7533050.46,199966625.23641247,7561685.399791666,199996201.09513712,2.92271663,3.212793,2.23314444,0.693227,48
2025-01-22 00:00:00,7503307.32,197267878.85637656,7531559.583404256,200475385.04729778,2.68162957,3.303609,1.98336565,0.799206,47
2025-01-22 04:00:00,7488654.68,193325724.6415162,7501369.858958334,195336047.46253756,2.95287958,3.342911,2.15338245,0.891238,48
2025-01-22 08:00:00,7469340.78,193314008.72718,7461138.215,192458178.95411944,3.36911164,3.189779,2.52706186,2.073333,48
2025-01-22 12:00:00,7415003.57,188953596.1478446,7431992.105208334,190275100.10781455,3.31094473,3.138212,2.50990515,1.663797,48
2025-01-22 16:00:00,7384177.63,187887201.11728424,7404053.207708334,188320903.82490894,3.3808133,3.121816,2.57958732,0.793725,48
2025-01-22 20:00:00,7395718.91,187119084.14191,7397970.664791667,187874292.72381654,3.42863636,3.148496,2.62004488,0.851053,48
2025-01-23 00:00:00,7395818.42,187131795.72282284,7395818.42,187131795.72282284,3.43097567,3.145965,2.62654514,1.152117,1
