datetime,sum_open_interest_last,sum_open_interest_value_last,sum_open_interest_mean,sum_open_interest_value_mean,count_toptrader_long_short_ratio_last,sum_toptrader_long_short_ratio_last,count_long_short_ratio_last,sum_taker_long_short_vol_ratio_last,observations
2025-01-01 00:00:00,17715478.0,87567607.754,17720506.723404255,87674388.20727645,4.04133926,2.318174,4.02354861,1.490895,47
2025-01-01 04:00:00,17751972.0,88279030.61896716,17780640.479166668,88249718.17241313,3.80142764,2.276336,3.82526222,1.223015,48
2025-01-01 08:00:00,17726285.0,88365530.725,17748729.8125,87580729.95691603,3.68566002,2.286407,3.72918033,0.884548,48
2025-01-01 12:00:00,17534638.0,89040891.764,17632257.708333332,88944143.85383247,3.6196029,2.306157,3.5484964,1.459756,48
2025-01-01 16:00:00,17454805.0,91672635.86,17501105.333333332,89869158.33957194,3.59698621,2.297179,3.60299625,0.425763,48
2025-01-01 20:00:00,17300443.0,91364841.17177078,17322011.583333332,91469399.0955543,3.66666667,2.328171,3.60956175,0.402059,48
2025-01-02 00:00:00,17568191.0,94138867.22016962,17284127.276595745,92329518.4671504,3.78660538,2.440182,3.52759143,1.049108,47
2025-01-02 04:00:00,17534663.0,94809922.841,17488092.708333332,94184591.97336322,4.03075363,2.40091,3.70019724,0.639253,48
2025-01-02 08:00:00,17556372.0,96615392.11160256,17600560.3125,96447204.18525994,4.01132464,2.350773,3.65155497,1.886166,48
2025-01-02 12:00:00,17373818.0,94339831.74,17497181.458333332,95928414.53389584,4.31358116,2.402471,3.77903811,1.45208,48
2025-01-02 16:00:00,17482130.0,94700698.21,17451682.291666668,94765816.93696755,4.26676385,2.422621,3.76534296,1.324077,48
2025-01-02 20:00:00,17193487.0,93429011.01651543,17286988.791666668,93629521.17061962,4.41585274,2.448374,3.89454123,1.231082,48
2025-01-03 00:00:00,17072233.0,93702067.17381588,17124384.531914894,93233829.14297143,4.61774875,2.466523,3.94382284,2.019735,47
2025-01-03 04:00:00,16991455.0,92529318.8003847,17036001.604166668,93312742.50501464,4.54716258,2.481151,3.86905871,1.042262,48
2025-01-03 08:00:00,16869908.0,95496584.75962,17014282.833333332,94495286.94474308,4.54657429,2.496701,4.0247796,2.008446,48
