datetime,sum_open_interest_last,sum_open_interest_value_last,sum_open_interest_mean,sum_open_interest_value_mean,count_toptrader_long_short_ratio_last,sum_toptrader_long_short_ratio_last,count_long_short_ratio_last,sum_taker_long_short_vol_ratio_last,observations
2025-01-01 00:00:00,129501176.0,43942712.00370688,129951208.19148937,44115467.583480574,1.60065179,1.342311,1.64553314,1.124911,47
2025-01-01 04:00:00,132059287.0,46084792.77284776,131783610.875,45868650.18630892,1.9624018,1.25351,2.03451528,0.765334,48
2025-01-01 08:00:00,142693345.0,51669260.2245,132169200.75,45934587.19600143,1.52887259,1.272732,1.61549017,1.226758,48
2025-01-01 12:00:00,171842753.0,65748755.72533,160275737.6875,59660739.59493598,1.23477661,1.109095,1.24456522,0.699561,48
2025-01-01 16:00:00,199424407.0,85840241.74908,191240276.97916666,77870453.8877298,1.01149722,1.069071,0.99860263,0.627454,48
2025-01-01 20:00:00,211200346.0,89754731.87312856,207887242.875,88740992.27567743,1.12613187,1.121769,1.01685016,1.220353,48
2025-01-02 00:00:00,214888766.0,93329160.83654611,215360298.17021278,94052493.0259282,1.11916718,1.134919,1.07405855,0.6806,47
2025-01-02 04:00:00,205917138.0,86765245.26768,212269860.0,89775571.98741557,1.46434519,1.186417,1.354424,1.12721,48
2025-01-02 08:00:00,203715833.0,87674244.40769994,205603154.41666666,87974173.42583151,1.21565046,1.145803,1.20177994,1.262902,48
2025-01-02 12:00:00,202275787.0,86436489.30084,202745110.22916666,86744353.69755884,1.1925564,1.136973,1.14252703,1.165966,48
2025-01-02 16:00:00,205399267.0,88647008.49303062,205443696.60416666,89585723.10943238,1.19511836,1.151552,1.11593087,0.971134,48
2025-01-02 20:00:00,198110621.0,85848050.01045811,200029335.0625,86277240.88830328,1.19364554,1.156887,1.12197898,0.433865,48
2025-01-03 00:00:00,198184836.0,85609075.19430552,198184836.0,85609075.19430552,1.43545957,1.159226,1.33165829,0.382854,1
2025-01-03 04:00:00,210253072.0,94887211.3936,209055943.22916666,93992799.9703633,1.16919083,1.161419,1.05559774,1.623749,48
2025-01-03 08:00:00,208357718.0,93240078.805,208073927.04166666,93239857.44289935,1.21721913,1.193455,1.09975254,0.881946,48
2025-01-03 12:00:00,206869220.0,91704140.5285128,209236453.54166666,92761272.38772993,1.27538462,1.198182,1.17813839,0.64885,48
2025-01-03 16:00:00,201416099.0,91296149.11962464,203798187.97916666,91204469.29276556,1.23272451,1.239103,1.13854608,1.551528,48
2025-01-03 20:00:00,201188049.0,90213652.67226689,199657954.625,89747728.15352975,1.26657437,1.266436,1.1847786,0.453118,48
2025-01-04 00:00:00,209619462.0,97619783.4534,208240146.9787234,96994777.6203643,1.60063336,1.371879,1.4667593,0.658683,47
2025-01-04 04:00:00,205323897.0,94921720.09425795,206891688.02083334,95958298.88414007,1.40409836,1.369316,1.30464508,1.528248,48
2025-01-04 08:00:00,200190363.0,91815308.08632,201609361.5625,92338844.03696655,1.40078457,1.390181,1.31033453,1.943458,48
2025-01-04 12:00:00,192075613.0,85746395.15546,200446559.16666666,91499754.66176425,1.43954553,1.382206,1.34641816,0.913863,48
2025-01-04 16:00:00,190630683.0,85734243.37242,190274237.33333334,85468808.32650214,1.46510044,1.356621,1.40497761,2.057638,48
2025-01-04 20:00:00,192746866.0,87146640.52458,191805124.52083334,86426516.1777089,1.41102336,1.321557,1.36839394,1.476646,48
2025-01-05 00:00:00,192363956.0,86565703.83956,192363956.0,86565703.83956,1.43213861,1.323276,1.39478079,0.4439,1
2025-01-05 04:00:00,189919305.0,84497738.67283951,190648749.83333334,85272382.64436936,1.7447095,1.372397,1.69812672,0.321212,48
2025-01-05 08:00:00,185458784.0,81288472.99762112,187554440.0,82206983.42860796,1.85870667,1.444913,1.75163077,0.483989,48
2025-01-05 12:00:00,181211292.0,79321149.50991371,183605143.27083334,80561252.62594128,1.86725664,1.447903,1.81249198,1.507986,48
2025-01-05 16:00:00,182051122.0,79873109.26628,181413101.3125,79462201.38050923,1.82176816,1.423539,1.76523162,1.836486,48
2025-01-05 20:00:00,180036217.0,79361764.81577,181203956.10416666,79817340.15894581,1.79306172,1.402338,1.69974716,0.76923,48
2025-01-06 00:00:00,177146763.0,79333406.34192,179227893.85106382,79362546.4488825,1.72300656,1.401091,1.66747202,1.69213,47
2025-01-06 04:00:00,176562280.0,78497776.3933844,178881376.83333334,80238308.2309634,1.77196567,1.392139,1.69852751,0.233968,48
2025-01-06 08:00:00,176675468.0,79906441.45014144,175979799.3125,78516778.65189415,1.74535166,1.401956,1.66158498,0.79615,48
2025-01-06 12:00:00,180360228.0,82612528.89233723,178396202.97916666,80909426.14263351,1.67242418,1.465158,1.59592551,0.87503,48
2025-01-06 16:00:00,181203584.0,81854065.76396288,181240477.9375,82571058.59093371,1.42885881,1.504709,1.37203196,0.747471,48
2025-01-06 20:00:00,182201099.0,81264525.20310044,181362344.29166666,81131093.90868703,1.46261769,1.550892,1.4850729,1.241124,48
2025-01-07 00:00:00,182474352.0,81484462.00968194,182474352.0,81484462.00968194,1.46224848,1.550515,1.48122906,2.69835,1
2025-01-07 04:00:00,181639106.0,82114709.54631296,179894370.04166666,80825600.11207181,1.45315099,1.514334,1.37254451,0.341135,48
2025-01-07 08:00:00,186301204.0,84495124.44565365,185486654.77083334,84914412.46518336,1.72909496,1.589926,1.58920907,1.680838,48
2025-01-07 12:00:00,179685508.0,77479665.12014768,188741860.4375,85455381.24147809,1.94532506,1.478014,1.77577536,1.850008,48
2025-01-07 16:00:00,172606390.0,72044184.5742278,173313633.0,74361563.33649988,2.06177701,1.48924,1.88887227,0.765013,48
2025-01-07 20:00:00,171298344.0,71565022.15632,171833914.60416666,72295023.89914419,1.62955771,1.456043,1.45983237,0.830066,48
2025-01-08 00:00:00,171449544.0,71598219.39753336,171449544.0,71598219.39753336,1.63510592,1.458133,1.46232258,0.961381,1
2025-01-08 04:00:00,177236586.0,75386642.50119421,177571607.72916666,75421486.9144734,1.69199134,1.44307,1.60751346,1.824664,48
2025-01-08 08:00:00,179404769.0,76569429.75322683,180523501.64583334,77282271.49514325,1.70414847,1.466291,1.61219384,1.28548,48
2025-01-08 12:00:00,177788897.0,73364588.34705,180863819.77083334,76565736.4269292,1.95351021,1.442083,1.9457285,1.356302,48
2025-01-08 16:00:00,164184559.0,67674001.9900175,155595004.79166666,63378712.55564123,1.64058296,1.467337,1.55834483,0.723791,48
