datetime,sum_open_interest_last,sum_open_interest_value_last,sum_open_interest_mean,sum_open_interest_value_mean,count_toptrader_long_short_ratio_last,sum_toptrader_long_short_ratio_last,count_long_short_ratio_last,sum_taker_long_short_vol_ratio_last,observations
2025-01-01 00:00:00,35252.228,6880809.92025021,35501.37576595745,6929400.979152346,1.82060606,1.402032,1.60308555,4.174949,47
2025-01-01 04:00:00,35940.164,7051941.37570238,35747.49929166667,6969972.578732665,1.78478002,1.414268,1.59497207,1.827733,48
2025-01-01 08:00:00,33841.681,6551345.2216718,34840.65308333333,6744545.028483563,1.87640449,1.385256,1.69504071,0.170539,48
2025-01-01 12:00:00,33537.921,6558100.0963377105,33613.198833333336,6531707.01543383,1.8057211,1.37013,1.60743802,0.973182,48
2025-01-01 16:00:00,34084.076,6698766.89648526,33973.92979166666,6644378.78192838,1.74625144,1.376045,1.58875339,2.023454,48
2025-01-01 20:00:00,35244.974,6905195.30608,34463.090104166666,6740167.35457131,1.81425234,1.327026,1.67653131,0.418809,48
2025-01-02 00:00:00,35900.725,6924890.84525,35713.93129787234,6942724.124102679,2.11298701,1.379718,1.89272318,3.992503,47
2025-01-02 04:00:00,35270.278,6823740.68466,35648.969124999996,6897413.704461115,2.03764115,1.44767,1.87749077,0.357241,48
2025-01-02 08:00:00,34517.039,6703554.14419,34798.1038125,6767251.309152082,2.04040404,1.433137,1.98445998,0.699957,48
2025-01-02 12:00:00,33824.434,6645148.30364,34905.27272916667,6821100.229124424,1.83353151,1.494858,1.77986966,1.480425,48
2025-01-02 16:00:00,33508.472,6532474.94298691,33539.840854166665,6549194.604403003,1.94684796,1.467194,1.90964313,4.277687,48
2025-01-02 20:00:00,32981.899,6502777.170638,33434.829125,6561509.183338489,1.92857143,1.524835,1.84077381,1.264065,48
2025-01-03 00:00:00,32985.701,6499832.38205,32985.701,6499832.38205,1.9190184,1.526109,1.83655275,1.618086,1
2025-01-03 04:00:00,35432.233,7129934.57510426,33948.65741666667,6787558.342462213,1.75424689,1.490212,1.64145847,1.94487,48
2025-01-03 08:00:00,35897.613,7324385.42279012,35896.686125,7291435.990944396,1.68536854,1.42524,1.72553191,1.748799,48
2025-01-03 12:00:00,36231.972,7329727.9356,36168.37158333333,7328096.851179671,1.69256018,1.402568,1.79593319,1.743698,48
2025-01-03 16:00:00,35400.253,7131677.935678391,35771.25745833333,7215733.3804166885,1.7908046,1.446192,1.87200599,2.78569,48
2025-01-03 20:00:00,35962.536,7236021.86856,35584.29772916667,7183493.895834713,1.84883721,1.432651,1.91039157,1.560956,48
2025-01-04 00:00:00,40628.722,8003858.234,37735.70536170213,7532481.165901179,2.34438776,1.648446,2.32867707,1.687804,47
2025-01-04 04:00:00,42538.11,8296072.88914321,41023.26675,8045856.211411145,2.74211248,1.796567,2.83520276,0.935427,48
2025-01-04 08:00:00,50643.01,9881779.22314968,45872.74229166666,8944221.431851178,2.87465565,2.445116,2.96637931,1.105651,48
2025-01-04 12:00:00,57672.533,11196545.55662,54101.986833333336,10539182.156227408,2.87432432,2.569993,3.06493506,1.237167,48
2025-01-04 16:00:00,59107.666,11516711.68241608,60073.6988125,11722789.613171406,2.69598965,2.624427,2.89534884,3.407918,48
2025-01-04 20:00:00,57929.111,11252729.81175,57994.12808333334,11277545.554426169,2.78968254,2.656469,3.00170503,2.974033,48
2025-01-05 00:00:00,55840.444,10738927.067638,56129.97912765957,10814247.664126912,2.82853403,2.70943,2.88595041,0.419178,47
2025-01-05 04:00:00,54900.017,10465041.24054,55749.535395833336,10626653.401001405,2.92010652,2.410677,3.04152249,1.011244,48
2025-01-05 08:00:00,50273.974,9901317.40417962,52413.15360416667,10245719.8268748,1.96837514,1.961248,2.01337087,5.408351,48
2025-01-05 12:00:00,45777.708,9013630.7052,46824.501375,9195215.89635787,2.10161663,1.818133,2.11275964,1.516734,48
2025-01-05 16:00:00,43841.596,8596964.322034,44697.996875000004,8792291.707134338,2.1457346,1.7862,2.16259542,2.20471,48
2025-01-05 20:00:00,43178.075,8501849.32365,43374.96491666667,8564153.619677426,2.05383734,1.742007,2.11186186,0.811129,48
2025-01-06 00:00:00,40827.078,8134207.83516564,42245.84172340426,8391354.684079114,1.97536394,1.580588,2.02919708,1.249806,47
2025-01-06 04:00:00,38019.536,7714506.904293129,39206.748687499996,7889801.853195161,1.77978723,1.380703,1.81091877,3.601561,48
2025-01-06 08:00:00,37689.575,7695834.31925,37482.339479166665,7631236.036618856,1.74921301,1.35734,1.74172615,1.724869,48
2025-01-06 12:00:00,38989.534,8001432.16748,38026.50802083333,7762540.364811755,1.68470343,1.291709,1.69385113,0.85651,48
2025-01-06 16:00:00,39963.758,8153834.407365299,39109.79727083333,7995549.9871279495,1.70960929,1.248059,1.7279363,4.252745,48
2025-01-06 20:00:00,40447.089,8249992.74333,40278.41045833333,8209908.193946204,1.74865156,1.24924,1.75929682,0.418074,48
2025-01-07 00:00:00,40521.494,8254228.3278,40521.494,8254228.3278,1.76190476,1.24796,1.76709546,2.849272,1
2025-01-07 04:00:00,41049.801,8349119.02539,40711.79616666667,8321991.52240342,1.77330508,1.24787,1.74406332,2.318005,48
2025-01-07 08:00:00,40961.726,8234535.77778,40689.11510416667,8203647.283681623,1.86169045,1.23887,1.8532872,2.487154,48
2025-01-07 12:00:00,39876.359,7936591.73177,40512.32133333333,8190611.957656845,1.95411765,1.226653,1.91734922,1.926679,48
2025-01-07 16:00:00,41209.423,8010093.04277852,40658.45325,7980931.934107131,1.94935218,1.254228,1.92394578,1.629434,48
2025-01-07 20:00:00,41288.065,8011552.1891156,40973.85589583334,7990009.147898156,2.01927711,1.346055,1.98237548,2.158723,48
2025-01-08 00:00:00,41308.686,8013832.3005872,41308.686,8013832.3005872,1.99522673,1.347506,1.95899772,1.623358,1
2025-01-08 04:00:00,45771.575,8508411.96245621,44230.260624999995,8249008.570886761,2.16731518,1.940418,2.30492091,1.687164,48
2025-01-08 08:00:00,39939.082,7791621.22678364,42635.99395833333,8169599.877188179,1.77367206,1.743389,1.84471118,1.064519,48
2025-01-08 12:00:00,41172.766,8182263.78718,40053.6016875,7938352.394496165,1.78469945,1.262237,1.78551913,0.962506,48
2025-01-08 16:00:00,40468.678,7973276.09681285,37419.8318125,7389214.4179856405,1.75892857,1.207375,1.7710508,0.445799,48
2025-01-08 20:00:00,42615.138,8588697.527658,41461.132875,8235119.377171473,1.65327696,1.205616,1.70663094,3.181677,48
2025-01-09 00:00:00,42613.144,8560642.09203428,42613.144,8560642.09203428,1.64631579,1.205162,1.69973369,0.132549,1
