datetime,sum_open_interest_last,sum_open_interest_value_last,sum_open_interest_mean,sum_open_interest_value_mean,count_toptrader_long_short_ratio_last,sum_toptrader_long_short_ratio_last,count_long_short_ratio_last,sum_taker_long_short_vol_ratio_last,observations
2025-01-01 00:00:00,16507723.1,7542378.68439,16398930.008510638,7553758.133013782,2.54585931,1.33768,2.31328036,0.946912,47
2025-01-01 04:00:00,16598235.8,7545557.99468,16613851.647916667,7529133.297397354,2.54125998,1.357343,2.27440045,9.757219,48
2025-01-01 08:00:00,16611198.2,7491650.3882,16709147.420833334,7474706.328936241,2.62262443,1.343232,2.36817921,0.536398,48
2025-01-01 12:00:00,16605480.9,7626897.37737,16566921.049999999,7536105.243779031,2.6137806,1.32794,2.34589041,1.809664,48
2025-01-01 16:00:00,16512730.6,7758861.496117901,16537839.71875,7649337.476582187,2.57678571,1.360034,2.3354143,1.070777,48
2025-01-01 20:00:00,16210020.9,7688906.832206819,16404545.356250001,7781635.248152255,2.63445761,1.320434,2.4056713,3.328885,48
2025-01-02 00:00:00,16253133.3,7966113.11756107,16189840.70212766,7963070.248814487,2.44256757,1.329368,2.20357336,0.701199,47
2025-01-02 04:00:00,17566277.8,8633472.80784178,17058025.127083335,8419297.448603692,2.44584383,1.365335,2.27140549,4.869782,48
2025-01-02 08:00:00,17490340.6,8655895.403895859,17564682.352083333,8673558.233826669,2.38150289,1.358736,2.21833598,1.433901,48
2025-01-02 12:00:00,17053465.5,8417498.4820863,17147730.360416666,8489125.668084167,2.42401343,1.329968,2.27312296,0.447397,48
2025-01-02 16:00:00,17109066.7,8452700.35609227,17091314.795833334,8464866.846253658,2.43002545,1.338408,2.23863636,1.690578,48
2025-01-02 20:00:00,16848510.7,8293945.261573849,16979635.770833332,8349580.408474346,2.54529464,1.319455,2.35472973,1.315421,48
2025-01-03 00:00:00,16846429.2,8299143.51283496,16846429.2,8299143.51283496,2.55428067,1.319436,2.36327684,1.082586,1
2025-01-03 04:00:00,16568048.3,7985785.86048088,16717273.356250001,8120705.632160213,2.652641,1.408561,2.32830821,0.448727,48
2025-01-03 08:00:00,16281432.1,8172060.086192991,16360997.058333332,8050888.733091105,2.65124555,1.408945,2.3480663,0.88536,48
2025-01-03 12:00:00,16516252.5,8541405.0850788,16393353.168750001,8291361.851503905,2.60888889,1.437561,2.3190899,0.735452,48
2025-01-03 16:00:00,16472094.4,8648015.92815344,16466431.1625,8630893.19623212,2.57634598,1.470245,2.29164361,0.49094,48
2025-01-03 20:00:00,16440052.9,8574950.916458631,16503001.68125,8642739.842710964,2.76350093,1.479515,2.44618965,0.881754,48
2025-01-04 00:00:00,16671707.3,8980211.802803539,16502719.863829788,8646955.453870263,2.67560322,1.462525,2.31488655,3.897044,47
2025-01-04 04:00:00,17109689.4,9459948.29584136,16902083.535416666,9167850.680066813,2.48808546,1.346438,2.21055328,1.177257,48
