symbol,announcement_ts_utc,effective_ts_utc,announcement_title,announcement_code,announcement_url,announcement_catalog_id,announcement_catalog_name,announcement_parse_status,announcement_body_excerpt,effective_day
SKHYUSDT,2026-07-10 15:37:03 UTC,2026-07-10 15:50:00 UTC,Binance Futures Will Launch USDS-Margined SKHYUSDT Perpetual Contract (2026-07-10),6fe9f6dc91544df88dc24ad41211feff,https://www.binance.com/en/support/announcement/6fe9f6dc91544df88dc24ad41211feff,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch USDS-Margined SKHYUSDT Perpetual Contract (2026-07-10) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-10 15:50 (UTC): SKHYUSDT Perpetual Contract More details on the aforementioned perpetual cont",2026-07-10
MUUUSDT,2026-07-16 06:15:11 UTC,2026-07-16 09:00:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-16),0a613aed15cc4cf78898594d7c767661,https://www.binance.com/en/support/announcement/0a613aed15cc4cf78898594d7c767661,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-16) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-16 09:00 (UTC): MUUUSDT Perpetual Contract 2026-07-16 09:05 (UTC): SOXSUSDT Perpetual",2026-07-16
SOXSUSDT,2026-07-16 06:15:11 UTC,2026-07-16 09:05:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-16),0a613aed15cc4cf78898594d7c767661,https://www.binance.com/en/support/announcement/0a613aed15cc4cf78898594d7c767661,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-16) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-16 09:00 (UTC): MUUUSDT Perpetual Contract 2026-07-16 09:05 (UTC): SOXSUSDT Perpetual",2026-07-16
TZAUSDT,2026-07-16 06:15:11 UTC,2026-07-16 09:10:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-16),0a613aed15cc4cf78898594d7c767661,https://www.binance.com/en/support/announcement/0a613aed15cc4cf78898594d7c767661,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-16) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-16 09:00 (UTC): MUUUSDT Perpetual Contract 2026-07-16 09:05 (UTC): SOXSUSDT Perpetual",2026-07-16
DATAIPUSDT,2026-07-03 05:30:27 UTC,2026-07-03 06:45:00 UTC,Binance Futures Will Launch USDS-Margined DATAIPUSDT and DATAIPUSDC Perpetual Contracts (2026-07-03),98d978c5630041c49a6bd317daa791e8,https://www.binance.com/en/support/announcement/98d978c5630041c49a6bd317daa791e8,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch USDS-Margined DATAIPUSDT and DATAIPUSDC Perpetual Contracts (2026-07-03) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-03 06:45 (UTC): DATAIPUSDT Perpetual Contract with up to 20x leverage 2026-",2026-07-03
DATAIPUSDC,2026-07-03 05:30:27 UTC,2026-07-03 06:50:00 UTC,Binance Futures Will Launch USDS-Margined DATAIPUSDT and DATAIPUSDC Perpetual Contracts (2026-07-03),98d978c5630041c49a6bd317daa791e8,https://www.binance.com/en/support/announcement/98d978c5630041c49a6bd317daa791e8,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch USDS-Margined DATAIPUSDT and DATAIPUSDC Perpetual Contracts (2026-07-03) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-03 06:45 (UTC): DATAIPUSDT Perpetual Contract with up to 20x leverage 2026-",2026-07-03
SPCXUSD1,2026-07-17 08:30:11 UTC,2026-07-20 09:00:00 UTC,Binance Futures Will Launch USDS-Margined SPCXUSD1 Perpetual Contract (2026-07-20),6cbb1b11a9c843949624cf2eacaac8b4,https://www.binance.com/en/support/announcement/6cbb1b11a9c843949624cf2eacaac8b4,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch USDS-Margined SPCXUSD1 Perpetual Contract (2026-07-20) This is a general Binance Exchange Notice. Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, Binance Futures will launch the following perpetual contract(s) as below: 2026-07-20 09:00 (UTC): SPCXUSD1 Perpetual Contract More details on the aforementioned perpetual cont",2026-07-20
MINIMAXUSDT,2026-07-16 11:30:10 UTC,2026-07-17 03:00:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-17),18724cba64a048938986a98bbb257258,https://www.binance.com/en/support/announcement/18724cba64a048938986a98bbb257258,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-17) This is a general Binance Exchange Notice and a Notice for the purposes of the Clearing Rules . Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, the following contract(s) will be admitted to trading on Binance RIE and admitted to Clearing and Settlement by Bi",2026-07-17
ZHIPUUSDT,2026-07-16 11:30:10 UTC,2026-07-17 03:05:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-17),18724cba64a048938986a98bbb257258,https://www.binance.com/en/support/announcement/18724cba64a048938986a98bbb257258,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-17) This is a general Binance Exchange Notice and a Notice for the purposes of the Clearing Rules . Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, the following contract(s) will be admitted to trading on Binance RIE and admitted to Clearing and Settlement by Bi",2026-07-17
HK0700USDT,2026-07-16 11:30:10 UTC,2026-07-23 03:00:00 UTC,Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-17),18724cba64a048938986a98bbb257258,https://www.binance.com/en/support/announcement/18724cba64a048938986a98bbb257258,48,New Cryptocurrency Listing,ok,"Binance Futures Will Launch Multiple USDS-Margined TradFi Perpetual Contracts (2026-07-17) This is a general Binance Exchange Notice and a Notice for the purposes of the Clearing Rules . Products and services referred to here may not be available in your region. Fellow Binancians, To expand the list of trading choices offered on Binance Futures and enhance users’ trading experience, the following contract(s) will be admitted to trading on Binance RIE and admitted to Clearing and Settlement by Bi",2026-07-23
