event_id,symbol,base_asset_guess,perp_listing_announcement_ts_utc,perp_listing_effective_ts_utc,effective_ts_source,onboard_date_universe,universe_source,announcement_title,announcement_code,announcement_url,announcement_parse_status,announcement_body_excerpt,delisted_later,delist_ts_utc,delist_source,delist_date_universe,event_day,archive_daily_complete_day,funding_archive_complete_month,data_window_start,data_window_end,nominal_30d_end,delisted_within_30d,matured_30d_window_daily_archive,funding_window_archive_closed,expected_kline_days_full,expected_oi_days_full,expected_funding_months_full,probed_kline_days,probed_oi_days,probed_funding_months,spot_probe_candidates,spot_pre30_expected_days,spot_symbol_used,has_spot_30d_before,spot_30d_found_days,spot_30d_missing_days,spot_near_first_found_day,event_type,event_type_reason,kline_days_found,funding_months_found,oi_days_found,kline_30d_complete,funding_window_complete,oi_30d_complete,data_complete_all,valid_existing_spot_sample,missing_kline_days,missing_funding_months,missing_oi_days,kline_probe_status_counts,funding_probe_status_counts,oi_probe_status_counts,spot_probe_status_counts,first_week_quote_volume_median,first_week_volume_days_found,first_week_volume_status_counts
P0RES018-00001,DUSKUSDT,DUSK,2022-01-06 04:27:45 UTC,2022-01-06 00:00:00 UTC,universe_onboard_date_midnight_proxy,2022-01-06,UNIVERSE_PIT,Binance Futures Will Launch USDT-Margined DUSK Perpetual Contracts with Up to 25X Leverage,b5c82d3590ea4087adeb15f8edcd8e1f,https://www.binance.com/en/support/announcement/b5c82d3590ea4087adeb15f8edcd8e1f,symbol_only_no_effective_ts,Binance Futures Will Launch USDT-Margined DUSK Perpetual Contracts with Up to 25X Leverage,False,,,,2022-01-06,2026-07-19,2026-06,2022-01-06,2022-02-04,2022-02-04,False,True,True,30,30,2,30,30,2,DUSKUSDT,30,DUSKUSDT,True,30,,2022-01-06,existing_spot_then_perp,Binance spot 1h daily archive complete for 30 calendar days before perp listing,29,2,29,False,True,False,False,False,2022-01-06,,2022-01-06,200:29;404:1,200:2,200:29;404:1,200:38,22495534.02150500,6,200:6;curl_exit_56:1
P0RES018-00002,1000BTTCUSDT,1000BTTC,2022-01-25 06:59:45 UTC,2022-01-25 00:00:00 UTC,official_announcement_release_date_midnight_proxy,,official_announcement_only_not_in_local_UNIVERSE_PIT,Binance Futures Will Launch USDT-Margined 1000BTTC Perpetual Contracts with Up to 25X Leverage,93cbeb51eed54bb9a9da8f8b3dfa20a2,https://www.binance.com/en/support/announcement/93cbeb51eed54bb9a9da8f8b3dfa20a2,symbol_only_no_effective_ts,Binance Futures Will Launch USDT-Margined 1000BTTC Perpetual Contracts with Up to 25X Leverage,False,,,,2022-01-25,2026-07-19,2026-06,2022-01-25,2022-02-23,2022-02-23,False,True,True,30,30,2,30,30,2,1000BTTCUSDT;BTTCUSDT,30,BTTCUSDT,False,0,,2022-01-25,simultaneous_spot_perp,"Binance spot archive exists only within/near the pre-listing window, not full 30d",29,2,29,False,True,False,False,False,2022-01-25,,2022-01-25,200:29;404:1,200:2,200:29;404:1,200:8;404:68,6320688.43140650,6,200:6;curl_exit_56:1
P0RES018-00003,FLOWUSDT,FLOW,2022-02-09 07:50:04 UTC,2022-02-09 00:00:00 UTC,universe_onboard_date_midnight_proxy,2022-02-09,UNIVERSE_PIT,Binance Futures Will Launch USDT-Margined FLOW Perpetual Contracts with Up to 25X Leverage,4792aec2fe53444f87734e57bbb3038f,https://www.binance.com/en/support/announcement/4792aec2fe53444f87734e57bbb3038f,symbol_only_no_effective_ts,Binance Futures Will Launch USDT-Margined FLOW Perpetual Contracts with Up to 25X Leverage,False,,,,2022-02-09,2026-07-19,2026-06,2022-02-09,2022-03-10,2022-03-10,False,True,True,30,30,2,30,30,2,FLOWUSDT,30,FLOWUSDT,True,30,,2022-02-09,existing_spot_then_perp,Binance spot 1h daily archive complete for 30 calendar days before perp listing,29,2,29,False,True,False,False,False,2022-02-09,,2022-02-09,200:29;404:1,200:2,200:29;404:1,200:38,14491836.25380000,6,200:6;curl_exit_56:1
P0RES018-00004,IMXUSDT,IMX,2022-02-10 01:14:17 UTC,2022-02-10 00:00:00 UTC,universe_onboard_date_midnight_proxy,2022-02-10,UNIVERSE_PIT,Binance Futures Will Launch USDT-Margined IMX Perpetual Contracts with Up to 25X Leverage,e6de0a1dca5e49bea0b334304535934a,https://www.binance.com/en/support/announcement/e6de0a1dca5e49bea0b334304535934a,symbol_only_no_effective_ts,Binance Futures Will Launch USDT-Margined IMX Perpetual Contracts with Up to 25X Leverage,False,,,,2022-02-10,2026-07-19,2026-06,2022-02-10,2022-03-11,2022-03-11,False,True,True,30,30,2,30,30,2,IMXUSDT,30,IMXUSDT,True,30,,2022-02-10,existing_spot_then_perp,Binance spot 1h daily archive complete for 30 calendar days before perp listing,29,2,29,False,True,False,False,False,2022-02-10,,2022-02-10,200:29;404:1,200:2,200:29;404:1,200:38,14131494.59190000,6,200:6;curl_exit_56:1
P0RES018-00005,API3USDT,API3,2022-02-21 04:28:43 UTC,2022-02-21 00:00:00 UTC,universe_onboard_date_midnight_proxy,2022-02-21,UNIVERSE_PIT,Binance Futures Will Launch USDT-Margined API3 Perpetual Contracts with Up to 25X Leverage,3e091344eaaa4632bbdc1e5ded1237e1,https://www.binance.com/en/support/announcement/3e091344eaaa4632bbdc1e5ded1237e1,symbol_only_no_effective_ts,Binance Futures Will Launch USDT-Margined API3 Perpetual Contracts with Up to 25X Leverage,False,,,,2022-02-21,2026-07-19,2026-06,2022-02-21,2022-03-22,2022-03-22,False,True,True,30,30,2,30,30,2,API3USDT,30,API3USDT,True,30,,2022-02-21,existing_spot_then_perp,Binance spot 1h daily archive complete for 30 calendar days before perp listing,29,2,29,False,True,False,False,False,2022-02-21,,2022-02-21,200:29;404:1,200:2,200:29;404:1,200:38,168226194.94854999,6,200:6;curl_exit_56:1
P0RES018-00006,ANCUSDT,ANC,2022-03-07 05:55:41 UTC,2022-03-07 00:00:00 UTC,official_announcement_release_date_midnight_proxy,,official_announcement_only_not_in_local_UNIVERSE_PIT,Binance Futures Will Launch USDT-Margined ANC Perpetual Contracts with Up to 25X Leverage,8b6376b0ce804eb79017f35cb2eb9ac1,https://www.binance.com/en/support/announcement/8b6376b0ce804eb79017f35cb2eb9ac1,symbol_only_no_effective_ts,Binance Futures Will Launch USDT-Margined ANC Perpetual Contracts with Up to 25X Leverage,False,,,,2022-03-07,2026-07-19,2026-06,2022-03-07,2022-04-05,2022-04-05,False,True,True,30,30,2,30,30,2,ANCUSDT,30,ANCUSDT,True,30,,2022-03-07,existing_spot_then_perp,Binance spot 1h daily archive complete for 30 calendar days before perp listing,29,2,29,False,True,False,False,False,2022-03-07,,2022-03-07,200:29;404:1,200:2,200:29;404:1,200:38,36611021.84809999,6,200:6;curl_exit_56:1
P0RES018-00007,GMTUSDT,GMT,2022-03-14 04:10:05 UTC,2022-03-14 00:00:00 UTC,universe_onboard_date_midnight_proxy,2022-03-14,UNIVERSE_PIT,Binance Futures Will Launch USDT-Margined GMT Perpetual Contracts with Up to 25X Leverage,b76223a20c604f718b1e124d1d049d0d,https://www.binance.com/en/support/announcement/b76223a20c604f718b1e124d1d049d0d,symbol_only_no_effective_ts,Binance Futures Will Launch USDT-Margined GMT Perpetual Contracts with Up to 25X Leverage,False,,,,2022-03-14,2026-07-19,2026-06,2022-03-14,2022-04-12,2022-04-12,False,True,True,30,30,2,30,30,2,GMTUSDT,30,GMTUSDT,False,5,2022-02-12;2022-02-13;2022-02-14;2022-02-15;2022-02-16;2022-02-17;2022-02-18;2022-02-19;2022-02-20;2022-02-21;2022-02-22;2022-02-23;2022-02-24;2022-02-25;2022-02-26;2022-02-27;2022-02-28;2022-03-01;2022-03-02;2022-03-03;2022-03-04;2022-03-05;2022-03-06;2022-03-07;2022-03-08,2022-03-14,simultaneous_spot_perp,"Binance spot archive exists only within/near the pre-listing window, not full 30d",29,2,29,False,True,False,False,False,2022-03-14,,2022-03-14,200:29;404:1,200:2,200:29;404:1,200:13;404:25,1231502472.18675518,6,200:6;curl_exit_56:1
P0RES018-00008,APEUSDT,APE,2022-03-17 08:20:04 UTC,2022-03-17 00:00:00 UTC,universe_onboard_date_midnight_proxy,2022-03-17,UNIVERSE_PIT,Binance Futures Will Launch USDT-Margined APE Perpetual Contracts with Up to 25X Leverage,bb98f3f2625143fc9d5d98c3aae55b1a,https://www.binance.com/en/support/announcement/bb98f3f2625143fc9d5d98c3aae55b1a,symbol_only_no_effective_ts,Binance Futures Will Launch USDT-Margined APE Perpetual Contracts with Up to 25X Leverage,False,,,,2022-03-17,2026-07-19,2026-06,2022-03-17,2022-04-15,2022-04-15,False,True,True,30,30,2,30,30,2,APEUSDT,30,APEUSDT,False,0,,2022-03-17,simultaneous_spot_perp,"Binance spot archive exists only within/near the pre-listing window, not full 30d",30,2,30,True,True,True,True,False,,,,200:30,200:2,200:30,200:8;404:30,1696289122.08899999,7,200:7
P0RES018-00009,WOOUSDT,WOO,2022-04-07 04:01:02 UTC,2022-04-07 00:00:00 UTC,universe_onboard_date_midnight_proxy,2022-04-07,UNIVERSE_PIT,Binance Futures Will Launch USDT-Margined WOO Perpetual Contracts with Up to 25X Leverage,986ab98c6628449facdf21ae8dbd2356,https://www.binance.com/en/support/announcement/986ab98c6628449facdf21ae8dbd2356,symbol_only_no_effective_ts,Binance Futures Will Launch USDT-Margined WOO Perpetual Contracts with Up to 25X Leverage,False,,,,2022-04-07,2026-07-19,2026-06,2022-04-07,2022-05-06,2022-05-06,False,True,True,30,30,2,30,30,2,WOOUSDT,30,WOOUSDT,True,30,,2022-04-07,existing_spot_then_perp,Binance spot 1h daily archive complete for 30 calendar days before perp listing,29,2,29,False,True,False,False,False,2022-04-07,,2022-04-07,200:29;404:1,200:2,200:29;404:1,200:38,52924645.00573500,6,200:6;curl_exit_56:1
P0RES018-00010,FTTUSDT,FTT,2022-04-12 02:00:02 UTC,2022-04-14 03:30:00 UTC,official_announcement_body,2022-04-14,UNIVERSE_PIT,Binance Futures Will Launch Coin-Margined KNC Perpetual Contracts and USDT-Margined FTT Perpetual Contracts,fa0b406da31f45deac32f95dcf400621,https://www.binance.com/en/support/announcement/fa0b406da31f45deac32f95dcf400621,ok,"Binance Futures Will Launch Coin-Margined KNC Perpetual Contracts and USDT-Margined FTT Perpetual Contracts Fellow Binancians, Binance Futures will launch coin-margined KNC perpetual contracts at 2022-04-14 03:30 AM (UTC) and USDT-margined FTT perpetual contracts at 2022-04-15 03:30 AM (UTC) . Please note: KNC perpetual contracts are coin-margined futures contracts that use KNC as collateral. Users will be able to select between 1-20x leverage. FTT perpetual contracts are USDT-margined futures c",True,2022-11-14 00:00:00 UTC,UNIVERSE_PIT_delist_date_midnight_proxy,2022-11-14,2022-04-14,2026-07-19,2026-06,2022-04-14,2022-05-13,2022-05-13,False,True,True,30,30,2,30,30,2,FTTUSDT,30,FTTUSDT,True,30,,2022-04-14,existing_spot_then_perp,Binance spot 1h daily archive complete for 30 calendar days before perp listing,29,2,29,False,True,False,False,False,2022-04-14,,2022-04-14,200:29;404:1,200:2,200:29;404:1,200:38,19665581.82805000,6,200:6;curl_exit_56:1
