symbol,onboard_date,delist_date,source
BTCUSDT,2019-09-08,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ETHUSDT,2019-11-27,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
BCHUSDT,2019-12-19,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
XRPUSDT,2020-01-06,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
LTCUSDT,2020-01-09,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
TRXUSDT,2020-01-15,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ETCUSDT,2020-01-16,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
LINKUSDT,2020-01-17,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
XLMUSDT,2020-01-20,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ADAUSDT,2020-01-31,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
XMRUSDT,2020-02-03,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
DASHUSDT,2020-02-04,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ZECUSDT,2020-02-05,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
XTZUSDT,2020-02-06,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ATOMUSDT,2020-02-07,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
BNBUSDT,2020-02-10,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ONTUSDT,2020-02-11,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
IOTAUSDT,2020-02-12,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
BATUSDT,2020-02-13,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
VETUSDT,2020-02-14,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
NEOUSDT,2020-02-17,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
QTUMUSDT,2020-02-20,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
IOSTUSDT,2020-02-21,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
THETAUSDT,2020-05-27,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ALGOUSDT,2020-06-16,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ZILUSDT,2020-06-18,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
KNCUSDT,2020-06-22,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
