symbol,onboard,delist,head_first_ok,head_recent_ok,est_bars
BCHUSDT,2019-12-19,,False,True,10362
TRXUSDT,2020-01-15,,True,True,10208
ETCUSDT,2020-01-16,,True,True,10202
LINKUSDT,2020-01-17,,True,True,10197
XLMUSDT,2020-01-20,,True,True,10180
XMRUSDT,2020-02-03,,True,True,10100
DASHUSDT,2020-02-04,,True,True,10094
ZECUSDT,2020-02-05,,True,True,10088
XTZUSDT,2020-02-06,,True,True,10083
ATOMUSDT,2020-02-07,,True,True,10077
ONTUSDT,2020-02-11,,True,True,10054
IOTAUSDT,2020-02-12,,True,True,10049
BATUSDT,2020-02-13,,True,True,10043
VETUSDT,2020-02-14,,True,True,10037
NEOUSDT,2020-02-17,,True,True,10020
QTUMUSDT,2020-02-20,,True,True,10003
IOSTUSDT,2020-02-21,,True,True,9997
THETAUSDT,2020-05-27,,True,True,9450
ALGOUSDT,2020-06-16,,True,True,9336
ZILUSDT,2020-06-18,,True,True,9325
KNCUSDT,2020-06-22,,True,True,9302
ZRXUSDT,2020-06-24,,True,True,9290
COMPUSDT,2020-06-30,,True,True,9256
OMGUSDT,2020-07-02,2025-01-31,True,True,9245
KAVAUSDT,2020-07-28,,True,True,9097
BANDUSDT,2020-07-29,,True,True,9091
RLCUSDT,2020-07-31,,True,True,9080
WAVESUSDT,2020-08-12,2024-06-11,True,True,7968
MKRUSDT,2020-08-13,2025-09-08,True,True,9005
SNXUSDT,2020-08-14,,True,True,9000
DOTUSDT,2020-08-22,,True,True,8954
SKLUSDT,2020-08-24,,False,True,8943
DEFIUSDT,2020-08-28,2025-08-11,True,True,8920
YFIUSDT,2020-08-31,,True,True,8903
BALUSDT,2020-09-01,2025-04-14,True,True,8897
CRVUSDT,2020-09-01,,True,True,8897
TRBUSDT,2020-09-03,,True,True,8886
RUNEUSDT,2020-09-04,,True,True,8880
SUSHIUSDT,2020-09-04,,True,True,8880
EGLDUSDT,2020-09-14,,True,True,8823
ICXUSDT,2020-09-15,,True,True,8817
STORJUSDT,2020-09-16,,True,True,8812
BLZUSDT,2020-09-17,2024-12-23,True,True,8806
UNIUSDT,2020-09-18,,True,True,8800
AVAXUSDT,2020-09-23,,True,True,8772
FTMUSDT,2020-09-24,2025-01-06,True,True,8766
ENJUSDT,2020-09-29,,True,True,8738
FLMUSDT,2020-09-29,2025-11-21,True,True,8738
RENUSDT,2020-10-13,2024-12-03,True,True,8612
KSMUSDT,2020-10-14,,True,True,8652
NEARUSDT,2020-10-15,,True,True,8646
AAVEUSDT,2020-10-16,,True,True,8641
FILUSDT,2020-10-16,,True,True,8641
LRCUSDT,2020-10-19,2026-03-24,True,True,8624
RSRUSDT,2020-10-19,,True,True,8624
OCEANUSDT,2020-11-03,2024-06-25,True,True,7575
BELUSDT,2020-11-18,,True,True,8453
AXSUSDT,2020-11-20,,True,True,8441
ALPHAUSDT,2020-11-23,2025-09-23,True,True,8424
ZENUSDT,2020-11-24,,True,True,8418
GRTUSDT,2020-12-18,,True,True,8282
1INCHUSDT,2020-12-25,,True,True,8242
SANDUSDT,2021-01-18,,True,True,8105
CHZUSDT,2021-01-21,,True,True,8088
ANKRUSDT,2021-01-25,,True,True,8065
REEFUSDT,2021-01-25,2025-01-22,False,True,8065
UNFIUSDT,2021-02-09,2024-10-30,True,True,7740
RVNUSDT,2021-02-23,,True,True,7900
SFPUSDT,2021-02-24,,True,True,7894
XEMUSDT,2021-03-02,2024-12-09,True,True,7848
COTIUSDT,2021-03-09,,True,True,7820
CHRUSDT,2021-03-12,,True,True,7803
MANAUSDT,2021-03-14,,True,True,7791
ALICEUSDT,2021-03-15,,True,True,7786
GTCUSDT,2021-03-15,,False,True,7786
HBARUSDT,2021-03-17,,True,True,7774
LINAUSDT,2021-03-17,2025-03-27,True,True,7774
ONEUSDT,2021-03-17,,True,True,7774
STMXUSDT,2021-03-17,2025-02-21,True,True,7774
DENTUSDT,2021-03-23,2026-04-21,True,True,7740
CELRUSDT,2021-03-29,,True,True,7706
HOTUSDT,2021-03-30,,True,True,7700
MTLUSDT,2021-03-31,,True,True,7694
OGNUSDT,2021-03-31,,False,True,7694
NKNUSDT,2021-04-08,2026-02-06,True,True,7649
1000SHIBUSDT,2021-05-10,,True,True,7466
BAKEUSDT,2021-05-18,2025-10-03,True,True,7421
BTCDOMUSDT,2021-06-17,,True,True,7250
